slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,plus_minus
embiijo01,Joel Embiid,PHILADELPHIA 76ERS,AWAY,INDIANA PACERS,WIN,2319,18,30,2,3,7,10,2,11,2,0,1,3,1,33.4,20.0
irvinky01,Kyrie Irving,BROOKLYN NETS,HOME,HOUSTON ROCKETS,WIN,2416,13,24,8,16,8,8,0,3,6,2,1,4,2,33.4,21.0
jokicni01,Nikola Jokić,DENVER NUGGETS,HOME,SAN ANTONIO SPURS,LOSS,2423,18,35,1,5,4,6,2,15,4,2,0,2,3,30.4,-11.0
siakapa01,Pascal Siakam,TORONTO RAPTORS,HOME,ATLANTA HAWKS,WIN,2424,12,23,1,4,6,8,2,11,6,1,1,0,0,29.5,7.0
maxeyty01,Tyrese Maxey,PHILADELPHIA 76ERS,AWAY,INDIANA PACERS,WIN,2300,9,12,8,11,4,4,0,3,7,1,1,3,1,29.3,15.0
derozde01,DeMar DeRozan,CHICAGO BULLS,HOME,MILWAUKEE BUCKS,LOSS,2195,16,26,0,2,8,8,2,1,6,1,0,4,5,29.1,-17.0
lopezbr01,Brook Lopez,MILWAUKEE BUCKS,AWAY,CHICAGO BULLS,WIN,1762,9,14,1,4,9,9,1,6,0,2,3,1,1,27.0,18.0
herroty01,Tyler Herro,MIAMI HEAT,HOME,CHARLOTTE HORNETS,WIN,2033,11,18,6,10,7,7,1,5,3,1,0,5,2,26.3,35.0
bridgmi02,Miles Bridges,CHARLOTTE HORNETS,AWAY,MIAMI HEAT,LOSS,2114,11,16,3,5,4,5,1,5,4,1,0,1,2,26.0,-19.0
bookede01,Devin Booker,PHOENIX SUNS,HOME,LOS ANGELES LAKERS,WIN,1782,12,22,6,9,2,2,1,6,4,1,0,1,2,25.9,14.0
hoardja01,Jaylen Hoard,OKLAHOMA CITY THUNDER,HOME,PORTLAND TRAIL BLAZERS,WIN,2735,11,17,1,3,1,6,7,14,3,3,0,2,2,25.9,9.0
gaffoda01,Daniel Gafford,WASHINGTON WIZARDS,AWAY,MINNESOTA TIMBERWOLVES,WIN,1886,10,11,0,0,4,5,3,9,3,0,1,0,5,25.5,17.0
butleji01,Jimmy Butler,MIAMI HEAT,HOME,CHARLOTTE HORNETS,WIN,2144,9,15,2,4,7,8,0,5,8,2,0,3,1,25.4,15.0
garlada01,Darius Garland,CLEVELAND CAVALIERS,AWAY,ORLANDO MAGIC,LOSS,2442,11,24,2,6,3,5,1,5,10,2,0,1,0,24.0,-1.0
bambamo01,Mo Bamba,ORLANDO MAGIC,HOME,CLEVELAND CAVALIERS,WIN,1715,7,14,5,9,2,4,3,9,3,0,6,0,3,23.1,-4.0
porteke02,Kevin Porter Jr.,HOUSTON ROCKETS,AWAY,BROOKLYN NETS,LOSS,2476,13,26,6,14,4,6,0,2,4,1,1,3,3,23.1,-6.0
hieldbu01,Buddy Hield,INDIANA PACERS,HOME,PHILADELPHIA 76ERS,LOSS,2284,11,19,3,10,0,0,3,8,5,1,1,2,2,23.0,-5.0
adebaba01,Bam Adebayo,MIAMI HEAT,HOME,CHARLOTTE HORNETS,WIN,1837,7,10,0,0,8,9,2,7,3,1,1,1,2,22.9,9.0
youngtr01,Trae Young,ATLANTA HAWKS,AWAY,TORONTO RAPTORS,LOSS,2247,10,23,3,8,3,4,1,3,15,0,0,3,1,22.2,5.0
hayesja02,Jaxson Hayes,NEW ORLEANS PELICANS,AWAY,SACRAMENTO KINGS,WIN,1759,10,14,2,3,1,3,3,9,1,1,0,0,3,21.7,16.0
greenja05,Jalen Green,HOUSTON ROCKETS,AWAY,BROOKLYN NETS,LOSS,2433,12,23,4,10,2,3,1,5,2,1,1,2,0,21.6,0.0
goberru01,Rudy Gobert,UTAH JAZZ,HOME,MEMPHIS GRIZZLIES,WIN,2057,5,8,0,0,12,18,6,15,0,1,1,3,5,21.4,0.0
aytonde01,Deandre Ayton,PHOENIX SUNS,HOME,LOS ANGELES LAKERS,WIN,1609,10,14,0,0,2,2,4,9,2,0,1,1,4,21.2,15.0
porzikr01,Kristaps Porziņģis,WASHINGTON WIZARDS,AWAY,MINNESOTA TIMBERWOLVES,WIN,1631,11,17,3,5,0,0,2,6,1,0,1,0,3,20.9,2.0
townska01,Karl-Anthony Towns,MINNESOTA TIMBERWOLVES,HOME,WASHINGTON WIZARDS,LOSS,2074,10,24,2,8,4,5,3,7,4,0,2,0,2,20.4,-14.0
clarkjo01,Jordan Clarkson,UTAH JAZZ,HOME,MEMPHIS GRIZZLIES,WIN,1859,7,13,3,8,5,6,0,5,5,1,0,1,0,20.3,17.0
vassede01,Devin Vassell,SAN ANTONIO SPURS,AWAY,DENVER NUGGETS,WIN,2062,7,14,4,6,2,2,1,7,4,1,1,1,0,19.3,15.0
mccolcj01,CJ McCollum,NEW ORLEANS PELICANS,AWAY,SACRAMENTO KINGS,WIN,1845,10,19,1,5,2,3,1,3,5,4,0,2,3,19.2,7.0
jonesda03,Damian Jones,SACRAMENTO KINGS,HOME,NEW ORLEANS PELICANS,LOSS,1721,8,10,1,1,5,5,1,3,1,0,1,1,3,19.0,-12.0
markkla01,Lauri Markkanen,CLEVELAND CAVALIERS,AWAY,ORLANDO MAGIC,LOSS,2083,7,16,6,12,5,5,0,4,1,0,2,0,3,18.7,2.0
smithja04,Jalen Smith,INDIANA PACERS,HOME,PHILADELPHIA 76ERS,LOSS,1779,7,12,2,5,3,3,2,5,2,1,3,1,3,18.6,-6.0
barnesc01,Scottie Barnes,TORONTO RAPTORS,HOME,ATLANTA HAWKS,WIN,2124,7,13,1,3,4,7,6,8,1,0,0,0,1,18.4,6.0
huertke01,Kevin Huerter,ATLANTA HAWKS,AWAY,TORONTO RAPTORS,LOSS,1861,8,13,5,9,0,0,0,2,4,1,1,1,2,18.4,3.0
jonesty01,Tyus Jones,MEMPHIS GRIZZLIES,AWAY,UTAH JAZZ,LOSS,2248,10,19,4,4,0,0,0,2,5,1,0,1,1,18.4,3.0
ballla01,LaMelo Ball,CHARLOTTE HORNETS,AWAY,MIAMI HEAT,LOSS,2064,7,13,4,9,0,0,1,4,14,1,0,5,3,18.2,-14.0
robindu01,Duncan Robinson,MIAMI HEAT,HOME,CHARLOTTE HORNETS,WIN,1634,7,11,7,11,0,0,0,1,2,1,0,0,2,18.0,30.0
harrito02,Tobias Harris,PHILADELPHIA 76ERS,AWAY,INDIANA PACERS,WIN,2215,5,11,5,6,2,2,0,6,5,4,0,2,2,17.8,4.0
jonestr01,Tre Jones,SAN ANTONIO SPURS,AWAY,DENVER NUGGETS,WIN,1976,5,11,0,1,4,6,0,4,10,1,1,0,0,17.4,8.0
halibty01,Tyrese Haliburton,INDIANA PACERS,HOME,PHILADELPHIA 76ERS,LOSS,2222,7,12,3,4,4,4,2,6,5,2,0,6,2,17.3,-5.0
sengual01,Alperen Şengün,HOUSTON ROCKETS,AWAY,BROOKLYN NETS,LOSS,2161,5,11,0,2,4,4,7,4,5,0,1,1,2,16.8,-12.0
davisan02,Anthony Davis,LOS ANGELES LAKERS,AWAY,PHOENIX SUNS,LOSS,2131,10,18,0,2,1,2,1,12,1,1,1,2,0,16.7,-19.0
reaveau01,Austin Reaves,LOS ANGELES LAKERS,AWAY,PHOENIX SUNS,LOSS,1858,6,10,2,6,4,6,1,3,6,1,0,2,2,16.6,9.0
loveke01,Kevin Love,CLEVELAND CAVALIERS,AWAY,ORLANDO MAGIC,LOSS,1517,6,11,3,7,2,2,2,11,3,0,0,2,0,16.5,3.0
jacksja02,Jaren Jackson Jr.,MEMPHIS GRIZZLIES,AWAY,UTAH JAZZ,LOSS,2327,8,27,3,10,9,10,1,6,2,1,3,1,4,16.3,-1.0
banede01,Desmond Bane,MEMPHIS GRIZZLIES,AWAY,UTAH JAZZ,LOSS,2222,8,21,3,8,4,4,2,5,2,5,0,3,4,16.2,3.0
willipa01,Patrick Williams,CHICAGO BULLS,HOME,MILWAUKEE BUCKS,LOSS,1904,7,9,2,4,2,2,4,2,0,0,0,1,2,16.1,0.0
lambje01,Jeremy Lamb,SACRAMENTO KINGS,HOME,NEW ORLEANS PELICANS,LOSS,1366,5,9,2,4,3,3,0,5,5,1,1,1,1,16.0,-6.0
smithis01,Ish Smith,WASHINGTON WIZARDS,AWAY,MINNESOTA TIMBERWOLVES,WIN,1791,5,14,1,2,0,0,0,8,14,1,0,0,1,16.0,9.0
russeda01,D'Angelo Russell,MINNESOTA TIMBERWOLVES,HOME,WASHINGTON WIZARDS,LOSS,1718,7,14,2,6,1,2,0,3,11,0,0,2,1,15.8,-15.0
johnske07,Keon Johnson,PORTLAND TRAIL BLAZERS,AWAY,OKLAHOMA CITY THUNDER,LOSS,2140,7,14,3,7,1,2,1,5,7,1,2,4,1,15.7,1.0
bouchch01,Chris Boucher,TORONTO RAPTORS,HOME,ATLANTA HAWKS,WIN,1317,7,11,3,5,1,2,3,4,0,1,0,1,1,15.6,8.0
wagnemo01,Moritz Wagner,ORLANDO MAGIC,HOME,CLEVELAND CAVALIERS,WIN,1209,6,8,3,4,0,0,0,3,3,1,0,0,1,15.4,7.0
antetgi01,Giannis Antetokounmpo,MILWAUKEE BUCKS,AWAY,CHICAGO BULLS,WIN,1440,7,13,1,2,3,5,2,7,7,0,0,2,5,15.3,12.0
duranke01,Kevin Durant,BROOKLYN NETS,HOME,HOUSTON ROCKETS,WIN,2214,4,13,1,3,9,10,0,9,7,0,2,3,2,15.3,13.0
gordoaa01,Aaron Gordon,DENVER NUGGETS,HOME,SAN ANTONIO SPURS,LOSS,2123,8,16,0,3,2,4,2,11,2,1,2,2,1,15.3,-14.0
