slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,plus_minus
woodch01,Christian Wood,HOUSTON ROCKETS,HOME,WASHINGTON WIZARDS,WIN,2185,14,18,8,9,3,3,0,10,2,1,1,1,3,35.9,17.0
jamesle01,LeBron James,LOS ANGELES LAKERS,AWAY,CLEVELAND CAVALIERS,WIN,2436,17,29,0,4,4,4,1,9,12,1,1,3,0,35.0,9.0
tatumja01,Jayson Tatum,BOSTON CELTICS,AWAY,OKLAHOMA CITY THUNDER,WIN,2330,11,19,5,11,9,9,0,7,6,2,1,3,1,32.7,12.0
duranke01,Kevin Durant,BROOKLYN NETS,HOME,UTAH JAZZ,WIN,2290,15,23,4,7,3,3,0,9,8,1,0,4,1,31.8,6.0
garlada01,Darius Garland,CLEVELAND CAVALIERS,HOME,LOS ANGELES LAKERS,LOSS,2436,10,23,2,8,7,7,0,2,17,1,0,1,2,28.6,1.0
valanjo01,Jonas Valančiūnas,NEW ORLEANS PELICANS,AWAY,CHARLOTTE HORNETS,LOSS,1715,11,18,1,2,1,1,6,12,5,1,2,2,4,25.9,0.0
butleji01,Jimmy Butler,MIAMI HEAT,AWAY,PHILADELPHIA 76ERS,LOSS,2088,8,15,0,3,11,11,1,4,6,1,0,1,1,25.4,0.0
manntr01,Tre Mann,OKLAHOMA CITY THUNDER,HOME,BOSTON CELTICS,LOSS,2184,13,21,7,12,2,3,1,6,4,0,0,3,5,25.4,0.0
poweldw01,Dwight Powell,DALLAS MAVERICKS,HOME,MINNESOTA TIMBERWOLVES,WIN,1601,8,8,0,0,6,7,3,5,2,2,1,0,6,24.5,5.0
lavinza01,Zach LaVine,CHICAGO BULLS,HOME,TORONTO RAPTORS,WIN,2105,9,18,3,6,5,8,2,4,6,1,0,0,0,23.6,19.0
porzikr01,Kristaps Porziņģis,WASHINGTON WIZARDS,AWAY,HOUSTON ROCKETS,LOSS,1920,7,18,0,3,8,8,4,9,4,1,5,1,1,23.6,-3.0
derozde01,DeMar DeRozan,CHICAGO BULLS,HOME,TORONTO RAPTORS,WIN,2085,11,14,1,4,3,5,0,5,1,1,3,1,3,22.9,13.0
gilgesh01,Shai Gilgeous-Alexander,OKLAHOMA CITY THUNDER,HOME,BOSTON CELTICS,LOSS,2194,13,23,4,4,1,1,0,1,9,0,0,2,5,22.7,-12.0
maxeyty01,Tyrese Maxey,PHILADELPHIA 76ERS,HOME,MIAMI HEAT,WIN,1705,9,15,3,7,7,7,1,4,4,0,1,3,4,21.9,5.0
bazleda01,Darius Bazley,OKLAHOMA CITY THUNDER,HOME,BOSTON CELTICS,LOSS,2164,8,13,1,4,5,7,3,7,3,1,1,1,2,21.5,-19.0
brownbr01,Bruce Brown,BROOKLYN NETS,HOME,UTAH JAZZ,WIN,2220,7,14,1,4,7,9,2,5,5,1,0,1,2,19.8,5.0
westbru01,Russell Westbrook,LOS ANGELES LAKERS,AWAY,CLEVELAND CAVALIERS,WIN,2120,7,14,2,6,4,7,0,5,11,1,0,1,4,19.4,23.0
adebaba01,Bam Adebayo,MIAMI HEAT,AWAY,PHILADELPHIA 76ERS,LOSS,2183,9,14,0,0,4,4,2,7,2,1,3,4,2,19.0,-1.0
townska01,Karl-Anthony Towns,MINNESOTA TIMBERWOLVES,AWAY,DALLAS MAVERICKS,LOSS,2250,8,17,2,5,4,4,2,6,3,2,1,2,1,18.9,11.0
ballla01,LaMelo Ball,CHARLOTTE HORNETS,HOME,NEW ORLEANS PELICANS,WIN,1942,6,12,4,9,1,1,0,4,9,0,2,1,1,18.5,6.0
conlemi01,Mike Conley,UTAH JAZZ,AWAY,BROOKLYN NETS,LOSS,1977,7,12,3,5,1,2,0,2,7,2,0,1,0,18.5,-19.0
willibr03,Brandon Williams,PORTLAND TRAIL BLAZERS,AWAY,DETROIT PISTONS,WIN,2003,6,17,0,3,11,11,2,4,3,3,0,2,2,18.4,8.0
