slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,plus_minus
duranke01,Kevin Durant,OKLAHOMA CITY THUNDER,AWAY,CHICAGO BULLS,WIN,2530,11,21,3,4,10,12,1,11,5,0,0,0,2,30.6,22.0
joneste01,Terrence Jones,HOUSTON ROCKETS,HOME,UTAH JAZZ,WIN,2292,11,15,3,4,5,7,1,4,1,1,4,0,1,29.1,29.0
willide01,Deron Williams,BROOKLYN NETS,HOME,PHOENIX SUNS,WIN,1991,11,13,3,5,3,5,0,3,4,3,0,3,4,24.6,16.0
johnsjo02,Joe Johnson,BROOKLYN NETS,HOME,PHOENIX SUNS,WIN,1769,7,11,3,5,2,2,1,4,5,2,1,0,1,21.8,20.0
griffbl01,Blake Griffin,LOS ANGELES CLIPPERS,AWAY,DENVER NUGGETS,LOSS,2504,7,25,0,0,12,12,8,4,4,2,2,2,3,21.1,0.0
paulch01,Chris Paul,LOS ANGELES CLIPPERS,AWAY,DENVER NUGGETS,LOSS,2327,10,19,0,2,9,11,0,2,7,3,0,6,4,19.8,-6.0
millspa01,Paul Millsap,ATLANTA HAWKS,AWAY,CHARLOTTE BOBCATS,WIN,2053,12,20,2,4,2,2,2,3,1,0,2,3,2,19.4,14.0
georgpa01,Paul George,INDIANA PACERS,HOME,PHILADELPHIA 76ERS,WIN,2157,4,14,1,3,15,16,3,5,2,1,0,2,1,19.0,7.0
farieke01,Kenneth Faried,DENVER NUGGETS,HOME,LOS ANGELES CLIPPERS,WIN,2016,6,14,0,0,6,7,6,10,2,1,1,1,3,18.3,5.0
beverpa01,Patrick Beverley,HOUSTON ROCKETS,HOME,UTAH JAZZ,WIN,1924,6,9,2,4,5,5,1,6,3,1,1,3,1,18.0,19.0
thompho01,Hollis Thompson,PHILADELPHIA 76ERS,AWAY,INDIANA PACERS,LOSS,2452,6,7,4,4,1,1,2,4,3,1,1,1,5,17.9,-6.0
