slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,plus_minus
duranke01,Kevin Durant,BROOKLYN NETS,HOME,TORONTO RAPTORS,WIN,2891,12,29,2,8,8,8,1,12,11,0,1,4,1,26.8,-5.0
paulch01,Chris Paul,PHOENIX SUNS,AWAY,PORTLAND TRAIL BLAZERS,WIN,2466,10,19,1,1,3,4,0,8,14,3,0,3,4,24.9,6.0
vanvlfr01,Fred VanVleet,TORONTO RAPTORS,AWAY,BROOKLYN NETS,LOSS,2834,10,23,6,14,5,5,0,4,9,2,0,4,1,24.0,8.0
aytonde01,Deandre Ayton,PHOENIX SUNS,AWAY,PORTLAND TRAIL BLAZERS,WIN,2673,12,17,0,0,4,5,3,10,1,2,0,3,4,23.7,1.0
barnesc01,Scottie Barnes,TORONTO RAPTORS,AWAY,BROOKLYN NETS,LOSS,2644,7,13,3,5,6,8,7,5,5,0,0,2,4,22.2,-7.0
trentga02,Gary Trent Jr.,TORONTO RAPTORS,AWAY,BROOKLYN NETS,LOSS,2522,9,19,6,12,1,2,0,2,5,3,0,0,3,20.8,13.0
randlju01,Julius Randle,NEW YORK KNICKS,HOME,GOLDEN STATE WARRIORS,LOSS,2236,10,21,5,8,6,6,0,7,3,2,0,4,5,20.5,-9.0
millspa02,Patty Mills,BROOKLYN NETS,HOME,TORONTO RAPTORS,WIN,2598,10,20,7,14,3,4,1,3,2,1,0,3,2,19.8,15.0
nurkiju01,Jusuf Nurkić,PORTLAND TRAIL BLAZERS,HOME,PHOENIX SUNS,LOSS,2338,7,11,0,1,3,5,4,9,5,1,0,1,2,19.5,-9.0
lillada01,Damian Lillard,PORTLAND TRAIL BLAZERS,HOME,PHOENIX SUNS,LOSS,2826,11,31,5,16,4,5,0,2,10,0,1,4,0,17.6,0.0
edwarke02,Kessler Edwards,BROOKLYN NETS,HOME,TORONTO RAPTORS,WIN,2621,7,12,3,6,0,0,4,6,2,2,0,2,2,16.6,10.0
siakapa01,Pascal Siakam,TORONTO RAPTORS,AWAY,BROOKLYN NETS,LOSS,2655,12,21,0,4,1,2,1,5,2,1,1,2,5,16.0,13.0
claxtni01,Nic Claxton,BROOKLYN NETS,HOME,TORONTO RAPTORS,WIN,1564,8,10,0,0,0,0,3,4,1,0,1,1,2,15.1,4.0
