slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,plus_minus
thompkl01,Klay Thompson,GOLDEN STATE WARRIORS,HOME,PORTLAND TRAIL BLAZERS,WIN,1897,13,22,8,11,3,3,3,2,0,0,0,0,1,29.1,34.0
stephla01,Lance Stephenson,MEMPHIS GRIZZLIES,HOME,NEW ORLEANS PELICANS,WIN,2268,12,20,1,2,8,12,0,7,4,2,1,1,3,27.6,17.0
sullija01,Jared Sullinger,BOSTON CELTICS,HOME,HOUSTON ROCKETS,LOSS,1896,9,18,1,1,5,7,6,6,4,4,2,0,2,27.6,6.0
barnema02,Matt Barnes,MEMPHIS GRIZZLIES,HOME,NEW ORLEANS PELICANS,WIN,2616,8,19,4,8,6,6,2,9,10,2,0,0,5,27.0,3.0
dragigo01,Goran Dragić,MIAMI HEAT,AWAY,CHICAGO BULLS,WIN,1830,10,16,1,2,5,6,0,3,9,1,1,1,0,26.3,29.0
curryst01,Stephen Curry,GOLDEN STATE WARRIORS,HOME,PORTLAND TRAIL BLAZERS,WIN,1766,13,23,7,14,1,2,0,3,4,2,0,3,2,24.6,14.0
dienggo01,Gorgui Dieng,MINNESOTA TIMBERWOLVES,AWAY,OKLAHOMA CITY THUNDER,WIN,1849,7,12,0,1,11,11,1,8,1,2,3,1,5,24.3,19.0
paulch01,Chris Paul,LOS ANGELES CLIPPERS,HOME,NEW YORK KNICKS,WIN,2039,9,17,4,7,2,4,0,4,15,2,0,4,1,24.2,8.0
rubiori01,Ricky Rubio,MINNESOTA TIMBERWOLVES,AWAY,OKLAHOMA CITY THUNDER,WIN,2155,4,9,3,6,2,2,0,8,12,3,0,0,2,21.3,16.0
anderry01,Ryan Anderson,NEW ORLEANS PELICANS,AWAY,MEMPHIS GRIZZLIES,LOSS,2196,8,17,2,4,6,7,8,6,3,0,0,3,1,21.0,-12.0
greendr01,Draymond Green,GOLDEN STATE WARRIORS,HOME,PORTLAND TRAIL BLAZERS,WIN,1954,4,11,0,4,9,9,3,10,7,2,1,2,2,20.8,17.0
lopezbr01,Brook Lopez,BROOKLYN NETS,AWAY,PHILADELPHIA 76ERS,LOSS,2055,10,17,0,1,4,5,3,4,1,0,3,1,0,20.8,4.0
richajo01,Josh Richardson,MIAMI HEAT,AWAY,CHICAGO BULLS,WIN,1904,9,12,4,6,0,0,1,1,4,1,0,0,3,20.8,13.0
lopezro01,Robin Lopez,NEW YORK KNICKS,AWAY,LOS ANGELES CLIPPERS,LOSS,2661,9,15,0,0,2,2,10,9,2,1,1,5,1,20.5,-7.0
holidjr01,Jrue Holiday,NEW ORLEANS PELICANS,AWAY,MEMPHIS GRIZZLIES,LOSS,2431,12,27,2,7,8,10,0,5,10,0,1,7,4,19.7,3.0
davisan02,Anthony Davis,NEW ORLEANS PELICANS,AWAY,MEMPHIS GRIZZLIES,LOSS,2790,9,17,0,1,7,9,2,11,2,1,1,3,3,19.5,-10.0
macksh01,Shelvin Mack,UTAH JAZZ,HOME,WASHINGTON WIZARDS,WIN,2041,11,17,3,5,2,3,0,3,4,0,0,3,1,19.4,12.0
hardeja01,James Harden,HOUSTON ROCKETS,AWAY,BOSTON CELTICS,WIN,2172,9,19,1,6,13,15,0,3,4,1,1,6,4,19.3,1.0
denglu01,Luol Deng,MIAMI HEAT,AWAY,CHICAGO BULLS,WIN,1939,7,12,3,5,2,2,1,5,2,4,0,1,3,18.8,29.0
koufoko01,Kosta Koufos,SACRAMENTO KINGS,HOME,ORLANDO MAGIC,LOSS,1432,8,10,0,0,3,3,3,1,0,1,2,0,3,18.8,-3.0
walljo01,John Wall,WASHINGTON WIZARDS,AWAY,UTAH JAZZ,LOSS,2055,9,18,1,4,5,6,0,4,9,1,0,4,2,18.3,-16.0
greenja01,JaMychal Green,MEMPHIS GRIZZLIES,HOME,NEW ORLEANS PELICANS,WIN,2283,9,15,0,0,3,4,4,6,1,1,1,1,5,17.7,19.0
batumni01,Nicolas Batum,CHARLOTTE HORNETS,HOME,DETROIT PISTONS,WIN,2216,6,15,1,5,4,5,0,5,11,2,0,2,1,17.3,18.0
jacksre01,Reggie Jackson,DETROIT PISTONS,AWAY,CHARLOTTE HORNETS,LOSS,1881,7,15,2,9,4,4,0,2,10,0,0,2,2,17.1,-16.0
rondora01,Rajon Rondo,SACRAMENTO KINGS,HOME,ORLANDO MAGIC,LOSS,2337,7,14,2,5,0,0,0,5,14,2,0,4,3,17.1,-6.0
kanteen01,Enes Freedom,OKLAHOMA CITY THUNDER,HOME,MINNESOTA TIMBERWOLVES,LOSS,1253,7,9,0,0,3,3,6,8,0,0,0,3,1,16.7,-2.0
gasolpa01,Pau Gasol,CHICAGO BULLS,HOME,MIAMI HEAT,LOSS,1777,7,12,2,3,1,2,3,9,9,0,2,6,2,16.7,-15.0
sloando01,Donald Sloan,BROOKLYN NETS,AWAY,PHILADELPHIA 76ERS,LOSS,2010,4,13,1,3,5,5,1,8,9,1,0,0,1,16.5,1.0
whiteha01,Hassan Whiteside,MIAMI HEAT,AWAY,CHICAGO BULLS,WIN,1836,6,13,0,0,1,2,3,13,2,1,3,0,0,16.4,24.0
willima02,Marvin Williams,CHARLOTTE HORNETS,HOME,DETROIT PISTONS,WIN,1520,7,12,5,8,3,4,3,3,0,0,0,1,4,16.4,0.0
greenje02,Jeff Green,LOS ANGELES CLIPPERS,HOME,NEW YORK KNICKS,WIN,2699,6,11,1,2,4,5,1,5,4,0,1,0,2,16.2,7.0
westbru01,Russell Westbrook,OKLAHOMA CITY THUNDER,HOME,MINNESOTA TIMBERWOLVES,LOSS,2230,8,19,3,6,7,8,0,4,8,0,0,5,4,15.7,-10.0
jordade01,DeAndre Jordan,LOS ANGELES CLIPPERS,HOME,NEW YORK KNICKS,WIN,2265,4,7,0,0,2,2,4,15,0,1,6,2,4,15.6,7.0
cunnida01,Dante Cunningham,NEW ORLEANS PELICANS,AWAY,MEMPHIS GRIZZLIES,LOSS,2759,7,11,2,5,1,2,1,5,1,2,4,2,5,15.4,-5.0
