slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,plus_minus
jordade01,DeAndre Jordan,LOS ANGELES CLIPPERS,HOME,HOUSTON ROCKETS,WIN,1797,6,7,0,0,14,34,4,13,2,2,1,0,3,25.1,16.0
rosede01,Derrick Rose,CHICAGO BULLS,HOME,CLEVELAND CAVALIERS,LOSS,2479,11,23,2,5,7,7,0,2,4,0,0,2,0,20.7,-1.0
paulch01,Chris Paul,LOS ANGELES CLIPPERS,HOME,HOUSTON ROCKETS,WIN,1572,4,9,3,4,4,5,2,2,12,1,0,1,3,19.1,28.0
hardeja01,James Harden,HOUSTON ROCKETS,AWAY,LOS ANGELES CLIPPERS,LOSS,1948,5,12,2,4,9,10,0,8,6,0,0,1,3,18.6,-18.0
griffbl01,Blake Griffin,LOS ANGELES CLIPPERS,HOME,HOUSTON ROCKETS,WIN,1984,7,11,0,0,7,9,0,8,3,0,1,2,2,17.7,30.0
mozgoti01,Timofey Mozgov,CLEVELAND CAVALIERS,AWAY,CHICAGO BULLS,WIN,2335,4,5,0,0,7,8,1,8,3,0,3,3,5,15.0,7.0
arizatr01,Trevor Ariza,HOUSTON ROCKETS,AWAY,LOS ANGELES CLIPPERS,LOSS,2115,7,14,4,8,0,0,0,8,3,3,0,3,4,13.9,-24.0
butleji01,Jimmy Butler,CHICAGO BULLS,HOME,CLEVELAND CAVALIERS,LOSS,2725,8,21,3,5,0,0,1,4,2,3,1,1,4,11.9,-6.0
redicjj01,JJ Redick,LOS ANGELES CLIPPERS,HOME,HOUSTON ROCKETS,WIN,1726,5,10,4,7,4,4,0,1,2,0,0,2,2,11.9,14.0
jamesle01,LeBron James,CLEVELAND CAVALIERS,AWAY,CHICAGO BULLS,WIN,2589,10,30,1,7,4,4,2,12,8,1,2,8,4,11.4,5.0
thomptr01,Tristan Thompson,CLEVELAND CAVALIERS,AWAY,CHICAGO BULLS,WIN,1819,5,6,0,0,2,2,1,6,0,0,0,0,4,10.7,0.0
terryja01,Jason Terry,HOUSTON ROCKETS,AWAY,LOS ANGELES CLIPPERS,LOSS,1649,6,12,4,8,0,0,0,0,2,1,0,1,3,10.2,-15.0
noahjo01,Joakim Noah,CHICAGO BULLS,HOME,CLEVELAND CAVALIERS,LOSS,2244,4,12,0,0,0,0,6,9,0,2,1,0,2,10.0,3.0
irvinky01,Kyrie Irving,CLEVELAND CAVALIERS,AWAY,CHICAGO BULLS,WIN,2442,2,10,0,2,8,8,0,4,2,2,0,1,0,9.4,7.0
hawessp01,Spencer Hawes,LOS ANGELES CLIPPERS,HOME,HOUSTON ROCKETS,WIN,556,2,2,2,2,2,2,0,1,2,1,0,0,2,9.3,4.0
crawfja01,Jamal Crawford,LOS ANGELES CLIPPERS,HOME,HOUSTON ROCKETS,WIN,1596,4,10,2,6,3,5,2,2,1,0,1,1,1,8.8,19.0
riverau01,Austin Rivers,LOS ANGELES CLIPPERS,HOME,HOUSTON ROCKETS,WIN,1459,5,9,2,3,0,0,1,4,0,1,2,2,3,8.8,11.0
smithjr01,J.R. Smith,CLEVELAND CAVALIERS,AWAY,CHICAGO BULLS,WIN,1597,5,10,3,6,0,0,0,3,0,0,0,1,0,7.9,-3.0
johnsni01,Nick Johnson,HOUSTON ROCKETS,AWAY,LOS ANGELES CLIPPERS,LOSS,966,3,7,1,2,3,3,1,0,2,0,0,2,2,5.6,-5.0
gibsota01,Taj Gibson,CHICAGO BULLS,HOME,CLEVELAND CAVALIERS,LOSS,2020,2,7,0,0,2,2,3,5,2,0,1,1,3,5.4,-1.0
snellto01,Tony Snell,CHICAGO BULLS,HOME,CLEVELAND CAVALIERS,LOSS,1026,3,7,1,3,0,0,0,4,1,0,0,0,0,5.2,-7.0
joneste01,Terrence Jones,HOUSTON ROCKETS,AWAY,LOS ANGELES CLIPPERS,LOSS,1489,5,12,0,1,0,2,4,2,0,0,0,1,3,4.0,-21.0
barnema02,Matt Barnes,LOS ANGELES CLIPPERS,HOME,HOUSTON ROCKETS,WIN,1810,2,8,0,4,3,4,1,7,2,0,0,1,3,3.8,24.0
hinriki01,Kirk Hinrich,CHICAGO BULLS,HOME,CLEVELAND CAVALIERS,LOSS,404,1,1,1,1,1,2,0,0,1,0,0,0,1,3.6,2.0
jonesda02,Dahntay Jones,LOS ANGELES CLIPPERS,HOME,HOUSTON ROCKETS,WIN,336,1,1,0,0,0,0,0,0,0,1,0,0,0,2.7,4.0
shumpim01,Iman Shumpert,CLEVELAND CAVALIERS,AWAY,CHICAGO BULLS,WIN,1934,1,8,1,6,2,2,1,3,0,1,1,0,1,2.7,7.0
brookaa01,Aaron Brooks,CHICAGO BULLS,HOME,CLEVELAND CAVALIERS,LOSS,401,1,2,0,0,0,0,0,1,1,0,0,0,0,2.0,-1.0
hudsole01,Lester Hudson,LOS ANGELES CLIPPERS,HOME,HOUSTON ROCKETS,WIN,321,2,3,0,1,0,0,0,0,0,1,0,1,2,1.9,4.0
perkike01,Kendrick Perkins,CLEVELAND CAVALIERS,AWAY,CHICAGO BULLS,WIN,103,1,1,0,0,0,0,1,0,0,0,0,1,0,1.4,-4.0
capelca01,Clint Capela,HOUSTON ROCKETS,AWAY,LOS ANGELES CLIPPERS,LOSS,700,1,3,0,0,0,2,3,4,0,0,0,0,4,1.2,3.0
dellama01,Matthew Dellavedova,CLEVELAND CAVALIERS,AWAY,CHICAGO BULLS,WIN,1010,1,3,0,2,0,0,0,2,3,0,0,1,2,1.2,-5.0
dorsejo01,Joey Dorsey,HOUSTON ROCKETS,AWAY,LOS ANGELES CLIPPERS,LOSS,352,0,1,0,0,1,2,0,2,1,0,0,0,1,0.8,-5.0
prigipa01,Pablo Prigioni,HOUSTON ROCKETS,AWAY,LOS ANGELES CLIPPERS,LOSS,1146,1,3,1,2,0,0,0,2,1,1,0,2,2,0.8,-15.0
turkohe01,Hedo Türkoğlu,LOS ANGELES CLIPPERS,HOME,HOUSTON ROCKETS,WIN,518,0,4,0,4,0,0,0,1,3,1,0,0,0,0.6,2.0
udohek01,Ekpe Udoh,LOS ANGELES CLIPPERS,HOME,HOUSTON ROCKETS,WIN,307,1,3,0,0,0,0,0,2,0,0,0,0,1,0.5,4.0
howardw01,Dwight Howard,HOUSTON ROCKETS,AWAY,LOS ANGELES CLIPPERS,LOSS,1102,3,7,0,0,1,6,2,4,1,0,0,2,6,0.2,-28.0
davisgl01,Glen Davis,LOS ANGELES CLIPPERS,HOME,HOUSTON ROCKETS,WIN,418,0,2,0,0,0,0,0,0,0,1,0,0,0,-0.4,5.0
smithjo03,Josh Smith,HOUSTON ROCKETS,AWAY,LOS ANGELES CLIPPERS,LOSS,840,0,2,0,0,1,4,0,4,2,1,1,2,3,-0.5,-5.0
dunlemi02,Mike Dunleavy,CHICAGO BULLS,HOME,CLEVELAND CAVALIERS,LOSS,1996,1,7,1,4,1,1,1,1,1,2,0,2,5,-0.8,-7.0
breweco01,Corey Brewer,HOUSTON ROCKETS,AWAY,LOS ANGELES CLIPPERS,LOSS,1517,2,8,0,2,0,1,0,2,2,0,0,0,5,-1.2,-27.0
jonesja02,James Jones,CLEVELAND CAVALIERS,AWAY,CHICAGO BULLS,WIN,571,0,2,0,2,0,0,0,0,0,0,0,0,0,-1.4,-4.0
mirotni01,Nikola Mirotić,CHICAGO BULLS,HOME,CLEVELAND CAVALIERS,LOSS,1105,1,9,1,3,0,0,0,3,0,0,3,2,4,-3.5,8.0
papanko01,Kostas Papanikolaou,HOUSTON ROCKETS,AWAY,LOS ANGELES CLIPPERS,LOSS,576,1,2,0,1,0,0,0,1,0,0,0,4,4,-4.3,-5.0
