slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,plus_minus
greenja05,Jalen Green,HOUSTON ROCKETS,AWAY,OKLAHOMA CITY THUNDER,WIN,2782,14,24,7,11,2,2,2,8,7,2,1,5,3,31.0,12.0
hachiru01,Rui Hachimura,LOS ANGELES LAKERS,AWAY,MEMPHIS GRIZZLIES,WIN,2137,11,14,7,8,3,4,0,10,1,0,2,0,1,30.9,35.0
murrade01,Dejounte Murray,ATLANTA HAWKS,HOME,PORTLAND TRAIL BLAZERS,WIN,2130,13,20,4,8,0,0,0,3,7,2,2,1,0,29.4,13.0
poolejo01,Jordan Poole,WASHINGTON WIZARDS,HOME,BROOKLYN NETS,LOSS,2670,15,24,5,12,3,3,0,7,8,0,0,4,4,29.3,2.0
thomaca02,Cam Thomas,BROOKLYN NETS,AWAY,WASHINGTON WIZARDS,WIN,2708,14,27,2,6,8,8,0,2,7,1,1,2,3,28.7,5.0
giddejo01,Josh Giddey,OKLAHOMA CITY THUNDER,HOME,HOUSTON ROCKETS,LOSS,1913,12,20,0,3,7,11,5,2,4,1,1,1,2,27.0,-7.0
bantoda01,Dalano Banton,PORTLAND TRAIL BLAZERS,AWAY,ATLANTA HAWKS,LOSS,2206,13,23,5,11,0,0,1,4,9,2,0,4,0,26.3,-15.0
mcbrimi01,Miles McBride,NEW YORK KNICKS,AWAY,TORONTO RAPTORS,WIN,2375,10,17,9,14,0,0,1,2,7,1,0,1,4,25.7,40.0
jokicni01,Nikola Jokić,DENVER NUGGETS,HOME,PHOENIX SUNS,LOSS,2492,9,16,1,5,3,3,0,9,10,2,1,1,2,25.0,2.0
banede01,Desmond Bane,MEMPHIS GRIZZLIES,HOME,LOS ANGELES LAKERS,LOSS,2375,8,17,4,9,6,6,0,4,16,1,0,4,5,24.7,-7.0
