slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,plus_minus
ballla01,LaMelo Ball,CHARLOTTE HORNETS,AWAY,SACRAMENTO KINGS,LOSS,1842,9,14,4,8,2,2,1,2,13,0,0,2,1,25.8,-16.0
randlju01,Julius Randle,NEW YORK KNICKS,AWAY,MILWAUKEE BUCKS,WIN,1997,11,22,3,9,7,10,5,7,4,0,2,3,4,25.0,13.0
rosede01,Derrick Rose,NEW YORK KNICKS,AWAY,MILWAUKEE BUCKS,WIN,1825,10,18,2,6,1,1,2,6,4,2,0,0,0,22.4,31.0
powelno01,Norman Powell,PORTLAND TRAIL BLAZERS,HOME,INDIANA PACERS,WIN,1936,8,14,3,4,6,6,0,2,2,2,1,1,0,22.1,1.0
holmeri01,Richaun Holmes,SACRAMENTO KINGS,HOME,CHARLOTTE HORNETS,WIN,1995,9,12,0,0,5,7,5,15,2,0,0,4,3,21.6,22.0
allengr01,Grayson Allen,MILWAUKEE BUCKS,HOME,NEW YORK KNICKS,LOSS,1870,8,12,6,9,0,0,1,4,2,1,1,0,2,21.0,-11.0
murrade01,Dejounte Murray,SAN ANTONIO SPURS,AWAY,ORLANDO MAGIC,WIN,2160,9,16,1,2,1,1,0,11,7,3,1,3,1,20.9,14.0
mccolcj01,CJ McCollum,PORTLAND TRAIL BLAZERS,HOME,INDIANA PACERS,WIN,2455,11,19,5,9,0,0,0,5,6,0,0,4,1,19.4,7.0
paytoga02,Gary Payton II,GOLDEN STATE WARRIORS,HOME,NEW ORLEANS PELICANS,WIN,1053,7,10,1,3,2,2,2,5,3,1,0,0,0,18.8,23.0
duranke01,Kevin Durant,BROOKLYN NETS,AWAY,DETROIT PISTONS,WIN,2190,12,27,2,6,3,4,0,10,5,0,1,3,0,18.7,20.0
foxde01,De'Aaron Fox,SACRAMENTO KINGS,HOME,CHARLOTTE HORNETS,WIN,1742,7,15,0,3,7,7,1,2,9,1,0,2,3,18.7,21.0
allenja01,Jarrett Allen,CLEVELAND CAVALIERS,AWAY,TORONTO RAPTORS,WIN,2321,5,6,1,1,5,6,5,10,0,1,1,3,0,18.6,5.0
anunoog01,OG Anunoby,TORONTO RAPTORS,HOME,CLEVELAND CAVALIERS,LOSS,2208,10,21,3,7,0,0,2,4,5,1,1,0,4,18.5,-5.0
garlada01,Darius Garland,CLEVELAND CAVALIERS,AWAY,TORONTO RAPTORS,WIN,2182,8,12,2,3,3,3,0,1,8,1,0,4,1,18.3,1.0
