slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,plus_minus
antetgi01,Giannis Antetokounmpo,MILWAUKEE BUCKS,AWAY,PHILADELPHIA 76ERS,WIN,2098,13,22,3,7,16,21,0,13,6,0,5,0,2,43.6,9.0
embiijo01,Joel Embiid,PHILADELPHIA 76ERS,HOME,MILWAUKEE BUCKS,LOSS,2214,12,31,3,9,7,10,3,10,13,2,3,3,3,30.0,0.0
redicjj01,JJ Redick,PHILADELPHIA 76ERS,HOME,MILWAUKEE BUCKS,LOSS,1782,10,15,5,9,4,4,0,2,3,1,1,0,2,26.1,-5.0
hieldbu01,Buddy Hield,SACRAMENTO KINGS,HOME,CLEVELAND CAVALIERS,WIN,1765,9,16,5,11,0,0,0,2,2,3,1,1,2,19.3,5.0
couside01,DeMarcus Cousins,GOLDEN STATE WARRIORS,AWAY,LOS ANGELES LAKERS,WIN,1428,9,17,3,7,0,1,2,8,1,2,0,0,1,18.4,27.0
clarkjo01,Jordan Clarkson,CLEVELAND CAVALIERS,AWAY,SACRAMENTO KINGS,LOSS,1888,9,13,2,5,2,2,0,2,3,1,0,2,0,18.2,-13.0
hillge01,George Hill,MILWAUKEE BUCKS,AWAY,PHILADELPHIA 76ERS,WIN,1970,7,13,2,3,4,5,0,5,5,0,0,0,2,17.5,-1.0
bogdabo01,Bogdan Bogdanović,SACRAMENTO KINGS,HOME,CLEVELAND CAVALIERS,WIN,1660,7,13,4,7,0,0,1,3,5,1,0,0,1,17.4,14.0
scottmi01,Mike Scott,PHILADELPHIA 76ERS,HOME,MILWAUKEE BUCKS,LOSS,2149,8,11,6,8,0,0,0,3,1,0,0,0,5,17.1,-13.0
foxde01,De'Aaron Fox,SACRAMENTO KINGS,HOME,CLEVELAND CAVALIERS,WIN,2054,6,14,1,3,3,4,0,3,10,2,0,1,1,16.7,11.0
willijo04,Johnathan Williams,LOS ANGELES LAKERS,HOME,GOLDEN STATE WARRIORS,LOSS,1598,8,14,0,0,1,3,6,7,1,1,1,2,3,15.1,14.0
greendr01,Draymond Green,GOLDEN STATE WARRIORS,AWAY,LOS ANGELES LAKERS,WIN,1769,5,8,2,3,0,0,2,2,6,1,2,2,1,14.6,32.0
osmande01,Cedi Osman,CLEVELAND CAVALIERS,AWAY,SACRAMENTO KINGS,LOSS,1760,7,11,3,5,0,0,2,2,3,0,0,2,2,13.4,-8.0
caulewi01,Willie Cauley-Stein,SACRAMENTO KINGS,HOME,CLEVELAND CAVALIERS,WIN,1851,4,4,0,0,0,0,1,8,2,2,1,0,2,13.2,10.0
duranke01,Kevin Durant,GOLDEN STATE WARRIORS,AWAY,LOS ANGELES LAKERS,WIN,1721,5,7,3,4,2,2,0,6,8,0,0,6,3,12.3,37.0
