slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,plus_minus
doncilu01,Luka Dončić,DALLAS MAVERICKS,AWAY,MINNESOTA TIMBERWOLVES,WIN,2445,12,26,3,10,6,7,0,6,8,3,1,4,2,25.5,-9.0
irvinky01,Kyrie Irving,DALLAS MAVERICKS,AWAY,MINNESOTA TIMBERWOLVES,WIN,2409,12,23,0,3,6,6,1,4,4,0,1,2,3,20.9,5.0
edwaran01,Anthony Edwards,MINNESOTA TIMBERWOLVES,HOME,DALLAS MAVERICKS,LOSS,2443,6,16,5,12,2,2,2,9,8,2,0,3,1,18.5,-1.0
mcdanja02,Jaden McDaniels,MINNESOTA TIMBERWOLVES,HOME,DALLAS MAVERICKS,LOSS,2358,9,15,6,9,0,0,2,2,3,1,0,3,4,17.6,-4.0
livelde01,Dereck Lively II,DALLAS MAVERICKS,AWAY,MINNESOTA TIMBERWOLVES,WIN,1591,4,4,0,0,1,1,4,7,3,0,2,1,1,14.8,19.0
reidna01,Naz Reid,MINNESOTA TIMBERWOLVES,HOME,DALLAS MAVERICKS,LOSS,1442,5,9,3,6,2,4,1,4,2,1,1,2,2,12.1,-11.0
goberru01,Rudy Gobert,MINNESOTA TIMBERWOLVES,HOME,DALLAS MAVERICKS,LOSS,2256,4,8,0,0,4,6,1,6,1,1,2,0,3,11.6,10.0
anderky01,Kyle Anderson,MINNESOTA TIMBERWOLVES,HOME,DALLAS MAVERICKS,LOSS,1027,5,8,1,3,0,0,1,1,2,0,0,0,2,9.0,0.0
townska01,Karl-Anthony Towns,MINNESOTA TIMBERWOLVES,HOME,DALLAS MAVERICKS,LOSS,2063,6,20,2,9,2,2,3,4,2,1,0,1,2,8.3,-5.0
gaffoda01,Daniel Gafford,DALLAS MAVERICKS,AWAY,MINNESOTA TIMBERWOLVES,WIN,1267,5,9,0,0,0,0,4,5,0,0,1,2,2,7.9,-15.0
washipj01,P.J. Washington,DALLAS MAVERICKS,AWAY,MINNESOTA TIMBERWOLVES,WIN,2450,4,10,2,8,3,3,0,7,0,0,2,3,4,6.5,12.0
jonesde02,Derrick Jones Jr.,DALLAS MAVERICKS,AWAY,MINNESOTA TIMBERWOLVES,WIN,2095,4,9,0,2,0,0,2,2,2,0,0,0,1,6.3,-8.0
hardyja02,Jaden Hardy,DALLAS MAVERICKS,AWAY,MINNESOTA TIMBERWOLVES,WIN,539,1,2,0,0,0,0,0,1,4,1,0,0,1,4.7,4.0
conlemi01,Mike Conley,MINNESOTA TIMBERWOLVES,HOME,DALLAS MAVERICKS,LOSS,1848,2,7,1,6,1,4,0,3,3,2,0,1,2,3.9,1.0
hardati02,Tim Hardaway Jr.,DALLAS MAVERICKS,AWAY,MINNESOTA TIMBERWOLVES,WIN,622,0,0,0,0,0,0,0,4,0,1,0,0,0,2.2,7.0
greenjo02,Josh Green,DALLAS MAVERICKS,AWAY,MINNESOTA TIMBERWOLVES,WIN,806,1,4,1,2,0,0,0,1,0,0,1,1,1,0.2,-1.0
exumda01,Dante Exum,DALLAS MAVERICKS,AWAY,MINNESOTA TIMBERWOLVES,WIN,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
alexani01,Nickeil Alexander-Walker,MINNESOTA TIMBERWOLVES,HOME,DALLAS MAVERICKS,LOSS,963,1,6,0,4,0,0,0,1,2,0,0,0,1,-0.5,-5.0
