slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,plus_minus
duranke01,Kevin Durant,BROOKLYN NETS,HOME,MILWAUKEE BUCKS,WIN,2880,16,23,4,9,13,16,0,17,10,3,2,3,3,50.4,6.0
antetgi01,Giannis Antetokounmpo,MILWAUKEE BUCKS,AWAY,BROOKLYN NETS,LOSS,2510,14,22,2,4,4,7,0,12,4,1,2,4,6,25.4,-8.0
greenje02,Jeff Green,BROOKLYN NETS,HOME,MILWAUKEE BUCKS,WIN,2072,8,11,7,8,4,4,0,1,3,0,1,0,5,23.6,12.0
middlkh01,Khris Middleton,MILWAUKEE BUCKS,AWAY,BROOKLYN NETS,LOSS,2721,8,22,3,10,6,7,0,4,5,1,1,3,4,14.2,-2.0
holidjr01,Jrue Holiday,MILWAUKEE BUCKS,AWAY,BROOKLYN NETS,LOSS,2032,7,16,3,7,2,2,0,3,8,1,0,3,3,13.9,-4.0
griffbl01,Blake Griffin,BROOKLYN NETS,HOME,MILWAUKEE BUCKS,WIN,1750,7,11,3,6,0,0,0,3,0,0,0,0,3,11.8,-4.0
connapa01,Pat Connaughton,MILWAUKEE BUCKS,AWAY,BROOKLYN NETS,LOSS,1919,4,7,1,3,1,1,1,5,1,0,1,0,1,9.9,-6.0
lopezbr01,Brook Lopez,MILWAUKEE BUCKS,AWAY,BROOKLYN NETS,LOSS,2186,6,10,3,5,0,0,1,5,0,0,0,2,4,9.0,2.0
shamela01,Landry Shamet,BROOKLYN NETS,HOME,MILWAUKEE BUCKS,WIN,1655,3,5,1,3,2,2,0,2,2,1,0,1,3,7.5,10.0
forbebr01,Bryn Forbes,MILWAUKEE BUCKS,AWAY,BROOKLYN NETS,LOSS,781,2,3,1,1,0,0,0,0,0,0,1,0,0,4.4,-6.0
bryanel01,Elijah Bryant,MILWAUKEE BUCKS,AWAY,BROOKLYN NETS,LOSS,160,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,-5.0
claxtni01,Nic Claxton,BROOKLYN NETS,HOME,MILWAUKEE BUCKS,WIN,99,0,0,0,0,0,0,0,0,0,0,1,0,0,0.7,0.0
brownbr01,Bruce Brown,BROOKLYN NETS,HOME,MILWAUKEE BUCKS,WIN,782,1,5,0,1,0,0,2,1,2,0,0,1,1,0.6,1.0
hardeja01,James Harden,BROOKLYN NETS,HOME,MILWAUKEE BUCKS,WIN,2739,1,10,0,8,3,3,0,6,8,0,0,4,3,0.6,4.0
jamesmi02,Mike James,BROOKLYN NETS,HOME,MILWAUKEE BUCKS,WIN,201,0,1,0,1,0,0,0,1,1,0,0,0,1,-0.1,-2.0
tuckepj01,P.J. Tucker,MILWAUKEE BUCKS,AWAY,BROOKLYN NETS,LOSS,2003,0,3,0,2,0,0,2,2,0,2,0,0,5,-0.1,-2.0
harrijo01,Joe Harris,BROOKLYN NETS,HOME,MILWAUKEE BUCKS,WIN,2222,2,11,1,7,0,0,0,3,1,0,0,0,0,-0.3,3.0
antetth01,Thanasis Antetokounmpo,MILWAUKEE BUCKS,AWAY,BROOKLYN NETS,LOSS,88,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4,1.0
