slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,plus_minus
markkla01,Lauri Markkanen,UTAH JAZZ,AWAY,NEW ORLEANS PELICANS,WIN,2356,9,17,2,6,11,11,3,9,2,2,1,2,3,28.4,6.0
bookede01,Devin Booker,PHOENIX SUNS,AWAY,LOS ANGELES CLIPPERS,WIN,2089,13,21,5,9,4,4,1,0,4,1,0,3,1,26.6,13.0
jamesle01,LeBron James,LOS ANGELES LAKERS,HOME,PORTLAND TRAIL BLAZERS,LOSS,2263,12,22,2,9,5,7,1,7,8,2,2,4,3,26.2,2.0
lillada01,Damian Lillard,PORTLAND TRAIL BLAZERS,AWAY,LOS ANGELES LAKERS,WIN,2051,15,25,6,13,5,7,1,4,2,0,1,6,3,25.5,2.0
davisan02,Anthony Davis,LOS ANGELES LAKERS,HOME,PORTLAND TRAIL BLAZERS,LOSS,2176,9,17,0,3,4,4,5,5,3,2,6,1,5,24.0,3.0
richani01,Nick Richards,CHARLOTTE HORNETS,AWAY,ATLANTA HAWKS,WIN,1209,9,9,0,0,2,3,5,6,1,0,2,0,1,23.9,25.0
mccolcj01,CJ McCollum,NEW ORLEANS PELICANS,HOME,UTAH JAZZ,LOSS,2443,12,25,2,8,2,2,0,4,12,1,0,2,2,23.1,9.0
mitchdo01,Donovan Mitchell,CLEVELAND CAVALIERS,HOME,WASHINGTON WIZARDS,WIN,2674,12,29,5,12,8,9,2,3,4,3,1,6,2,23.1,4.0
curryst01,Stephen Curry,GOLDEN STATE WARRIORS,HOME,SACRAMENTO KINGS,WIN,1881,11,22,7,12,4,4,0,5,2,1,0,2,3,22.7,19.0
edwaran01,Anthony Edwards,MINNESOTA TIMBERWOLVES,AWAY,OKLAHOMA CITY THUNDER,WIN,2012,13,19,3,7,1,3,2,9,3,1,0,4,4,22.7,22.0
foxde01,De'Aaron Fox,SACRAMENTO KINGS,AWAY,GOLDEN STATE WARRIORS,LOSS,2181,11,20,1,6,3,3,1,4,10,1,0,3,4,21.7,-7.0
sabondo01,Domantas Sabonis,SACRAMENTO KINGS,AWAY,GOLDEN STATE WARRIORS,LOSS,1341,6,10,0,1,7,8,3,11,4,0,1,1,2,21.1,-25.0
wiggian01,Andrew Wiggins,GOLDEN STATE WARRIORS,HOME,SACRAMENTO KINGS,WIN,1890,10,19,2,6,2,3,1,4,1,3,2,0,2,20.5,14.0
youngtr01,Trae Young,ATLANTA HAWKS,HOME,CHARLOTTE HORNETS,LOSS,1997,9,25,2,8,8,9,2,3,9,0,0,1,4,19.7,-6.0
bealbr01,Bradley Beal,WASHINGTON WIZARDS,AWAY,CLEVELAND CAVALIERS,LOSS,2495,11,16,0,1,5,7,1,3,5,2,0,6,3,19.3,-5.0
monkma01,Malik Monk,SACRAMENTO KINGS,AWAY,GOLDEN STATE WARRIORS,LOSS,1713,6,15,4,10,0,0,3,4,8,3,0,1,0,18.8,2.0
morrima03,Marcus Morris,LOS ANGELES CLIPPERS,HOME,PHOENIX SUNS,LOSS,1885,10,14,2,5,0,0,1,4,1,1,0,1,1,18.4,-10.0
poolejo01,Jordan Poole,GOLDEN STATE WARRIORS,HOME,SACRAMENTO KINGS,WIN,1623,7,14,3,5,7,9,0,0,4,1,0,1,2,18.2,-18.0
willizi01,Zion Williamson,NEW ORLEANS PELICANS,HOME,UTAH JAZZ,LOSS,1793,10,16,0,0,5,6,2,4,1,1,2,4,3,17.9,-7.0
allenja01,Jarrett Allen,CLEVELAND CAVALIERS,HOME,WASHINGTON WIZARDS,WIN,2251,6,13,0,0,3,4,6,8,3,0,2,0,2,17.2,-1.0
olynyke01,Kelly Olynyk,UTAH JAZZ,AWAY,NEW ORLEANS PELICANS,WIN,2237,7,12,2,3,4,5,1,2,5,1,0,1,4,17.2,-8.0
oubreke01,Kelly Oubre Jr.,CHARLOTTE HORNETS,AWAY,ATLANTA HAWKS,WIN,1950,9,20,3,6,3,3,2,8,0,1,0,1,4,15.8,12.0
robinje02,Jeremiah Robinson-Earl,OKLAHOMA CITY THUNDER,HOME,MINNESOTA TIMBERWOLVES,LOSS,1534,5,6,3,4,2,2,0,2,3,1,0,0,2,15.7,-9.0
smithde03,Dennis Smith Jr.,CHARLOTTE HORNETS,AWAY,ATLANTA HAWKS,WIN,2010,8,16,1,2,1,1,1,1,6,3,1,2,3,15.7,9.0
vandeja01,Jarred Vanderbilt,UTAH JAZZ,AWAY,NEW ORLEANS PELICANS,WIN,1680,5,7,2,3,3,3,0,4,1,4,1,1,5,15.7,-4.0
capelca01,Clint Capela,ATLANTA HAWKS,HOME,CHARLOTTE HORNETS,LOSS,1377,6,8,0,0,2,2,5,5,1,1,1,1,4,15.6,-19.0
goberru01,Rudy Gobert,MINNESOTA TIMBERWOLVES,AWAY,OKLAHOMA CITY THUNDER,WIN,1477,7,9,0,1,1,3,2,13,1,0,1,1,2,15.6,-1.0
