slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,plus_minus
georgpa01,Paul George,LOS ANGELES CLIPPERS,HOME,ORLANDO MAGIC,WIN,1965,8,17,6,9,5,6,1,6,7,2,0,3,2,23.5,15.0
johnske04,Keldon Johnson,SAN ANTONIO SPURS,AWAY,PHOENIX SUNS,WIN,1960,10,20,4,9,3,4,1,2,4,2,0,0,1,22.3,1.0
mitchdo01,Donovan Mitchell,CLEVELAND CAVALIERS,HOME,NEW YORK KNICKS,LOSS,1727,11,20,0,3,4,4,2,1,3,3,0,2,2,20.4,-11.0
duranke01,Kevin Durant,PHOENIX SUNS,HOME,SAN ANTONIO SPURS,LOSS,2239,12,19,1,3,1,2,0,2,7,2,0,5,0,19.6,3.0
westbru01,Russell Westbrook,LOS ANGELES CLIPPERS,HOME,ORLANDO MAGIC,WIN,1973,8,16,0,4,2,2,0,6,7,5,1,3,4,17.8,16.0
allengr01,Grayson Allen,PHOENIX SUNS,HOME,SAN ANTONIO SPURS,LOSS,2224,5,9,5,7,4,4,1,6,3,0,1,2,2,17.2,-12.0
randlju01,Julius Randle,NEW YORK KNICKS,AWAY,CLEVELAND CAVALIERS,WIN,1883,5,14,2,5,7,10,3,7,2,1,0,1,1,15.2,18.0
vassede01,Devin Vassell,SAN ANTONIO SPURS,AWAY,PHOENIX SUNS,WIN,2152,7,17,3,8,1,2,1,5,5,3,0,3,0,14.2,-1.0
gordoer01,Eric Gordon,PHOENIX SUNS,HOME,SAN ANTONIO SPURS,LOSS,2169,8,14,4,9,0,0,0,2,6,0,0,4,1,13.8,8.0
nurkiju01,Jusuf Nurkić,PHOENIX SUNS,HOME,SAN ANTONIO SPURS,LOSS,1802,4,10,2,5,2,2,0,12,4,1,2,0,4,13.8,-8.0
colliza01,Zach Collins,SAN ANTONIO SPURS,AWAY,PHOENIX SUNS,WIN,1647,6,11,1,3,1,1,1,4,4,1,3,2,3,13.3,8.0
harteis01,Isaiah Hartenstein,NEW YORK KNICKS,AWAY,CLEVELAND CAVALIERS,WIN,1371,5,10,0,2,3,3,4,3,1,2,1,1,3,12.9,12.0
jonestr01,Tre Jones,SAN ANTONIO SPURS,AWAY,PHOENIX SUNS,WIN,1425,3,4,0,1,4,4,0,2,3,1,1,0,0,12.8,13.0
wembavi01,Victor Wembanyama,SAN ANTONIO SPURS,AWAY,PHOENIX SUNS,WIN,1693,6,12,2,6,4,5,3,5,1,0,4,5,3,12.5,-3.0
quickim01,Immanuel Quickley,NEW YORK KNICKS,AWAY,CLEVELAND CAVALIERS,WIN,1436,6,11,3,6,3,3,0,3,2,0,0,3,0,12.0,9.0
powelno01,Norman Powell,LOS ANGELES CLIPPERS,HOME,ORLANDO MAGIC,WIN,1736,5,8,2,5,5,7,0,3,3,0,0,3,4,11.0,-2.0
wagnemo01,Moritz Wagner,ORLANDO MAGIC,AWAY,LOS ANGELES CLIPPERS,LOSS,862,4,7,0,2,5,6,0,1,1,1,1,1,2,10.2,1.0
banchpa01,Paolo Banchero,ORLANDO MAGIC,AWAY,LOS ANGELES CLIPPERS,LOSS,1923,5,13,1,3,4,8,0,4,4,4,0,3,3,10.1,-15.0
robinmi01,Mitchell Robinson,NEW YORK KNICKS,AWAY,CLEVELAND CAVALIERS,WIN,1339,4,4,0,0,0,0,3,4,0,1,0,1,0,10.1,6.0
brunsja01,Jalen Brunson,NEW YORK KNICKS,AWAY,CLEVELAND CAVALIERS,WIN,2020,7,16,1,3,4,5,0,5,2,2,0,5,1,9.7,21.0
hylanbo01,Bones Hyland,LOS ANGELES CLIPPERS,HOME,ORLANDO MAGIC,WIN,1938,6,14,4,7,1,2,0,0,3,1,0,1,4,9.7,8.0
mobleev01,Evan Mobley,CLEVELAND CAVALIERS,HOME,NEW YORK KNICKS,LOSS,1743,3,9,0,0,0,0,4,8,5,0,2,2,0,9.0,-19.0
harriga01,Gary Harris,ORLANDO MAGIC,AWAY,LOS ANGELES CLIPPERS,LOSS,1065,3,5,2,4,1,3,0,2,2,1,0,0,1,8.5,0.0
wagnefr01,Franz Wagner,ORLANDO MAGIC,AWAY,LOS ANGELES CLIPPERS,LOSS,1941,6,13,2,7,0,0,1,7,3,0,1,3,4,8.3,5.0
watanyu01,Yuta Watanabe,PHOENIX SUNS,HOME,SAN ANTONIO SPURS,LOSS,1165,4,8,3,7,0,0,1,2,2,1,0,2,1,8.3,-6.0
zubaciv01,Ivica Zubac,LOS ANGELES CLIPPERS,HOME,ORLANDO MAGIC,WIN,1361,4,8,0,0,1,2,2,7,1,0,1,1,1,8.1,19.0
barrerj01,RJ Barrett,NEW YORK KNICKS,AWAY,CLEVELAND CAVALIERS,WIN,1490,5,13,3,5,3,4,1,2,0,0,0,1,2,8.0,14.0
plumlma01,Mason Plumlee,LOS ANGELES CLIPPERS,HOME,ORLANDO MAGIC,WIN,1340,5,7,0,0,0,2,2,5,2,0,1,2,4,7.7,-5.0
osmande01,Cedi Osman,SAN ANTONIO SPURS,AWAY,PHOENIX SUNS,WIN,1139,4,7,1,2,0,1,0,2,1,1,0,0,0,7.6,6.0
leonaka01,Kawhi Leonard,LOS ANGELES CLIPPERS,HOME,ORLANDO MAGIC,WIN,1979,3,11,0,3,2,2,2,6,3,2,0,1,1,7.4,18.0
suggsja01,Jalen Suggs,ORLANDO MAGIC,AWAY,LOS ANGELES CLIPPERS,LOSS,1896,5,10,1,5,0,0,2,4,3,1,1,3,5,7.4,-12.0
sochaje01,Jeremy Sochan,SAN ANTONIO SPURS,AWAY,PHOENIX SUNS,WIN,1815,3,8,0,1,2,3,1,6,5,0,0,0,5,7.2,-7.0
eubandr01,Drew Eubanks,PHOENIX SUNS,HOME,SAN ANTONIO SPURS,LOSS,1029,1,3,0,0,1,2,1,8,4,1,2,2,1,6.8,13.0
fultzma01,Markelle Fultz,ORLANDO MAGIC,AWAY,LOS ANGELES CLIPPERS,LOSS,1932,6,11,0,0,0,1,1,4,1,1,0,2,3,6.7,-16.0
brownko01,Kobe Brown,LOS ANGELES CLIPPERS,HOME,ORLANDO MAGIC,WIN,1142,3,4,1,2,0,0,1,2,1,0,1,0,4,6.5,11.0
batesem01,Emoni Bates,CLEVELAND CAVALIERS,HOME,NEW YORK KNICKS,LOSS,1378,3,8,2,5,1,2,1,5,1,0,1,1,1,6.4,-9.0
mcderdo01,Doug McDermott,SAN ANTONIO SPURS,AWAY,PHOENIX SUNS,WIN,919,2,3,2,2,0,0,0,1,1,1,0,0,1,6.3,0.0
okogijo01,Josh Okogie,PHOENIX SUNS,HOME,SAN ANTONIO SPURS,LOSS,1804,3,10,1,4,4,5,1,1,2,0,2,2,1,6.2,-3.0
okorois01,Isaac Okoro,CLEVELAND CAVALIERS,HOME,NEW YORK KNICKS,LOSS,1479,4,11,2,5,1,2,3,4,0,0,0,1,2,6.0,-9.0
merrisa01,Sam Merrill,CLEVELAND CAVALIERS,HOME,NEW YORK KNICKS,LOSS,837,2,4,2,4,0,0,0,1,2,1,0,1,0,5.7,-2.0
anthoco01,Cole Anthony,ORLANDO MAGIC,AWAY,LOS ANGELES CLIPPERS,LOSS,1051,3,6,0,2,4,6,0,2,1,0,0,1,3,5.3,-18.0
portecr01,Craig Porter Jr.,CLEVELAND CAVALIERS,HOME,NEW YORK KNICKS,LOSS,1331,5,12,0,1,0,0,1,3,2,2,1,3,3,5.1,-9.0
littlna01,Nassir Little,PHOENIX SUNS,HOME,SAN ANTONIO SPURS,LOSS,1075,2,3,2,2,0,0,0,2,1,2,0,1,5,5.0,2.0
divindo01,Donte DiVincenzo,NEW YORK KNICKS,AWAY,CLEVELAND CAVALIERS,WIN,900,1,3,1,3,0,0,0,2,6,1,0,1,3,4.9,9.0
grimequ01,Quentin Grimes,NEW YORK KNICKS,AWAY,CLEVELAND CAVALIERS,WIN,1313,2,4,1,3,0,0,0,1,1,2,0,0,3,4.8,8.0
cartewe01,Wendell Carter Jr.,ORLANDO MAGIC,AWAY,LOS ANGELES CLIPPERS,LOSS,1782,2,8,0,2,3,6,1,7,3,1,0,2,2,4.1,-16.0
hartjo01,Josh Hart,NEW YORK KNICKS,AWAY,CLEVELAND CAVALIERS,WIN,1679,2,6,1,3,0,0,0,7,3,0,0,1,2,4.0,2.0
thomptr01,Tristan Thompson,CLEVELAND CAVALIERS,HOME,NEW YORK KNICKS,LOSS,1128,1,1,0,0,2,2,1,1,1,0,2,2,2,4.0,-1.0
bitadgo01,Goga Bitadze,ORLANDO MAGIC,AWAY,LOS ANGELES CLIPPERS,LOSS,236,0,0,0,0,1,2,1,0,3,0,0,0,0,3.4,-1.0
houstca01,Caleb Houstan,ORLANDO MAGIC,AWAY,LOS ANGELES CLIPPERS,LOSS,236,2,5,1,4,1,1,0,0,0,0,0,0,0,3.3,-1.0
goodwjo01,Jordan Goodwin,PHOENIX SUNS,HOME,SAN ANTONIO SPURS,LOSS,893,3,7,0,2,0,0,2,2,0,1,0,1,3,3.1,-2.0
niangge01,Georges Niang,CLEVELAND CAVALIERS,HOME,NEW YORK KNICKS,LOSS,1454,4,12,3,9,0,0,0,3,1,0,0,2,3,2.6,-12.0
millejo02,Jordan Miller,LOS ANGELES CLIPPERS,HOME,ORLANDO MAGIC,WIN,175,1,1,1,1,0,0,0,0,0,0,0,0,1,2.3,2.0
strusma01,Max Strus,CLEVELAND CAVALIERS,HOME,NEW YORK KNICKS,LOSS,1983,2,9,1,7,1,2,0,3,3,0,0,0,2,2.3,-12.0
diabamo01,Moussa Diabaté,LOS ANGELES CLIPPERS,HOME,ORLANDO MAGIC,WIN,175,1,2,0,0,0,0,1,0,2,0,0,1,0,2.1,2.0
howarje01,Jett Howard,ORLANDO MAGIC,AWAY,LOS ANGELES CLIPPERS,LOSS,236,1,1,0,0,0,0,0,1,0,0,0,0,0,2.0,-1.0
jonesda03,Damian Jones,CLEVELAND CAVALIERS,HOME,NEW YORK KNICKS,LOSS,317,1,1,0,0,0,0,0,1,0,0,0,0,0,2.0,2.0
mcbrimi01,Miles McBride,NEW YORK KNICKS,AWAY,CLEVELAND CAVALIERS,WIN,249,1,2,1,2,0,0,0,0,0,0,0,0,1,1.6,-5.0
okekech01,Chuma Okeke,ORLANDO MAGIC,AWAY,LOS ANGELES CLIPPERS,LOSS,236,1,1,0,0,0,0,1,0,0,0,0,1,0,1.4,-1.0
bassech01,Charles Bassey,SAN ANTONIO SPURS,AWAY,PHOENIX SUNS,WIN,928,1,2,0,0,0,0,1,2,1,0,1,1,4,1.1,-13.0
simsje01,Jericho Sims,NEW YORK KNICKS,AWAY,CLEVELAND CAVALIERS,WIN,170,0,1,0,0,0,0,1,0,1,0,0,0,0,0.7,0.0
arcidry01,Ryan Arcidiacono,NEW YORK KNICKS,AWAY,CLEVELAND CAVALIERS,WIN,131,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3,1.0
blackan01,Anthony Black,ORLANDO MAGIC,AWAY,LOS ANGELES CLIPPERS,LOSS,236,0,0,0,0,0,0,0,0,1,0,0,0,1,0.3,-1.0
inglejo01,Joe Ingles,ORLANDO MAGIC,AWAY,LOS ANGELES CLIPPERS,LOSS,768,0,1,0,1,0,0,0,1,1,0,0,0,0,0.3,-4.0
mobleis01,Isaiah Mobley,CLEVELAND CAVALIERS,HOME,NEW YORK KNICKS,LOSS,53,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.1,-3.0
windldy01,Dylan Windler,NEW YORK KNICKS,AWAY,CLEVELAND CAVALIERS,WIN,170,0,1,0,1,0,0,0,1,0,0,0,0,0,-0.4,0.0
champju02,Julian Champagnie,SAN ANTONIO SPURS,AWAY,PHOENIX SUNS,WIN,183,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7,-1.0
jeffrda01,DaQuan Jeffries,NEW YORK KNICKS,AWAY,CLEVELAND CAVALIERS,WIN,249,0,1,0,1,0,0,0,0,0,0,0,0,1,-1.1,-5.0
branhma01,Malaki Branham,SAN ANTONIO SPURS,AWAY,PHOENIX SUNS,WIN,539,1,7,1,4,0,0,0,0,0,1,0,1,0,-1.5,2.0
coffeam01,Amir Coffey,LOS ANGELES CLIPPERS,HOME,ORLANDO MAGIC,WIN,616,0,1,0,0,0,0,0,0,0,0,0,1,1,-2.1,-4.0
wadede01,Dean Wade,CLEVELAND CAVALIERS,HOME,NEW YORK KNICKS,LOSS,970,0,5,0,4,0,0,2,1,1,0,0,1,3,-3.3,-5.0
