slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,plus_minus
antetgi01,Giannis Antetokounmpo,MILWAUKEE BUCKS,HOME,CHICAGO BULLS,WIN,1807,11,15,0,1,11,14,1,8,3,0,0,2,1,28.5,18.0
jokicni01,Nikola Jokić,DENVER NUGGETS,AWAY,GOLDEN STATE WARRIORS,LOSS,1932,12,18,0,2,6,8,3,16,8,1,2,6,5,28.3,0.0
curryst01,Stephen Curry,GOLDEN STATE WARRIORS,HOME,DENVER NUGGETS,WIN,2271,10,22,5,11,5,7,1,4,5,2,0,5,2,19.4,7.0
vucevni01,Nikola Vučević,CHICAGO BULLS,AWAY,MILWAUKEE BUCKS,LOSS,2218,8,15,3,9,0,0,2,14,6,0,2,3,5,17.9,-18.0
thompkl01,Klay Thompson,GOLDEN STATE WARRIORS,HOME,DENVER NUGGETS,WIN,2373,5,13,1,6,4,4,1,8,3,4,1,0,2,17.0,6.0
paytoga02,Gary Payton II,GOLDEN STATE WARRIORS,HOME,DENVER NUGGETS,WIN,1546,6,8,3,4,0,0,1,2,3,2,1,0,3,16.7,0.0
connapa01,Pat Connaughton,MILWAUKEE BUCKS,HOME,CHICAGO BULLS,WIN,1401,7,11,6,9,0,0,0,2,1,0,0,1,1,15.0,14.0
couside01,DeMarcus Cousins,DENVER NUGGETS,AWAY,GOLDEN STATE WARRIORS,LOSS,917,8,12,2,3,1,2,1,3,0,1,0,1,1,14.6,-2.0
willipa01,Patrick Williams,CHICAGO BULLS,AWAY,MILWAUKEE BUCKS,LOSS,2071,9,13,4,7,1,2,1,0,0,0,1,4,2,13.7,-24.0
gordoaa01,Aaron Gordon,DENVER NUGGETS,AWAY,GOLDEN STATE WARRIORS,LOSS,2382,5,11,0,4,5,8,5,3,2,1,2,3,1,12.9,2.0
whiteco01,Coby White,CHICAGO BULLS,AWAY,MILWAUKEE BUCKS,LOSS,1893,6,16,4,13,1,1,0,3,4,1,0,1,0,11.9,-15.0
carteje01,Jevon Carter,MILWAUKEE BUCKS,HOME,CHICAGO BULLS,WIN,1280,3,6,0,1,0,0,2,1,4,5,0,0,2,11.7,17.0
matthwe02,Wesley Matthews,MILWAUKEE BUCKS,HOME,CHICAGO BULLS,WIN,1635,3,6,2,4,0,0,0,1,4,4,0,0,1,11.7,16.0
morrimo01,Monte Morris,DENVER NUGGETS,AWAY,GOLDEN STATE WARRIORS,LOSS,2163,5,12,2,6,2,3,0,3,7,1,0,1,4,11.4,-9.0
