slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,plus_minus
burksal01,Alec Burks,UTAH JAZZ,HOME,DENVER NUGGETS,WIN,2259,13,19,0,1,8,8,0,3,5,1,0,1,2,29.5,9.0
lowryky01,Kyle Lowry,TORONTO RAPTORS,HOME,MILWAUKEE BUCKS,WIN,1798,6,8,4,5,7,7,1,1,5,4,1,0,3,27.8,15.0
ilyaser01,Ersan İlyasova,MILWAUKEE BUCKS,AWAY,TORONTO RAPTORS,LOSS,1989,11,16,3,3,4,4,2,7,0,2,0,0,0,27.7,3.0
howardw01,Dwight Howard,HOUSTON ROCKETS,AWAY,BOSTON CELTICS,WIN,2210,11,17,0,1,10,18,3,8,2,0,1,2,2,25.1,8.0
hicksjj01,J.J. Hickson,DENVER NUGGETS,AWAY,UTAH JAZZ,LOSS,1834,8,9,0,0,5,6,3,7,1,0,2,0,1,23.4,-8.0
parketo01,Tony Parker,SAN ANTONIO SPURS,AWAY,NEW ORLEANS PELICANS,WIN,2176,9,15,0,0,9,10,0,3,6,1,0,2,3,22.6,17.0
dragigo01,Goran Dragić,PHOENIX SUNS,AWAY,NEW YORK KNICKS,LOSS,2874,9,22,4,8,6,6,4,4,4,1,1,3,2,20.9,0.0
linje01,Jeremy Lin,HOUSTON ROCKETS,AWAY,BOSTON CELTICS,WIN,2124,5,7,1,2,5,6,0,1,9,3,0,1,3,20.1,4.0
davisan02,Anthony Davis,NEW ORLEANS PELICANS,HOME,SAN ANTONIO SPURS,LOSS,2119,9,18,0,1,4,5,6,5,2,3,2,3,3,19.9,-10.0
bradlav01,Avery Bradley,BOSTON CELTICS,HOME,HOUSTON ROCKETS,LOSS,2034,11,21,2,7,0,0,0,5,3,3,1,1,2,19.2,-10.0
anthoca01,Carmelo Anthony,NEW YORK KNICKS,HOME,PHOENIX SUNS,WIN,2748,9,24,3,6,8,9,3,13,4,1,1,5,5,18.9,2.0
derozde01,DeMar DeRozan,TORONTO RAPTORS,HOME,MILWAUKEE BUCKS,WIN,1966,8,16,0,3,3,5,2,5,7,1,1,1,2,17.9,13.0
nelsoja01,Jameer Nelson,ORLANDO MAGIC,AWAY,DALLAS MAVERICKS,LOSS,2339,7,14,4,8,3,4,1,1,7,1,0,3,1,17.1,-12.0
walljo01,John Wall,WASHINGTON WIZARDS,AWAY,CHICAGO BULLS,WIN,2181,6,14,0,3,7,8,0,5,7,4,1,5,1,16.9,10.0
lawsoty01,Ty Lawson,DENVER NUGGETS,AWAY,UTAH JAZZ,LOSS,2631,6,18,0,3,11,15,1,1,11,2,0,5,2,16.1,-15.0
davisgl01,Glen Davis,ORLANDO MAGIC,AWAY,DALLAS MAVERICKS,LOSS,1903,8,14,0,1,3,3,1,7,0,1,0,0,1,15.8,-6.0
crowdja01,Jae Crowder,DALLAS MAVERICKS,HOME,ORLANDO MAGIC,WIN,1480,6,8,2,3,0,0,0,4,1,3,1,0,2,15.6,15.0
arizatr01,Trevor Ariza,WASHINGTON WIZARDS,AWAY,CHICAGO BULLS,WIN,2360,5,10,3,6,3,4,2,7,4,1,0,1,4,15.3,12.0
leonaka01,Kawhi Leonard,SAN ANTONIO SPURS,AWAY,NEW ORLEANS PELICANS,WIN,1979,4,6,1,1,4,4,0,6,3,2,1,1,2,15.2,10.0
plumlmi01,Miles Plumlee,PHOENIX SUNS,AWAY,NEW YORK KNICKS,LOSS,1971,4,9,0,0,4,4,6,5,1,3,2,1,5,15.1,8.0
hilarne01,Nenê,WASHINGTON WIZARDS,AWAY,CHICAGO BULLS,WIN,2148,9,14,0,0,1,6,1,4,5,2,2,3,4,15.0,2.0
burketr01,Trey Burke,UTAH JAZZ,HOME,DENVER NUGGETS,WIN,2161,6,12,3,4,3,4,0,2,8,0,0,2,3,14.6,9.0
bayleje01,Jerryd Bayless,BOSTON CELTICS,HOME,HOUSTON ROCKETS,LOSS,1411,7,13,1,1,2,2,0,1,4,2,1,2,0,14.5,1.0
