slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,plus_minus
stuckro01,Rodney Stuckey,INDIANA PACERS,HOME,ORLANDO MAGIC,WIN,1835,13,19,6,9,2,2,1,5,7,1,1,1,2,32.9,37.0
lowryky01,Kyle Lowry,TORONTO RAPTORS,AWAY,SAN ANTONIO SPURS,LOSS,2563,10,19,5,9,7,7,1,3,5,2,0,1,4,27.2,-3.0
jamesle01,LeBron James,CLEVELAND CAVALIERS,AWAY,DALLAS MAVERICKS,WIN,1738,10,14,4,6,3,5,0,7,8,1,1,2,3,26.6,27.0
leonaka01,Kawhi Leonard,SAN ANTONIO SPURS,HOME,TORONTO RAPTORS,WIN,2331,10,19,0,0,4,4,4,7,1,5,1,1,1,24.6,12.0
favorde01,Derrick Favors,UTAH JAZZ,HOME,NEW YORK KNICKS,WIN,2073,11,17,0,0,7,9,2,10,0,2,0,1,4,24.5,4.0
monrogr01,Greg Monroe,DETROIT PISTONS,AWAY,LOS ANGELES LAKERS,LOSS,2314,10,14,0,0,4,8,5,5,2,2,2,1,3,24.2,-14.0
shvedal01,Alexey Shved,NEW YORK KNICKS,AWAY,UTAH JAZZ,LOSS,2481,6,12,4,7,5,5,0,10,7,1,2,2,5,21.3,6.0
irvinky01,Kyrie Irving,CLEVELAND CAVALIERS,AWAY,DALLAS MAVERICKS,WIN,2089,6,13,1,2,9,10,1,4,5,2,0,3,1,18.9,21.0
smithjr01,J.R. Smith,CLEVELAND CAVALIERS,AWAY,DALLAS MAVERICKS,WIN,1736,8,14,5,8,0,0,2,6,2,1,0,0,3,18.8,28.0
greenda02,Danny Green,SAN ANTONIO SPURS,HOME,TORONTO RAPTORS,WIN,1542,5,7,5,6,4,5,1,5,2,0,1,1,1,18.6,18.0
drumman01,Andre Drummond,DETROIT PISTONS,AWAY,LOS ANGELES LAKERS,LOSS,1903,7,12,0,0,0,0,6,15,0,1,2,1,1,18.1,0.0
parketo01,Tony Parker,SAN ANTONIO SPURS,HOME,TORONTO RAPTORS,WIN,2190,9,20,1,3,4,6,0,2,9,1,0,1,2,17.9,7.0
aldrico01,Cole Aldrich,NEW YORK KNICKS,AWAY,UTAH JAZZ,LOSS,1759,7,12,0,0,3,3,4,9,0,1,1,0,3,17.4,-16.0
johnsam01,Amir Johnson,TORONTO RAPTORS,AWAY,SAN ANTONIO SPURS,LOSS,1974,8,14,0,0,0,2,6,8,3,0,1,1,1,16.6,1.0
asikom01,Ömer Aşık,NEW ORLEANS PELICANS,AWAY,BROOKLYN NETS,WIN,1637,6,8,0,0,0,0,3,12,1,1,0,0,0,16.2,11.0
loveke01,Kevin Love,CLEVELAND CAVALIERS,AWAY,DALLAS MAVERICKS,WIN,1977,9,17,2,6,1,2,2,12,2,0,1,3,2,15.6,24.0
mozgoti01,Timofey Mozgov,CLEVELAND CAVALIERS,AWAY,DALLAS MAVERICKS,WIN,2004,5,10,0,0,7,8,2,2,1,1,2,0,3,15.5,23.0
pondequ01,Quincy Pondexter,NEW ORLEANS PELICANS,AWAY,BROOKLYN NETS,WIN,1773,6,9,5,6,0,0,1,0,4,0,1,1,2,15.5,11.0
rudezda01,Damjan Rudež,INDIANA PACERS,HOME,ORLANDO MAGIC,WIN,1593,6,8,5,7,0,0,0,0,5,0,0,2,0,15.3,7.0
scolalu01,Luis Scola,INDIANA PACERS,HOME,ORLANDO MAGIC,WIN,1221,6,8,0,0,3,3,3,7,0,1,0,1,2,15.2,32.0
goberru01,Rudy Gobert,UTAH JAZZ,HOME,NEW YORK KNICKS,WIN,2256,4,8,0,0,2,5,2,12,1,3,4,1,1,14.9,2.0
coleno01,Norris Cole,NEW ORLEANS PELICANS,AWAY,BROOKLYN NETS,WIN,1768,6,11,4,6,0,0,0,5,4,3,0,2,3,14.8,4.0
harrito02,Tobias Harris,ORLANDO MAGIC,AWAY,INDIANA PACERS,LOSS,1781,8,17,1,4,5,6,2,4,0,2,0,2,2,14.7,-3.0
watsocj01,C.J. Watson,INDIANA PACERS,HOME,ORLANDO MAGIC,WIN,1399,3,6,3,5,3,3,1,3,5,2,1,3,0,13.8,31.0
ellismo01,Monta Ellis,DALLAS MAVERICKS,HOME,CLEVELAND CAVALIERS,LOSS,1900,8,18,0,4,1,2,1,2,4,2,1,0,1,13.6,-18.0
linje01,Jeremy Lin,LOS ANGELES LAKERS,HOME,DETROIT PISTONS,WIN,1687,1,4,1,1,9,12,0,7,5,1,1,2,1,13.3,0.0
lopezbr01,Brook Lopez,BROOKLYN NETS,HOME,NEW ORLEANS PELICANS,LOSS,1493,7,14,0,0,1,4,6,3,0,1,3,1,2,13.2,-20.0
shumpim01,Iman Shumpert,CLEVELAND CAVALIERS,AWAY,DALLAS MAVERICKS,WIN,1904,2,6,1,3,2,2,2,2,6,6,0,1,4,13.2,15.0
ajincal01,Alexis Ajinça,NEW ORLEANS PELICANS,AWAY,BROOKLYN NETS,WIN,1375,7,14,0,0,3,3,1,4,4,3,0,3,4,13.1,12.0
derozde01,DeMar DeRozan,TORONTO RAPTORS,AWAY,SAN ANTONIO SPURS,LOSS,2314,8,18,0,1,5,7,0,3,4,1,0,1,5,12.5,-7.0
davisan02,Anthony Davis,NEW ORLEANS PELICANS,AWAY,BROOKLYN NETS,WIN,1683,5,16,0,0,5,6,1,5,5,0,3,0,2,12.4,14.0
davised01,Ed Davis,LOS ANGELES LAKERS,HOME,DETROIT PISTONS,WIN,1098,6,8,0,0,1,2,2,4,1,1,0,0,4,12.1,1.0
vucevni01,Nikola Vučević,ORLANDO MAGIC,AWAY,INDIANA PACERS,LOSS,1684,6,10,0,0,1,2,1,4,2,2,0,1,1,11.9,2.0
gordoer01,Eric Gordon,NEW ORLEANS PELICANS,AWAY,BROOKLYN NETS,WIN,1852,6,14,3,6,1,2,1,1,7,0,0,2,1,11.7,17.0
jackja01,Jarrett Jack,BROOKLYN NETS,HOME,NEW ORLEANS PELICANS,LOSS,1694,5,9,1,3,4,5,0,1,3,0,0,1,0,11.7,-10.0
oladivi01,Victor Oladipo,ORLANDO MAGIC,AWAY,INDIANA PACERS,LOSS,1924,4,12,1,3,4,4,0,3,2,3,3,1,3,11.4,-13.0
chandty01,Tyson Chandler,DALLAS MAVERICKS,HOME,CLEVELAND CAVALIERS,LOSS,1391,1,4,0,0,7,8,6,4,0,1,1,1,3,11.1,-25.0
parsoch01,Chandler Parsons,DALLAS MAVERICKS,HOME,CLEVELAND CAVALIERS,LOSS,1893,7,12,3,4,1,2,1,4,1,0,1,4,1,10.9,-27.0
inglejo01,Joe Ingles,UTAH JAZZ,HOME,NEW YORK KNICKS,WIN,2156,4,8,1,3,3,3,0,3,5,1,0,2,2,10.6,14.0
bargnan01,Andrea Bargnani,NEW YORK KNICKS,AWAY,UTAH JAZZ,LOSS,2007,9,19,0,1,2,2,0,3,1,0,0,1,1,10.5,5.0
paytoel01,Elfrid Payton,ORLANDO MAGIC,AWAY,INDIANA PACERS,LOSS,1913,5,13,0,0,4,6,2,1,6,1,1,2,3,10.5,-16.0
johnswe01,Wesley Johnson,LOS ANGELES LAKERS,HOME,DETROIT PISTONS,WIN,1967,2,6,1,3,8,8,0,3,1,2,0,2,2,10.4,9.0
duncati01,Tim Duncan,SAN ANTONIO SPURS,HOME,TORONTO RAPTORS,WIN,2176,5,12,0,0,2,4,3,10,2,0,1,1,2,10.2,1.0
