slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,plus_minus
tatumja01,Jayson Tatum,BOSTON CELTICS,AWAY,ATLANTA HAWKS,LOSS,2363,13,26,2,7,9,11,2,6,5,2,1,2,1,30.2,3.0
divindo01,Donte DiVincenzo,NEW YORK KNICKS,HOME,DETROIT PISTONS,WIN,2450,14,23,11,20,1,3,1,4,2,2,1,4,2,29.9,21.0
jokicni01,Nikola Jokić,DENVER NUGGETS,HOME,MEMPHIS GRIZZLIES,WIN,1851,11,18,1,2,6,7,5,6,8,3,1,4,4,29.4,13.0
markkla01,Lauri Markkanen,UTAH JAZZ,HOME,DALLAS MAVERICKS,LOSS,2026,10,19,6,9,8,8,3,4,2,1,1,1,2,29.3,-2.0
doncilu01,Luka Dončić,DALLAS MAVERICKS,AWAY,UTAH JAZZ,WIN,2471,10,24,2,11,7,8,2,10,13,1,1,4,3,25.8,10.0
duranke01,Kevin Durant,PHOENIX SUNS,AWAY,SAN ANTONIO SPURS,LOSS,2168,12,17,4,6,1,2,0,8,6,1,0,3,2,25.3,5.0
sochaje01,Jeremy Sochan,SAN ANTONIO SPURS,HOME,PHOENIX SUNS,WIN,2137,10,19,1,7,5,5,2,16,1,1,1,0,2,24.5,3.0
bantoda01,Dalano Banton,PORTLAND TRAIL BLAZERS,AWAY,HOUSTON ROCKETS,LOSS,2331,11,21,2,9,4,4,1,10,5,1,2,3,1,23.9,-25.0
gaffoda01,Daniel Gafford,DALLAS MAVERICKS,AWAY,UTAH JAZZ,WIN,1637,6,7,0,0,1,2,4,7,5,2,5,0,2,23.2,15.0
bookede01,Devin Booker,PHOENIX SUNS,AWAY,SAN ANTONIO SPURS,LOSS,2399,14,28,3,10,5,7,1,5,4,1,3,5,4,22.7,-1.0
vassede01,Devin Vassell,SAN ANTONIO SPURS,HOME,PHOENIX SUNS,WIN,2103,11,24,2,9,2,2,0,4,7,3,0,0,2,21.9,9.0
foxde01,De'Aaron Fox,SACRAMENTO KINGS,HOME,PHILADELPHIA 76ERS,WIN,2208,8,18,2,6,5,6,2,6,5,2,1,0,2,21.8,16.0
allenja01,Jarrett Allen,CLEVELAND CAVALIERS,HOME,CHARLOTTE HORNETS,WIN,1998,7,9,0,0,3,3,2,11,4,1,0,0,1,21.6,14.0
brunsja01,Jalen Brunson,NEW YORK KNICKS,HOME,DETROIT PISTONS,WIN,1804,10,20,3,7,5,5,0,2,6,0,0,0,3,21.6,37.0
siakapa01,Pascal Siakam,INDIANA PACERS,AWAY,LOS ANGELES CLIPPERS,WIN,1851,12,20,1,2,6,8,2,2,2,0,0,2,2,21.6,20.0
georgpa01,Paul George,LOS ANGELES CLIPPERS,HOME,INDIANA PACERS,LOSS,1995,12,18,2,4,0,0,0,1,3,2,1,1,2,21.5,-5.0
derozde01,DeMar DeRozan,CHICAGO BULLS,HOME,WASHINGTON WIZARDS,LOSS,2266,9,22,1,4,8,11,0,2,6,5,1,3,1,21.1,9.0
collijo01,John Collins,UTAH JAZZ,HOME,DALLAS MAVERICKS,LOSS,1836,9,16,2,5,1,3,3,8,2,2,0,0,0,20.5,-10.0
