slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,plus_minus
jamesle01,LeBron James,MIAMI HEAT,HOME,PHOENIX SUNS,WIN,2001,11,14,2,4,11,11,0,5,4,1,1,4,0,31.6,1.0
hillge01,George Hill,INDIANA PACERS,HOME,MINNESOTA TIMBERWOLVES,WIN,2342,9,13,3,4,5,6,0,3,7,5,1,2,4,28.0,6.0
anthoca01,Carmelo Anthony,NEW YORK KNICKS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,2566,13,24,1,4,7,10,2,13,3,1,1,2,2,27.5,-7.0
batumni01,Nicolas Batum,PORTLAND TRAIL BLAZERS,HOME,NEW YORK KNICKS,WIN,2320,8,12,3,5,4,5,3,4,6,1,1,1,1,25.2,2.0
wadedw01,Dwyane Wade,MIAMI HEAT,HOME,PHOENIX SUNS,WIN,1984,9,13,0,0,3,3,2,4,12,0,0,3,2,22.7,22.0
walkeke02,Kemba Walker,CHARLOTTE BOBCATS,HOME,BOSTON CELTICS,LOSS,2042,11,17,1,2,5,6,2,4,5,0,0,3,2,22.4,10.0
hicksjj01,J.J. Hickson,DENVER NUGGETS,AWAY,DALLAS MAVERICKS,WIN,2029,8,11,0,0,6,8,3,5,1,3,1,2,3,21.5,19.0
georgpa01,Paul George,INDIANA PACERS,HOME,MINNESOTA TIMBERWOLVES,WIN,2360,10,16,4,4,2,4,0,8,4,4,1,6,2,21.1,14.0
lawsoty01,Ty Lawson,DENVER NUGGETS,AWAY,DALLAS MAVERICKS,WIN,1820,7,11,2,3,3,6,0,3,11,0,0,1,2,19.7,0.0
lillada01,Damian Lillard,PORTLAND TRAIL BLAZERS,HOME,NEW YORK KNICKS,WIN,2169,9,20,2,7,3,3,1,3,6,1,0,1,1,18.0,15.0
boozeca01,Carlos Boozer,CHICAGO BULLS,AWAY,UTAH JAZZ,LOSS,2485,12,23,0,0,2,2,5,11,1,2,1,6,4,17.3,-7.0
crawfjo02,Jordan Crawford,BOSTON CELTICS,AWAY,CHARLOTTE BOBCATS,WIN,1679,5,11,4,6,7,7,0,4,5,0,0,2,2,17.2,-4.0
ellismo01,Monta Ellis,DALLAS MAVERICKS,HOME,DENVER NUGGETS,LOSS,2151,8,15,0,2,6,6,0,0,4,1,0,1,2,16.7,-11.0
mariosh01,Shawn Marion,DALLAS MAVERICKS,HOME,DENVER NUGGETS,LOSS,2086,6,10,0,2,1,2,4,8,4,1,0,0,1,16.6,-10.0
ginobma01,Manu Ginóbili,SAN ANTONIO SPURS,HOME,NEW ORLEANS PELICANS,WIN,1146,6,7,4,5,0,0,0,5,6,0,0,2,2,16.4,17.0
dragigo01,Goran Dragić,PHOENIX SUNS,AWAY,MIAMI HEAT,LOSS,2351,5,12,0,3,4,4,2,6,9,1,0,1,2,16.3,-3.0
jennibr01,Brandon Jennings,DETROIT PISTONS,HOME,MILWAUKEE BUCKS,WIN,2150,5,10,4,6,1,2,1,1,13,2,0,4,4,16.1,15.0
haywago01,Gordon Hayward,UTAH JAZZ,HOME,CHICAGO BULLS,WIN,2819,5,15,0,0,5,7,1,5,12,1,1,1,3,15.8,7.0
fryech01,Channing Frye,PHOENIX SUNS,AWAY,MIAMI HEAT,LOSS,1891,6,12,4,8,0,0,1,7,3,3,0,1,3,15.7,8.0
monrogr01,Greg Monroe,DETROIT PISTONS,HOME,MILWAUKEE BUCKS,WIN,1917,5,10,0,0,6,8,1,5,3,1,0,0,0,15.5,21.0
hensojo01,John Henson,MILWAUKEE BUCKS,AWAY,DETROIT PISTONS,LOSS,1318,7,12,0,0,1,2,4,3,1,2,2,1,1,15.4,-13.0
wallage01,Gerald Wallace,BOSTON CELTICS,AWAY,CHARLOTTE BOBCATS,WIN,2144,6,10,1,2,4,7,1,3,3,2,1,1,3,15.4,8.0
robinna01,Nate Robinson,DENVER NUGGETS,AWAY,DALLAS MAVERICKS,WIN,1424,5,9,3,6,4,4,0,1,3,1,0,0,2,15.3,22.0
udrihbe01,Beno Udrih,NEW YORK KNICKS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1860,5,7,3,3,0,0,0,5,5,1,0,1,1,14.7,-1.0
denglu01,Luol Deng,CHICAGO BULLS,AWAY,UTAH JAZZ,LOSS,2684,7,18,0,4,10,13,1,9,2,0,0,2,3,14.6,-8.0
parketo01,Tony Parker,SAN ANTONIO SPURS,HOME,NEW ORLEANS PELICANS,WIN,1480,5,8,0,0,4,4,0,2,7,1,0,2,1,14.5,17.0
allenra02,Ray Allen,MIAMI HEAT,HOME,PHOENIX SUNS,WIN,1529,6,11,3,8,2,2,0,3,1,2,1,2,0,14.0,17.0
bassbr01,Brandon Bass,BOSTON CELTICS,AWAY,CHARLOTTE BOBCATS,WIN,2292,7,10,0,0,2,2,4,1,0,0,1,1,2,13.8,-9.0
casspom01,Omri Casspi,HOUSTON ROCKETS,AWAY,MEMPHIS GRIZZLIES,WIN,1350,4,6,2,3,6,6,0,3,0,1,0,1,2,13.5,11.0
princta01,Tayshaun Prince,MEMPHIS GRIZZLIES,HOME,HOUSTON ROCKETS,LOSS,2093,7,10,1,1,1,2,1,0,2,1,0,1,1,13.1,-1.0
pekovni01,Nikola Peković,MINNESOTA TIMBERWOLVES,AWAY,INDIANA PACERS,LOSS,2242,8,15,0,0,4,6,5,6,0,0,0,3,3,13.0,-10.0
willima02,Marvin Williams,UTAH JAZZ,HOME,CHICAGO BULLS,WIN,2635,7,14,3,7,0,0,0,9,1,1,0,0,4,12.8,14.0
holidjr01,Jrue Holiday,NEW ORLEANS PELICANS,AWAY,SAN ANTONIO SPURS,LOSS,1951,6,17,0,2,0,0,4,5,7,3,2,3,1,12.7,-21.0
allento01,Tony Allen,MEMPHIS GRIZZLIES,HOME,HOUSTON ROCKETS,LOSS,1822,6,12,0,1,3,4,1,1,1,6,2,4,3,12.5,3.0
hamiljo02,Jordan Hamilton,DENVER NUGGETS,AWAY,DALLAS MAVERICKS,WIN,1106,4,8,1,2,2,2,0,7,2,3,0,1,0,12.5,-2.0
caldwke01,Kentavious Caldwell-Pope,DETROIT PISTONS,HOME,MILWAUKEE BUCKS,WIN,2151,5,9,2,5,2,3,1,1,3,2,0,0,5,12.4,0.0
stuckro01,Rodney Stuckey,DETROIT PISTONS,HOME,MILWAUKEE BUCKS,WIN,1817,7,11,2,3,1,3,0,3,2,1,0,1,3,12.4,12.0
belinma01,Marco Belinelli,SAN ANTONIO SPURS,HOME,NEW ORLEANS PELICANS,WIN,1271,5,7,4,6,0,0,0,3,2,0,1,1,2,12.3,15.0
linje01,Jeremy Lin,HOUSTON ROCKETS,AWAY,MEMPHIS GRIZZLIES,WIN,1890,4,8,0,2,6,7,0,4,2,2,0,2,0,12.2,-3.0
hendege02,Gerald Henderson,CHARLOTTE BOBCATS,HOME,BOSTON CELTICS,LOSS,2205,7,17,0,2,6,6,0,5,1,1,0,2,0,12.1,10.0
martike01,Kenyon Martin,NEW YORK KNICKS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1463,5,10,0,0,0,0,3,2,6,1,0,0,2,12.1,-7.0
nowitdi01,Dirk Nowitzki,DALLAS MAVERICKS,HOME,DENVER NUGGETS,LOSS,1866,7,15,0,1,4,5,1,5,2,1,0,2,1,12.1,2.0
koufoko01,Kosta Koufos,MEMPHIS GRIZZLIES,HOME,HOUSTON ROCKETS,LOSS,1846,4,7,0,0,0,0,7,6,2,0,2,1,3,12.0,1.0
splitti01,Tiago Splitter,SAN ANTONIO SPURS,HOME,NEW ORLEANS PELICANS,WIN,806,5,6,0,0,1,1,3,3,1,0,1,1,1,11.8,5.0
loveke01,Kevin Love,MINNESOTA TIMBERWOLVES,AWAY,INDIANA PACERS,LOSS,2464,6,20,1,5,7,8,4,13,2,1,0,5,1,11.7,-5.0
parsoch01,Chandler Parsons,HOUSTON ROCKETS,AWAY,MEMPHIS GRIZZLIES,WIN,2196,8,9,1,2,0,0,0,3,1,0,0,3,2,11.7,4.0
rubiori01,Ricky Rubio,MINNESOTA TIMBERWOLVES,AWAY,INDIANA PACERS,LOSS,2150,3,9,0,2,1,2,2,7,7,5,0,2,3,11.7,-14.0
aldrila01,LaMarcus Aldridge,PORTLAND TRAIL BLAZERS,HOME,NEW YORK KNICKS,WIN,2196,7,20,0,0,4,4,2,12,3,0,1,2,3,11.4,1.0
farieke01,Kenneth Faried,DENVER NUGGETS,AWAY,DALLAS MAVERICKS,WIN,1509,4,7,0,0,2,4,3,7,0,2,1,1,1,11.4,-6.0
middlkh01,Khris Middleton,MILWAUKEE BUCKS,AWAY,DETROIT PISTONS,LOSS,1239,5,9,2,4,2,2,0,5,2,0,0,1,1,11.2,-10.0
bargnan01,Andrea Bargnani,NEW YORK KNICKS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,2609,7,16,2,4,0,2,1,5,3,0,1,1,1,10.4,-9.0
martike02,Kevin Martin,MINNESOTA TIMBERWOLVES,AWAY,INDIANA PACERS,LOSS,2267,4,14,2,5,8,8,0,1,3,0,0,1,2,10.4,-14.0
drumman01,Andre Drummond,DETROIT PISTONS,HOME,MILWAUKEE BUCKS,WIN,1474,6,10,0,0,0,0,2,6,1,2,0,1,5,10.3,13.0
jefferi01,Richard Jefferson,UTAH JAZZ,HOME,CHICAGO BULLS,WIN,2278,5,8,2,2,3,3,1,2,1,0,1,3,2,10.3,12.0
leeco01,Courtney Lee,BOSTON CELTICS,AWAY,CHARLOTTE BOBCATS,WIN,917,4,7,2,4,1,1,1,1,2,1,0,0,2,10.3,18.0
anderch01,Chris Andersen,MIAMI HEAT,HOME,PHOENIX SUNS,WIN,1168,5,8,0,0,1,2,2,5,0,0,1,0,1,10.2,13.0
anderry01,Ryan Anderson,NEW ORLEANS PELICANS,AWAY,SAN ANTONIO SPURS,LOSS,1744,6,15,1,5,4,4,2,1,0,0,0,0,2,9.8,-20.0
lopezro01,Robin Lopez,PORTLAND TRAIL BLAZERS,HOME,NEW YORK KNICKS,WIN,2099,3,6,0,0,3,4,4,3,0,0,1,0,1,9.6,3.0
pressph01,Phil Pressey,BOSTON CELTICS,AWAY,CHARLOTTE BOBCATS,WIN,1201,1,2,0,0,0,0,0,1,8,3,0,0,1,9.5,14.0
duncati01,Tim Duncan,SAN ANTONIO SPURS,HOME,NEW ORLEANS PELICANS,WIN,1480,4,8,0,0,2,4,1,4,3,1,3,3,0,9.3,17.0
mcrobjo01,Josh McRoberts,CHARLOTTE BOBCATS,HOME,BOSTON CELTICS,LOSS,2021,2,6,1,2,0,0,3,4,5,1,1,0,2,9.3,11.0
