slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,plus_minus
embiijo01,Joel Embiid,PHILADELPHIA 76ERS,AWAY,WASHINGTON WIZARDS,WIN,1674,14,18,3,4,5,7,0,8,2,3,1,2,2,32.9,29.0
powelno01,Norman Powell,PORTLAND TRAIL BLAZERS,HOME,DENVER NUGGETS,WIN,2057,11,15,4,4,3,3,0,2,1,1,2,1,1,25.2,26.0
westbru01,Russell Westbrook,WASHINGTON WIZARDS,HOME,PHILADELPHIA 76ERS,LOSS,2051,9,18,3,6,5,5,3,9,10,0,0,3,4,24.2,-15.0
conlemi01,Mike Conley,UTAH JAZZ,AWAY,MEMPHIS GRIZZLIES,WIN,2140,8,16,7,10,4,4,0,6,8,0,0,2,2,23.6,16.0
antetgi01,Giannis Antetokounmpo,MILWAUKEE BUCKS,AWAY,MIAMI HEAT,WIN,2169,8,18,0,4,4,6,0,12,15,0,2,2,4,21.7,21.0
lopezbr01,Brook Lopez,MILWAUKEE BUCKS,AWAY,MIAMI HEAT,WIN,1677,11,15,0,0,3,3,3,5,0,0,2,2,3,20.7,22.0
mitchdo01,Donovan Mitchell,UTAH JAZZ,AWAY,MEMPHIS GRIZZLIES,WIN,1789,9,23,2,10,9,11,0,2,5,1,0,2,0,18.8,8.0
adebaba01,Bam Adebayo,MIAMI HEAT,HOME,MILWAUKEE BUCKS,LOSS,2105,10,17,0,0,0,0,7,7,4,1,1,4,3,18.4,-22.0
harrito02,Tobias Harris,PHILADELPHIA 76ERS,AWAY,WASHINGTON WIZARDS,WIN,1901,8,14,2,3,2,2,0,13,5,0,0,2,2,18.0,29.0
gaffoda01,Daniel Gafford,WASHINGTON WIZARDS,HOME,PHILADELPHIA 76ERS,LOSS,1343,6,8,0,0,4,4,5,1,0,1,1,0,3,17.1,-8.0
moranja01,Ja Morant,MEMPHIS GRIZZLIES,HOME,UTAH JAZZ,LOSS,2387,10,23,2,7,6,8,1,2,7,0,0,4,2,16.5,-22.0
simmobe01,Ben Simmons,PHILADELPHIA 76ERS,AWAY,WASHINGTON WIZARDS,WIN,1816,7,10,0,0,0,3,2,3,9,1,0,2,1,15.8,27.0
goberru01,Rudy Gobert,UTAH JAZZ,AWAY,MEMPHIS GRIZZLIES,WIN,2130,7,8,0,0,1,3,3,11,0,0,4,2,5,15.6,14.0
mccolcj01,CJ McCollum,PORTLAND TRAIL BLAZERS,HOME,DENVER NUGGETS,WIN,2081,9,19,2,6,1,1,0,4,8,0,0,2,2,15.3,22.0
nurkiju01,Jusuf Nurkić,PORTLAND TRAIL BLAZERS,HOME,DENVER NUGGETS,WIN,1599,6,8,0,1,5,8,0,6,1,1,2,1,3,15.3,32.0
bealbr01,Bradley Beal,WASHINGTON WIZARDS,HOME,PHILADELPHIA 76ERS,LOSS,2241,10,26,1,8,4,6,1,5,3,1,1,1,0,15.0,-29.0
brookdi01,Dillon Brooks,MEMPHIS GRIZZLIES,HOME,UTAH JAZZ,LOSS,1980,11,24,1,7,4,4,1,2,2,2,0,2,6,14.9,-6.0
forbebr01,Bryn Forbes,MILWAUKEE BUCKS,AWAY,MIAMI HEAT,WIN,1526,7,15,7,14,1,1,0,2,0,0,0,0,1,14.5,21.0
valanjo01,Jonas Valančiūnas,MEMPHIS GRIZZLIES,HOME,UTAH JAZZ,LOSS,2092,5,9,0,2,0,0,6,7,5,0,0,0,3,14.3,-22.0
curryse01,Seth Curry,PHILADELPHIA 76ERS,AWAY,WASHINGTON WIZARDS,WIN,1638,6,11,3,6,0,0,0,0,6,1,0,0,2,14.1,30.0
holidjr01,Jrue Holiday,MILWAUKEE BUCKS,AWAY,MIAMI HEAT,WIN,2291,4,12,0,2,3,4,4,2,9,4,0,3,1,14.1,10.0
anderky01,Kyle Anderson,MEMPHIS GRIZZLIES,HOME,UTAH JAZZ,LOSS,1927,5,13,1,5,0,0,2,11,5,2,0,0,1,13.7,-5.0
greenda02,Danny Green,PHILADELPHIA 76ERS,AWAY,WASHINGTON WIZARDS,WIN,1545,5,9,5,9,0,0,1,3,2,0,1,0,2,13.6,32.0
middlkh01,Khris Middleton,MILWAUKEE BUCKS,AWAY,MIAMI HEAT,WIN,2217,7,16,2,6,4,4,2,9,3,0,0,3,3,13.6,17.0
butleji01,Jimmy Butler,MIAMI HEAT,HOME,MILWAUKEE BUCKS,LOSS,2298,4,15,0,2,4,4,0,10,10,0,0,0,0,13.1,-18.0
bogdabo02,Bojan Bogdanović,UTAH JAZZ,AWAY,MEMPHIS GRIZZLIES,WIN,2220,4,8,2,3,5,6,1,5,1,1,0,2,0,12.5,13.0
lillada01,Damian Lillard,PORTLAND TRAIL BLAZERS,HOME,DENVER NUGGETS,WIN,1861,1,10,1,6,7,7,0,8,10,1,0,1,2,12.0,33.0
nunnke01,Kendrick Nunn,MIAMI HEAT,HOME,MILWAUKEE BUCKS,LOSS,1669,7,15,2,6,2,2,0,1,1,1,0,0,1,11.9,-10.0
campafa01,Facundo Campazzo,DENVER NUGGETS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1613,3,10,2,7,4,5,0,2,7,2,0,0,4,11.7,-20.0
allengr01,Grayson Allen,MEMPHIS GRIZZLIES,HOME,UTAH JAZZ,LOSS,1774,6,11,5,8,0,0,1,2,0,1,0,1,4,11.4,-4.0
morrimo01,Monte Morris,DENVER NUGGETS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1518,5,12,2,4,0,0,1,2,4,1,0,0,0,10.7,6.0
iguodan01,Andre Iguodala,MIAMI HEAT,HOME,MILWAUKEE BUCKS,LOSS,1564,3,5,2,3,0,0,0,2,3,3,0,1,1,10.0,-5.0
millspa01,Paul Millsap,DENVER NUGGETS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,845,3,7,0,3,3,4,3,3,2,0,1,0,0,10.0,9.0
onealro01,Royce O'Neale,UTAH JAZZ,AWAY,MEMPHIS GRIZZLIES,WIN,1904,4,8,4,7,0,0,1,6,0,1,0,0,4,9.9,14.0
portibo01,Bobby Portis,MILWAUKEE BUCKS,AWAY,MIAMI HEAT,WIN,1135,5,10,3,7,0,0,1,2,1,0,0,0,1,9.6,-3.0
clarkjo01,Jordan Clarkson,UTAH JAZZ,AWAY,MEMPHIS GRIZZLIES,WIN,1315,5,11,2,7,3,3,0,0,1,1,1,2,1,9.3,-7.0
greenja01,JaMychal Green,DENVER NUGGETS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1284,4,10,1,4,2,2,2,3,2,0,1,0,3,8.8,6.0
covinro01,Robert Covington,PORTLAND TRAIL BLAZERS,HOME,DENVER NUGGETS,WIN,2156,3,6,2,5,1,2,0,9,1,1,1,0,5,8.7,16.0
herroty01,Tyler Herro,MIAMI HEAT,HOME,MILWAUKEE BUCKS,LOSS,1881,5,13,2,7,2,2,1,3,2,0,0,1,1,8.5,-14.0
smithis01,Ish Smith,WASHINGTON WIZARDS,HOME,PHILADELPHIA 76ERS,LOSS,1215,3,7,1,3,0,0,1,5,4,1,0,1,1,7.9,-2.0
anthoca01,Carmelo Anthony,PORTLAND TRAIL BLAZERS,HOME,DENVER NUGGETS,WIN,1303,5,11,2,5,0,0,0,3,1,0,0,0,1,7.5,-4.0
