slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,plus_minus
hardeja01,James Harden,HOUSTON ROCKETS,HOME,NEW YORK KNICKS,WIN,2668,10,19,5,10,12,12,2,5,6,0,0,5,2,29.0,-2.0
jordade01,DeAndre Jordan,LOS ANGELES CLIPPERS,AWAY,DALLAS MAVERICKS,WIN,2472,11,14,0,0,3,7,6,12,1,1,3,2,2,26.8,7.0
gasolpa01,Pau Gasol,LOS ANGELES LAKERS,HOME,UTAH JAZZ,WIN,2236,10,17,0,1,3,4,3,14,8,0,3,2,2,25.9,18.0
marshke01,Kendall Marshall,LOS ANGELES LAKERS,HOME,UTAH JAZZ,WIN,2436,8,12,2,3,2,2,0,6,15,0,0,1,1,25.7,13.0
shumpim01,Iman Shumpert,NEW YORK KNICKS,AWAY,HOUSTON ROCKETS,LOSS,2135,9,14,6,6,2,2,1,3,5,1,0,0,3,24.7,10.0
griffbl01,Blake Griffin,LOS ANGELES CLIPPERS,AWAY,DALLAS MAVERICKS,WIN,2468,7,18,0,1,11,13,5,10,5,0,1,0,3,23.9,17.0
davisan02,Anthony Davis,NEW ORLEANS PELICANS,AWAY,BOSTON CELTICS,WIN,2281,9,12,0,0,5,8,3,6,2,1,3,1,2,23.6,2.0
conlemi01,Mike Conley,MEMPHIS GRIZZLIES,AWAY,DENVER NUGGETS,LOSS,2140,8,15,3,5,4,5,0,0,8,4,0,2,1,22.5,8.0
lowryky01,Kyle Lowry,TORONTO RAPTORS,AWAY,WASHINGTON WIZARDS,WIN,2115,7,13,4,4,1,2,1,4,11,3,0,2,2,22.1,19.0
randoza01,Zach Randolph,MEMPHIS GRIZZLIES,AWAY,DENVER NUGGETS,LOSS,2284,10,18,0,0,5,7,5,8,2,0,0,1,1,21.5,1.0
nowitdi01,Dirk Nowitzki,DALLAS MAVERICKS,HOME,LOS ANGELES CLIPPERS,LOSS,1975,10,17,4,5,0,0,0,4,4,2,0,1,0,21.1,2.0
paulch01,Chris Paul,LOS ANGELES CLIPPERS,AWAY,DALLAS MAVERICKS,WIN,1309,5,8,5,6,4,4,0,3,6,1,0,1,1,20.1,7.0
leeda02,David Lee,GOLDEN STATE WARRIORS,AWAY,ATLANTA HAWKS,WIN,2343,9,16,0,0,5,7,3,5,3,2,0,2,1,19.9,11.0
lawsoty01,Ty Lawson,DENVER NUGGETS,HOME,MEMPHIS GRIZZLIES,WIN,2200,6,12,1,4,5,6,1,3,12,3,1,5,2,19.5,-9.0
haywago01,Gordon Hayward,UTAH JAZZ,AWAY,LOS ANGELES LAKERS,LOSS,2368,8,16,4,6,2,2,0,2,6,2,0,1,2,19.0,-6.0
derozde01,DeMar DeRozan,TORONTO RAPTORS,AWAY,WASHINGTON WIZARDS,WIN,2161,7,14,0,0,6,7,1,2,5,1,1,0,1,18.7,8.0
bassbr01,Brandon Bass,BOSTON CELTICS,HOME,NEW ORLEANS PELICANS,LOSS,2074,8,10,0,0,0,0,6,5,0,0,1,0,2,17.8,3.0
bradlav01,Avery Bradley,BOSTON CELTICS,HOME,NEW ORLEANS PELICANS,LOSS,2019,7,15,4,6,4,4,0,4,0,1,1,0,0,17.2,4.0
curryst01,Stephen Curry,GOLDEN STATE WARRIORS,AWAY,ATLANTA HAWKS,WIN,2079,7,15,1,7,7,8,0,8,9,5,0,9,5,16.6,12.0
pattepa01,Patrick Patterson,TORONTO RAPTORS,AWAY,WASHINGTON WIZARDS,WIN,1324,8,10,2,3,0,0,2,2,2,0,0,1,0,16.6,8.0
mozgoti01,Timofey Mozgov,DENVER NUGGETS,HOME,MEMPHIS GRIZZLIES,WIN,1441,7,9,0,0,2,2,3,4,1,0,2,1,3,15.7,14.0
thompkl01,Klay Thompson,GOLDEN STATE WARRIORS,AWAY,ATLANTA HAWKS,WIN,2377,8,17,3,7,2,2,1,4,6,0,1,3,1,15.7,12.0
mariosh01,Shawn Marion,DALLAS MAVERICKS,HOME,LOS ANGELES CLIPPERS,LOSS,1848,8,16,2,4,2,2,2,4,2,2,0,2,1,15.6,-9.0
parsoch01,Chandler Parsons,HOUSTON ROCKETS,HOME,NEW YORK KNICKS,WIN,2661,6,13,1,5,4,5,1,10,2,3,0,2,2,15.2,-3.0
chandty01,Tyson Chandler,NEW YORK KNICKS,AWAY,HOUSTON ROCKETS,LOSS,1637,4,5,0,0,5,7,5,6,0,1,1,1,3,15.1,0.0
collida01,Darren Collison,LOS ANGELES CLIPPERS,AWAY,DALLAS MAVERICKS,WIN,2127,6,10,0,3,8,8,1,2,4,1,0,4,4,14.9,14.0
macksh01,Shelvin Mack,ATLANTA HAWKS,HOME,GOLDEN STATE WARRIORS,LOSS,1570,6,8,1,3,2,2,0,0,4,3,0,2,2,14.8,3.0
robinna01,Nate Robinson,DENVER NUGGETS,HOME,MEMPHIS GRIZZLIES,WIN,1363,5,10,3,5,2,4,1,1,7,1,0,1,2,14.3,13.0
kanteen01,Enes Freedom,UTAH JAZZ,AWAY,LOS ANGELES LAKERS,LOSS,1647,6,9,0,0,4,6,3,7,3,0,1,3,3,14.1,4.0
carrode01,DeMarre Carroll,ATLANTA HAWKS,HOME,GOLDEN STATE WARRIORS,LOSS,1908,5,8,1,3,1,2,1,6,1,4,0,0,3,14.0,-1.0
meeksjo01,Jodie Meeks,LOS ANGELES LAKERS,HOME,UTAH JAZZ,WIN,2046,6,14,3,10,3,3,1,2,6,1,0,2,3,13.9,2.0
