slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,plus_minus
embiijo01,Joel Embiid,PHILADELPHIA 76ERS,HOME,UTAH JAZZ,WIN,2201,19,28,1,5,20,24,1,10,8,1,7,5,3,54.4,25.0
garlada01,Darius Garland,CLEVELAND CAVALIERS,HOME,MINNESOTA TIMBERWOLVES,LOSS,2401,16,31,10,15,9,13,1,1,6,2,0,2,3,38.1,6.0
davisan02,Anthony Davis,LOS ANGELES LAKERS,HOME,BROOKLYN NETS,WIN,2018,15,25,0,0,7,7,10,8,2,0,0,1,5,33.3,15.0
gilgesh01,Shai Gilgeous-Alexander,OKLAHOMA CITY THUNDER,AWAY,NEW YORK KNICKS,WIN,2172,13,22,2,3,9,10,0,5,8,3,2,6,2,31.1,4.0
russeda01,D'Angelo Russell,MINNESOTA TIMBERWOLVES,AWAY,CLEVELAND CAVALIERS,WIN,2109,11,13,4,5,4,6,0,2,11,1,0,2,2,31.0,19.0
sabondo01,Domantas Sabonis,SACRAMENTO KINGS,HOME,GOLDEN STATE WARRIORS,WIN,2052,10,17,2,2,4,6,6,16,8,0,0,3,1,28.5,5.0
duranke01,Kevin Durant,BROOKLYN NETS,AWAY,LOS ANGELES LAKERS,LOSS,2270,8,16,2,3,13,15,0,9,7,0,2,3,2,27.4,-15.0
portemi01,Michael Porter Jr.,DENVER NUGGETS,AWAY,CHICAGO BULLS,WIN,1451,11,16,6,9,3,3,0,1,2,2,0,0,3,26.7,23.0
giddejo01,Josh Giddey,OKLAHOMA CITY THUNDER,AWAY,NEW YORK KNICKS,WIN,2201,10,14,2,3,2,2,1,9,12,0,0,3,1,26.6,15.0
townska01,Karl-Anthony Towns,MINNESOTA TIMBERWOLVES,AWAY,CLEVELAND CAVALIERS,WIN,2196,11,16,3,6,4,6,2,11,3,1,1,2,5,25.9,15.0
reddica01,Cam Reddish,NEW YORK KNICKS,HOME,OKLAHOMA CITY THUNDER,LOSS,1958,10,17,2,5,4,4,1,2,2,4,1,1,0,24.5,2.0
quickim01,Immanuel Quickley,NEW YORK KNICKS,HOME,OKLAHOMA CITY THUNDER,LOSS,1403,8,17,1,4,7,8,0,1,5,3,1,0,3,21.2,5.0
wiggian01,Andrew Wiggins,GOLDEN STATE WARRIORS,AWAY,SACRAMENTO KINGS,LOSS,2059,10,18,3,9,3,4,2,2,2,2,0,0,3,21.2,-15.0
porzikr01,Kristaps Porziņģis,WASHINGTON WIZARDS,HOME,MEMPHIS GRIZZLIES,WIN,1883,7,15,6,10,5,6,3,3,2,2,2,2,4,21.1,10.0
curryst01,Stephen Curry,GOLDEN STATE WARRIORS,AWAY,SACRAMENTO KINGS,LOSS,2211,9,17,3,9,6,6,0,6,4,1,0,4,0,20.3,0.0
randlju01,Julius Randle,NEW YORK KNICKS,HOME,OKLAHOMA CITY THUNDER,LOSS,1995,7,14,3,6,8,10,3,7,3,0,0,2,3,20.3,-10.0
jokicni01,Nikola Jokić,DENVER NUGGETS,AWAY,CHICAGO BULLS,WIN,1656,4,4,0,0,0,0,0,6,14,3,0,2,0,19.4,29.0
brunsja01,Jalen Brunson,NEW YORK KNICKS,HOME,OKLAHOMA CITY THUNDER,LOSS,1438,5,9,0,2,7,7,0,1,7,3,0,1,2,19.1,-20.0
foxde01,De'Aaron Fox,SACRAMENTO KINGS,HOME,GOLDEN STATE WARRIORS,WIN,2061,10,19,2,4,0,2,1,3,8,3,1,3,3,18.6,15.0
dortlu01,Luguentz Dort,OKLAHOMA CITY THUNDER,AWAY,NEW YORK KNICKS,WIN,1467,8,11,2,5,6,6,0,3,0,0,1,1,5,18.1,-7.0
walkelo01,Lonnie Walker IV,LOS ANGELES LAKERS,HOME,BROOKLYN NETS,WIN,1822,9,15,4,5,3,3,0,1,0,0,0,0,2,17.6,20.0
princta02,Taurean Prince,MINNESOTA TIMBERWOLVES,AWAY,CLEVELAND CAVALIERS,WIN,1306,4,6,1,2,10,10,1,1,1,0,0,0,2,17.3,6.0
murraja01,Jamal Murray,DENVER NUGGETS,AWAY,CHICAGO BULLS,WIN,1930,9,18,2,6,3,3,1,1,2,2,0,2,2,15.6,10.0
lavinza01,Zach LaVine,CHICAGO BULLS,HOME,DENVER NUGGETS,LOSS,2044,8,15,1,6,4,5,1,4,4,1,0,3,3,14.8,-18.0
willipa01,Patrick Williams,CHICAGO BULLS,HOME,DENVER NUGGETS,LOSS,1818,6,9,2,3,1,1,1,3,1,1,2,1,0,14.8,-24.0
adamsst01,Steven Adams,MEMPHIS GRIZZLIES,AWAY,WASHINGTON WIZARDS,LOSS,1763,6,8,0,0,0,0,6,4,6,1,0,3,5,14.4,4.0
murrake02,Keegan Murray,SACRAMENTO KINGS,HOME,GOLDEN STATE WARRIORS,WIN,2196,8,15,5,9,0,0,0,4,0,3,0,2,4,14.3,16.0
drumman01,Andre Drummond,CHICAGO BULLS,HOME,DENVER NUGGETS,LOSS,1291,5,8,0,0,3,3,4,7,1,1,0,1,3,13.8,-8.0
robinje02,Jeremiah Robinson-Earl,OKLAHOMA CITY THUNDER,AWAY,NEW YORK KNICKS,WIN,1844,7,9,3,4,0,0,3,4,0,0,0,1,5,13.8,11.0
harteis01,Isaiah Hartenstein,NEW YORK KNICKS,HOME,OKLAHOMA CITY THUNDER,LOSS,1373,5,8,1,2,3,4,5,2,1,1,0,2,1,13.4,-19.0
goberru01,Rudy Gobert,MINNESOTA TIMBERWOLVES,AWAY,CLEVELAND CAVALIERS,WIN,1998,5,10,0,0,5,8,4,9,1,1,2,3,3,13.2,-13.0
aldamsa01,Santi Aldama,MEMPHIS GRIZZLIES,AWAY,WASHINGTON WIZARDS,LOSS,1724,6,11,3,4,0,0,2,5,2,1,3,2,5,13.1,3.0
beaslma01,Malik Beasley,UTAH JAZZ,AWAY,PHILADELPHIA 76ERS,LOSS,1737,6,13,4,10,2,2,0,4,2,1,0,1,2,13.1,3.0
derozde01,DeMar DeRozan,CHICAGO BULLS,HOME,DENVER NUGGETS,LOSS,1540,6,11,0,1,4,6,0,2,4,0,1,0,3,12.8,-26.0
huertke01,Kevin Huerter,SACRAMENTO KINGS,HOME,GOLDEN STATE WARRIORS,WIN,1947,6,9,4,6,1,4,0,5,4,0,0,3,1,12.8,2.0
avdijde01,Deni Avdija,WASHINGTON WIZARDS,HOME,MEMPHIS GRIZZLIES,WIN,2034,8,16,4,7,1,3,0,2,5,1,0,3,4,12.7,4.0
goodwjo01,Jordan Goodwin,WASHINGTON WIZARDS,HOME,MEMPHIS GRIZZLIES,WIN,1568,3,7,3,4,1,2,1,7,4,1,1,0,2,12.4,3.0
jonesty01,Tyus Jones,MEMPHIS GRIZZLIES,AWAY,WASHINGTON WIZARDS,LOSS,2175,7,18,1,4,2,2,0,3,5,3,0,2,1,12.2,-4.0
stevela01,Lamar Stevens,CLEVELAND CAVALIERS,HOME,MINNESOTA TIMBERWOLVES,LOSS,1818,5,10,0,1,5,6,2,4,1,0,0,0,2,12.1,-2.0
thompkl01,Klay Thompson,GOLDEN STATE WARRIORS,AWAY,SACRAMENTO KINGS,LOSS,1948,6,16,5,13,0,0,0,7,3,1,1,2,1,11.7,-1.0
reaveau01,Austin Reaves,LOS ANGELES LAKERS,HOME,BROOKLYN NETS,WIN,1956,5,8,3,4,2,3,0,1,3,0,0,1,2,11.6,20.0
leverca01,Caris LeVert,CLEVELAND CAVALIERS,HOME,MINNESOTA TIMBERWOLVES,LOSS,1655,6,12,1,2,0,0,3,2,5,0,1,2,1,11.5,-13.0
thomaca02,Cam Thomas,BROOKLYN NETS,AWAY,LOS ANGELES LAKERS,LOSS,1354,4,9,0,2,7,9,0,3,2,1,0,1,1,11.4,8.0
watanyu01,Yuta Watanabe,BROOKLYN NETS,AWAY,LOS ANGELES LAKERS,LOSS,1365,5,8,0,2,1,1,2,3,2,0,1,0,1,11.4,-9.0
morrimo01,Monte Morris,WASHINGTON WIZARDS,HOME,MEMPHIS GRIZZLIES,WIN,1642,4,10,1,4,1,2,1,5,6,2,1,2,0,11.3,3.0
westbru01,Russell Westbrook,LOS ANGELES LAKERS,HOME,BROOKLYN NETS,WIN,1668,4,15,1,6,5,6,1,5,12,0,1,4,3,10.8,-6.0
gordoaa01,Aaron Gordon,DENVER NUGGETS,AWAY,CHICAGO BULLS,WIN,1559,4,6,1,1,4,6,0,5,2,0,0,1,2,10.7,24.0
