slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,plus_minus
adebaba01,Bam Adebayo,MIAMI HEAT,AWAY,BROOKLYN NETS,LOSS,2272,14,20,1,1,12,14,0,5,9,1,0,1,5,37.6,4.0
davisan02,Anthony Davis,LOS ANGELES LAKERS,AWAY,CHICAGO BULLS,WIN,1701,14,21,2,3,7,9,1,5,3,2,1,1,3,31.9,5.0
embiijo01,Joel Embiid,PHILADELPHIA 76ERS,AWAY,DETROIT PISTONS,WIN,2105,10,20,1,2,12,17,5,9,1,1,2,3,2,26.5,13.0
couside01,DeMarcus Cousins,HOUSTON ROCKETS,AWAY,DALLAS MAVERICKS,WIN,1788,9,15,4,8,6,7,4,13,5,0,0,4,5,24.9,9.0
simmobe01,Ben Simmons,PHILADELPHIA 76ERS,AWAY,DETROIT PISTONS,WIN,2068,5,7,0,0,10,12,1,8,7,3,1,2,3,24.8,9.0
gordoer01,Eric Gordon,HOUSTON ROCKETS,AWAY,DALLAS MAVERICKS,WIN,1815,10,17,6,9,7,9,0,3,2,0,0,2,1,24.2,9.0
jokicni01,Nikola Jokić,DENVER NUGGETS,AWAY,PHOENIX SUNS,WIN,2520,9,21,0,0,11,14,7,15,6,1,0,6,3,24.1,8.0
irvinky01,Kyrie Irving,BROOKLYN NETS,HOME,MIAMI HEAT,WIN,2183,10,17,3,5,5,6,1,5,7,0,1,2,5,23.5,5.0
paulch01,Chris Paul,PHOENIX SUNS,HOME,DENVER NUGGETS,LOSS,2520,9,20,1,6,2,2,1,8,13,2,0,2,2,22.0,13.0
duranke01,Kevin Durant,BROOKLYN NETS,HOME,MIAMI HEAT,WIN,2216,11,19,4,7,5,6,1,3,4,0,2,4,4,21.9,6.0
curryst01,Stephen Curry,GOLDEN STATE WARRIORS,AWAY,UTAH JAZZ,LOSS,1626,9,18,5,10,1,2,0,7,7,0,0,1,2,19.8,-24.0
doncilu01,Luka Dončić,DALLAS MAVERICKS,HOME,HOUSTON ROCKETS,LOSS,1768,9,18,1,6,7,12,0,5,8,0,1,3,0,19.8,-15.0
mitchdo01,Donovan Mitchell,UTAH JAZZ,HOME,GOLDEN STATE WARRIORS,WIN,1648,9,18,3,8,2,3,2,5,6,1,0,2,1,19.3,28.0
bledser01,Eric Bledsoe,NEW ORLEANS PELICANS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,2051,11,23,3,5,3,6,1,4,3,1,0,1,1,18.7,-5.0
nwabada01,David Nwaba,HOUSTON ROCKETS,AWAY,DALLAS MAVERICKS,WIN,1613,6,7,2,2,4,5,1,1,3,1,0,0,3,18.0,15.0
murraja01,Jamal Murray,DENVER NUGGETS,AWAY,PHOENIX SUNS,WIN,2598,10,22,3,7,3,4,0,6,5,0,1,2,1,17.8,-2.0
vandeja01,Jarred Vanderbilt,MINNESOTA TIMBERWOLVES,HOME,NEW ORLEANS PELICANS,WIN,1271,8,13,0,0,0,0,5,6,0,2,1,0,1,17.7,7.0
ellinwa01,Wayne Ellington,DETROIT PISTONS,HOME,PHILADELPHIA 76ERS,LOSS,1699,6,9,4,6,1,2,1,3,2,2,0,1,0,16.7,-14.0
reidna01,Naz Reid,MINNESOTA TIMBERWOLVES,HOME,NEW ORLEANS PELICANS,WIN,1643,5,10,2,4,8,8,1,3,2,0,1,1,4,16.1,8.0
harrijo01,Joe Harris,BROOKLYN NETS,HOME,MIAMI HEAT,WIN,2213,8,14,7,12,0,0,0,2,2,0,1,2,3,15.9,1.0
goberru01,Rudy Gobert,UTAH JAZZ,HOME,GOLDEN STATE WARRIORS,WIN,1446,4,6,0,0,3,4,4,10,2,0,1,0,1,15.5,38.0
willizi01,Zion Williamson,NEW ORLEANS PELICANS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,2271,6,16,0,1,7,9,4,7,3,1,1,2,3,14.9,-4.0
ingrabr01,Brandon Ingram,NEW ORLEANS PELICANS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,2199,11,20,2,7,6,6,0,4,2,0,1,7,5,14.7,-4.0
crowdja01,Jae Crowder,PHOENIX SUNS,HOME,DENVER NUGGETS,LOSS,2681,6,15,6,13,3,3,0,7,3,1,0,2,4,14.5,4.0
jonesma05,Mason Jones,HOUSTON ROCKETS,AWAY,DALLAS MAVERICKS,WIN,1116,6,8,3,4,1,2,0,5,3,0,0,1,4,13.4,16.0
nunnke01,Kendrick Nunn,MIAMI HEAT,AWAY,BROOKLYN NETS,LOSS,1943,7,14,4,9,0,0,0,5,3,1,0,1,4,13.0,-4.0
conlemi01,Mike Conley,UTAH JAZZ,HOME,GOLDEN STATE WARRIORS,WIN,1617,6,11,5,9,0,0,1,0,1,3,0,2,3,12.9,40.0
wiggian01,Andrew Wiggins,GOLDEN STATE WARRIORS,AWAY,UTAH JAZZ,LOSS,1517,5,9,2,3,1,2,1,4,2,0,3,0,2,12.9,-27.0
greenja01,JaMychal Green,DENVER NUGGETS,AWAY,PHOENIX SUNS,WIN,1421,4,8,2,6,6,6,1,4,2,0,0,1,4,12.7,15.0
marjabo01,Boban Marjanović,DALLAS MAVERICKS,HOME,HOUSTON ROCKETS,LOSS,1157,6,11,0,0,3,4,4,8,0,0,0,1,2,12.7,9.0
mykhasv01,Svi Mykhailiuk,DETROIT PISTONS,HOME,PHILADELPHIA 76ERS,LOSS,1073,4,6,3,4,4,6,0,4,3,1,0,2,3,12.7,13.0
bogdabo02,Bojan Bogdanović,UTAH JAZZ,HOME,GOLDEN STATE WARRIORS,WIN,1560,3,13,3,9,5,6,1,6,8,0,0,1,1,12.4,36.0
balllo01,Lonzo Ball,NEW ORLEANS PELICANS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1786,4,10,3,9,0,0,0,4,7,2,1,1,3,12.2,-6.0
culveja01,Jarrett Culver,MINNESOTA TIMBERWOLVES,HOME,NEW ORLEANS PELICANS,WIN,1487,6,9,2,4,2,4,0,5,0,1,0,0,4,12.2,1.0
johnsca02,Cameron Johnson,PHOENIX SUNS,HOME,DENVER NUGGETS,LOSS,2093,7,16,3,11,2,3,1,2,0,2,0,1,1,12.1,8.0
dragigo01,Goran Dragić,MIAMI HEAT,AWAY,BROOKLYN NETS,LOSS,1832,7,18,0,6,5,5,0,1,7,0,0,1,4,11.8,0.0
jordade01,DeAndre Jordan,BROOKLYN NETS,HOME,MIAMI HEAT,WIN,1237,4,4,0,0,0,0,2,6,2,0,1,0,1,11.7,7.0
portemi01,Michael Porter Jr.,DENVER NUGGETS,AWAY,PHOENIX SUNS,WIN,2104,5,9,3,4,1,1,2,9,0,1,1,3,2,11.7,19.0
burketr01,Trey Burke,DALLAS MAVERICKS,HOME,HOUSTON ROCKETS,LOSS,1428,4,9,1,4,4,4,0,1,1,3,0,0,2,11.5,-16.0
doumbse01,Sekou Doumbouya,DETROIT PISTONS,HOME,PHILADELPHIA 76ERS,LOSS,1128,4,10,1,3,4,4,2,2,1,1,0,0,0,11.3,1.0
edwaran01,Anthony Edwards,MINNESOTA TIMBERWOLVES,HOME,NEW ORLEANS PELICANS,WIN,1216,5,14,2,7,6,6,0,1,1,2,0,2,0,11.2,9.0
aytonde01,Deandre Ayton,PHOENIX SUNS,HOME,DENVER NUGGETS,LOSS,2256,7,14,1,2,2,3,2,11,1,0,2,3,6,11.0,2.0
poolejo01,Jordan Poole,GOLDEN STATE WARRIORS,AWAY,UTAH JAZZ,LOSS,1098,3,7,1,4,3,3,0,3,4,2,0,1,0,11.0,10.0
inglejo01,Joe Ingles,UTAH JAZZ,HOME,GOLDEN STATE WARRIORS,WIN,1075,5,8,3,6,0,0,0,0,3,0,1,1,1,10.8,8.0
favorde01,Derrick Favors,UTAH JAZZ,HOME,GOLDEN STATE WARRIORS,WIN,857,4,6,0,0,1,2,4,4,1,0,1,0,2,10.6,2.0
curryse01,Seth Curry,PHILADELPHIA 76ERS,AWAY,DETROIT PISTONS,WIN,1655,6,11,0,3,2,2,0,3,1,2,0,1,2,10.5,12.0
hardeja01,James Harden,BROOKLYN NETS,HOME,MIAMI HEAT,WIN,2309,2,9,0,5,8,9,0,7,11,0,0,5,2,10.1,4.0
jamesle01,LeBron James,LOS ANGELES LAKERS,AWAY,CHICAGO BULLS,WIN,1710,6,16,0,2,5,8,0,11,6,2,0,6,1,10.1,9.0
okogijo01,Josh Okogie,MINNESOTA TIMBERWOLVES,HOME,NEW ORLEANS PELICANS,WIN,1640,2,8,1,5,4,5,1,2,2,5,0,1,1,10.1,0.0
clarkjo01,Jordan Clarkson,UTAH JAZZ,HOME,GOLDEN STATE WARRIORS,WIN,1116,5,10,1,5,3,3,0,2,1,1,0,1,1,9.9,12.0
mclaujo01,Jordan McLaughlin,MINNESOTA TIMBERWOLVES,HOME,NEW ORLEANS PELICANS,WIN,1182,4,7,2,2,1,2,1,0,4,1,0,2,0,9.8,10.0
willipa01,Patrick Williams,CHICAGO BULLS,HOME,LOS ANGELES LAKERS,LOSS,1851,5,12,2,4,1,2,4,4,1,0,1,1,2,9.8,-3.0
wrighde01,Delon Wright,DETROIT PISTONS,HOME,PHILADELPHIA 76ERS,LOSS,2141,3,8,1,2,3,4,1,6,6,0,1,2,2,9.8,-6.0
beaslma01,Malik Beasley,MINNESOTA TIMBERWOLVES,HOME,NEW ORLEANS PELICANS,WIN,1884,6,18,2,8,2,2,1,5,3,0,0,0,1,9.7,2.0
mannini01,Nico Mannion,GOLDEN STATE WARRIORS,AWAY,UTAH JAZZ,LOSS,577,3,5,2,3,0,0,0,0,4,1,0,0,0,9.5,21.0
robindu01,Duncan Robinson,MIAMI HEAT,AWAY,BROOKLYN NETS,LOSS,2505,6,15,3,11,3,3,0,5,1,0,0,2,2,9.3,-5.0
brownbr01,Bruce Brown,BROOKLYN NETS,HOME,MIAMI HEAT,WIN,1014,3,4,1,1,1,2,2,6,1,0,0,0,2,9.1,2.0
rubiori01,Ricky Rubio,MINNESOTA TIMBERWOLVES,HOME,NEW ORLEANS PELICANS,WIN,1709,1,4,0,1,7,10,1,6,7,1,0,4,2,9.0,2.0
brunsja01,Jalen Brunson,DALLAS MAVERICKS,HOME,HOUSTON ROCKETS,LOSS,1977,2,4,0,0,5,6,1,2,3,1,0,2,2,8.2,-9.0
morrimo01,Monte Morris,DENVER NUGGETS,AWAY,PHOENIX SUNS,WIN,2175,5,12,3,5,0,0,0,4,1,0,1,1,0,8.2,14.0
whiteco01,Coby White,CHICAGO BULLS,HOME,LOS ANGELES LAKERS,LOSS,1926,5,13,2,4,2,2,0,7,4,0,0,2,4,8.2,-9.0
davised01,Ed Davis,MINNESOTA TIMBERWOLVES,HOME,NEW ORLEANS PELICANS,WIN,1160,1,1,0,0,0,0,4,5,3,2,0,0,5,8.1,5.0
