slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,plus_minus
hardeja01,James Harden,HOUSTON ROCKETS,HOME,MEMPHIS GRIZZLIES,LOSS,2454,12,19,5,9,11,11,1,4,5,3,1,4,2,35.8,1.0
griffbl01,Blake Griffin,LOS ANGELES CLIPPERS,HOME,UTAH JAZZ,LOSS,2321,18,23,0,0,4,5,1,11,3,0,2,3,2,34.4,-3.0
westbru01,Russell Westbrook,OKLAHOMA CITY THUNDER,HOME,BROOKLYN NETS,WIN,2114,10,16,0,3,7,8,1,5,13,5,0,3,1,32.3,16.0
gayru01,Rudy Gay,SACRAMENTO KINGS,AWAY,MILWAUKEE BUCKS,WIN,2165,13,21,2,5,8,9,1,4,2,1,1,0,4,29.5,13.0
knighbr03,Brandon Knight,PHOENIX SUNS,HOME,NEW ORLEANS PELICANS,LOSS,2543,10,21,4,9,5,8,1,3,10,4,0,1,1,28.3,-1.0
lowryky01,Kyle Lowry,TORONTO RAPTORS,HOME,CLEVELAND CAVALIERS,WIN,2255,11,17,2,6,3,5,1,2,6,4,1,0,2,28.1,10.0
leonaka01,Kawhi Leonard,SAN ANTONIO SPURS,HOME,DALLAS MAVERICKS,WIN,2426,9,16,4,7,4,4,4,4,5,2,0,2,0,25.9,4.0
duranke01,Kevin Durant,OKLAHOMA CITY THUNDER,HOME,BROOKLYN NETS,WIN,2231,11,18,5,8,3,4,0,6,5,0,3,3,0,25.8,18.0
paulch01,Chris Paul,LOS ANGELES CLIPPERS,HOME,UTAH JAZZ,LOSS,2096,10,15,2,2,2,2,2,3,8,3,0,2,3,25.2,-6.0
davisan02,Anthony Davis,NEW ORLEANS PELICANS,AWAY,PHOENIX SUNS,WIN,2343,11,14,0,0,4,6,2,15,0,2,2,4,3,23.9,7.0
haywago01,Gordon Hayward,UTAH JAZZ,AWAY,LOS ANGELES CLIPPERS,WIN,2403,11,22,5,7,6,8,1,6,2,3,0,4,2,23.3,22.0
anthoca01,Carmelo Anthony,NEW YORK KNICKS,AWAY,ORLANDO MAGIC,LOSS,2117,9,17,3,4,7,9,3,9,3,1,0,2,4,23.2,4.0
thomais02,Isaiah Thomas,BOSTON CELTICS,HOME,PHILADELPHIA 76ERS,WIN,2310,11,21,4,7,4,4,0,4,6,1,0,3,1,22.7,17.0
drumman01,Andre Drummond,DETROIT PISTONS,HOME,MIAMI HEAT,WIN,1961,9,18,0,0,0,1,8,12,0,2,5,1,0,22.3,14.0
jamesle01,LeBron James,CLEVELAND CAVALIERS,AWAY,TORONTO RAPTORS,LOSS,2386,6,16,1,5,11,12,2,4,8,0,0,2,1,20.6,13.0
casspom01,Omri Casspi,SACRAMENTO KINGS,AWAY,MILWAUKEE BUCKS,WIN,1834,6,9,3,5,4,6,1,6,3,2,0,0,3,19.7,8.0
lopezbr01,Brook Lopez,BROOKLYN NETS,AWAY,OKLAHOMA CITY THUNDER,LOSS,2030,11,23,0,0,4,4,6,2,2,2,2,3,3,19.7,-9.0
vucevni01,Nikola Vučević,ORLANDO MAGIC,HOME,NEW YORK KNICKS,WIN,1910,10,19,0,0,2,2,8,4,2,1,2,2,4,19.7,1.0
greenje02,Jeff Green,MEMPHIS GRIZZLIES,AWAY,HOUSTON ROCKETS,WIN,1923,5,10,0,1,10,10,2,5,1,1,0,0,0,19.6,3.0
favorde01,Derrick Favors,UTAH JAZZ,AWAY,LOS ANGELES CLIPPERS,WIN,1965,10,15,0,0,2,2,2,1,2,3,0,1,3,19.4,18.0
