slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,plus_minus
lillada01,Damian Lillard,PORTLAND TRAIL BLAZERS,HOME,CLEVELAND CAVALIERS,LOSS,2412,16,28,5,13,13,15,0,2,3,1,0,1,1,38.3,-2.0
gilgesh01,Shai Gilgeous-Alexander,OKLAHOMA CITY THUNDER,AWAY,PHILADELPHIA 76ERS,WIN,2089,10,16,1,1,16,16,1,7,6,1,2,1,2,37.4,11.0
siakapa01,Pascal Siakam,TORONTO RAPTORS,HOME,CHARLOTTE HORNETS,WIN,2270,11,13,3,3,10,12,1,6,3,0,1,4,2,30.0,6.0
doncilu01,Luka Dončić,DALLAS MAVERICKS,AWAY,LOS ANGELES LAKERS,WIN,3163,14,28,4,9,3,7,2,12,13,1,1,5,5,28.2,10.0
holidjr01,Jrue Holiday,MILWAUKEE BUCKS,AWAY,MIAMI HEAT,LOSS,2006,7,10,3,4,7,8,2,4,11,0,1,3,2,26.6,-9.0
woodch01,Christian Wood,DALLAS MAVERICKS,AWAY,LOS ANGELES LAKERS,WIN,2840,10,17,2,6,2,4,1,13,6,1,5,1,3,26.4,19.0
vincega01,Gabe Vincent,MIAMI HEAT,HOME,MILWAUKEE BUCKS,WIN,2462,10,17,5,11,3,3,2,1,6,2,0,1,2,26.2,11.0
allenja01,Jarrett Allen,CLEVELAND CAVALIERS,AWAY,PORTLAND TRAIL BLAZERS,WIN,2325,11,17,0,1,2,2,2,8,6,1,0,0,3,24.3,7.0
ballla01,LaMelo Ball,CHARLOTTE HORNETS,AWAY,TORONTO RAPTORS,LOSS,2418,11,19,4,10,6,9,1,3,7,2,0,5,6,23.0,-7.0
barnesc01,Scottie Barnes,TORONTO RAPTORS,HOME,CHARLOTTE HORNETS,WIN,2057,8,14,0,0,5,6,2,5,9,0,2,0,4,23.0,15.0
embiijo01,Joel Embiid,PHILADELPHIA 76ERS,HOME,OKLAHOMA CITY THUNDER,LOSS,1654,10,17,0,1,10,10,2,8,2,0,1,3,5,23.0,-12.0
adebaba01,Bam Adebayo,MIAMI HEAT,HOME,MILWAUKEE BUCKS,WIN,2049,11,19,0,0,2,2,2,10,1,2,1,0,2,22.1,8.0
hardeja01,James Harden,PHILADELPHIA 76ERS,HOME,OKLAHOMA CITY THUNDER,LOSS,2185,6,13,5,10,7,8,0,6,15,1,0,7,3,22.0,-4.0
plumlma01,Mason Plumlee,CHARLOTTE HORNETS,AWAY,TORONTO RAPTORS,LOSS,2085,6,6,0,0,4,6,5,10,4,1,1,2,1,22.0,-10.0
jamesle01,LeBron James,LOS ANGELES LAKERS,HOME,DALLAS MAVERICKS,LOSS,2805,9,28,0,7,6,10,6,10,9,2,0,3,0,18.9,-3.0
westbru01,Russell Westbrook,LOS ANGELES LAKERS,HOME,DALLAS MAVERICKS,LOSS,2403,10,23,3,6,5,8,1,6,5,2,0,3,3,18.5,3.0
giddejo01,Josh Giddey,OKLAHOMA CITY THUNDER,AWAY,PHILADELPHIA 76ERS,WIN,2136,7,14,1,3,5,5,1,3,8,1,0,3,2,17.4,21.0
mobleev01,Evan Mobley,CLEVELAND CAVALIERS,AWAY,PORTLAND TRAIL BLAZERS,WIN,1497,6,12,0,1,5,6,5,3,3,1,1,0,4,17.2,6.0
mitchdo01,Donovan Mitchell,CLEVELAND CAVALIERS,AWAY,PORTLAND TRAIL BLAZERS,WIN,2138,11,23,2,8,2,4,1,4,5,2,0,3,2,17.1,10.0
smartma01,Marcus Smart,BOSTON CELTICS,AWAY,BROOKLYN NETS,WIN,2152,4,12,2,8,6,7,3,3,10,2,0,4,2,16.0,0.0
gabriwe01,Wenyen Gabriel,LOS ANGELES LAKERS,HOME,DALLAS MAVERICKS,LOSS,1984,6,8,1,2,1,2,2,5,0,2,2,0,3,15.5,9.0
carteje01,Jevon Carter,MILWAUKEE BUCKS,AWAY,MIAMI HEAT,LOSS,1832,6,16,6,14,0,0,0,4,3,3,0,0,1,15.1,-7.0
harrijo01,Joe Harris,BROOKLYN NETS,HOME,BOSTON CELTICS,LOSS,1710,7,11,4,7,0,0,2,3,1,2,0,1,5,15.1,-7.0
roziete01,Terry Rozier,CHARLOTTE HORNETS,AWAY,TORONTO RAPTORS,LOSS,2257,8,16,3,7,2,2,0,3,5,1,0,3,1,15.0,-3.0
garlada01,Darius Garland,CLEVELAND CAVALIERS,AWAY,PORTLAND TRAIL BLAZERS,WIN,1991,5,12,2,3,8,10,0,2,10,0,0,4,4,14.8,7.0
vanvlfr01,Fred VanVleet,TORONTO RAPTORS,HOME,CHARLOTTE HORNETS,WIN,2070,4,8,1,2,2,2,0,5,8,2,0,1,4,13.5,5.0
irvinky01,Kyrie Irving,BROOKLYN NETS,HOME,BOSTON CELTICS,LOSS,2281,9,24,3,11,3,4,0,2,6,1,1,2,4,13.3,-11.0
anunoog01,OG Anunoby,TORONTO RAPTORS,HOME,CHARLOTTE HORNETS,WIN,2270,6,15,3,8,0,0,2,2,4,4,1,2,3,13.2,6.0
onealro01,Royce O'Neale,BROOKLYN NETS,HOME,BOSTON CELTICS,LOSS,2291,3,7,2,5,3,3,1,4,2,2,2,0,2,13.2,-3.0
maxeyty01,Tyrese Maxey,PHILADELPHIA 76ERS,HOME,OKLAHOMA CITY THUNDER,LOSS,1987,6,13,0,4,5,5,1,1,6,2,0,3,4,12.9,-4.0
butleji01,Jimmy Butler,MIAMI HEAT,HOME,MILWAUKEE BUCKS,WIN,1951,5,13,0,2,7,8,6,5,2,0,0,4,0,12.6,2.0
whitede01,Derrick White,BOSTON CELTICS,AWAY,BROOKLYN NETS,WIN,2195,5,10,4,7,1,2,2,5,1,1,1,2,1,12.5,12.0
willija06,Jalen Williams,OKLAHOMA CITY THUNDER,AWAY,PHILADELPHIA 76ERS,WIN,1646,6,11,2,3,0,0,1,4,4,1,1,2,2,12.3,-1.0
brogdma01,Malcolm Brogdon,BOSTON CELTICS,AWAY,BROOKLYN NETS,WIN,1225,7,13,2,3,0,0,0,5,2,0,0,1,0,11.6,8.0
dinwisp01,Spencer Dinwiddie,DALLAS MAVERICKS,AWAY,LOS ANGELES LAKERS,WIN,3075,7,13,2,6,1,2,0,4,4,0,2,3,3,11.5,5.0
kornelu01,Luke Kornet,BOSTON CELTICS,AWAY,BROOKLYN NETS,WIN,1002,5,5,1,1,0,0,3,2,1,0,0,1,1,11.5,0.0
simonan01,Anfernee Simons,PORTLAND TRAIL BLAZERS,HOME,CLEVELAND CAVALIERS,LOSS,1942,6,10,3,6,0,0,0,2,5,0,0,1,5,11.5,-10.0
trentga02,Gary Trent Jr.,TORONTO RAPTORS,HOME,CHARLOTTE HORNETS,WIN,2154,6,19,2,11,5,5,0,2,1,2,0,0,0,11.4,6.0
oladivi01,Victor Oladipo,MIAMI HEAT,HOME,MILWAUKEE BUCKS,WIN,2005,5,15,2,7,2,2,2,6,8,1,0,4,0,11.3,0.0
warretj01,T.J. Warren,BROOKLYN NETS,HOME,BOSTON CELTICS,LOSS,1687,9,18,2,5,0,0,0,1,1,0,1,1,1,11.3,-12.0
grantje01,Jerami Grant,PORTLAND TRAIL BLAZERS,HOME,CLEVELAND CAVALIERS,LOSS,2155,8,16,2,7,4,7,0,1,1,2,2,4,5,11.2,-3.0
nworajo01,Jordan Nwora,MILWAUKEE BUCKS,AWAY,MIAMI HEAT,LOSS,1666,6,12,4,8,0,0,0,5,1,0,0,1,0,11.2,2.0
okorois01,Isaac Okoro,CLEVELAND CAVALIERS,AWAY,PORTLAND TRAIL BLAZERS,WIN,1766,4,4,1,1,2,3,1,4,0,2,0,1,3,11.1,4.0
greenaj01,A.J. Green,MILWAUKEE BUCKS,AWAY,MIAMI HEAT,LOSS,1154,5,10,5,10,0,0,1,2,0,0,0,0,1,10.9,-1.0
tatumja01,Jayson Tatum,BOSTON CELTICS,AWAY,BROOKLYN NETS,WIN,2302,7,22,2,10,4,4,0,11,5,0,1,3,3,10.7,2.0
manntr01,Tre Mann,OKLAHOMA CITY THUNDER,AWAY,PHILADELPHIA 76ERS,WIN,1093,5,9,2,5,2,2,0,0,2,0,0,0,2,10.3,19.0
willigr01,Grant Williams,BOSTON CELTICS,AWAY,BROOKLYN NETS,WIN,2571,4,8,0,3,4,4,0,5,1,0,3,1,3,10.1,10.0
claxtni01,Nic Claxton,BROOKLYN NETS,HOME,BOSTON CELTICS,LOSS,1945,4,7,0,0,1,2,1,8,1,1,4,3,0,9.9,-6.0
hardati02,Tim Hardaway Jr.,DALLAS MAVERICKS,AWAY,LOS ANGELES LAKERS,WIN,2900,9,21,3,11,1,1,0,8,0,0,0,2,4,9.7,16.0
achiupr01,Precious Achiuwa,TORONTO RAPTORS,HOME,CHARLOTTE HORNETS,WIN,1059,4,7,1,3,1,3,1,1,0,5,0,2,1,9.5,-1.0
nurkiju01,Jusuf Nurkić,PORTLAND TRAIL BLAZERS,HOME,CLEVELAND CAVALIERS,LOSS,1932,6,10,0,3,0,1,1,11,4,1,0,4,5,8.8,1.0
strusma01,Max Strus,MIAMI HEAT,HOME,MILWAUKEE BUCKS,WIN,2447,5,13,1,7,1,1,1,9,4,0,0,2,1,8.7,4.0
martico01,Cody Martin,CHARLOTTE HORNETS,AWAY,TORONTO RAPTORS,LOSS,1307,3,4,1,2,2,3,1,1,3,1,0,1,4,8.5,-12.0
simmobe01,Ben Simmons,BROOKLYN NETS,HOME,BOSTON CELTICS,LOSS,1585,0,3,0,0,0,0,0,9,13,2,1,2,5,8.4,10.0
portibo01,Bobby Portis,MILWAUKEE BUCKS,AWAY,MIAMI HEAT,LOSS,1902,5,12,0,3,2,4,2,5,1,3,1,2,5,8.1,3.0
willija07,Jaylin Williams,OKLAHOMA CITY THUNDER,AWAY,PHILADELPHIA 76ERS,WIN,1097,5,7,1,1,0,0,0,5,2,0,0,1,5,8.0,-8.0
rubiori01,Ricky Rubio,CLEVELAND CAVALIERS,AWAY,PORTLAND TRAIL BLAZERS,WIN,627,3,5,2,4,1,2,0,3,1,0,0,0,0,7.9,6.0
bryanth01,Thomas Bryant,LOS ANGELES LAKERS,HOME,DALLAS MAVERICKS,LOSS,1414,5,10,0,2,1,2,3,6,0,0,0,1,2,7.7,-17.0
pritcpa01,Payton Pritchard,BOSTON CELTICS,AWAY,BROOKLYN NETS,WIN,876,4,7,1,3,0,0,3,0,0,1,0,0,3,7.6,13.0
harrito02,Tobias Harris,PHILADELPHIA 76ERS,HOME,OKLAHOMA CITY THUNDER,LOSS,1962,5,13,2,7,1,2,1,2,1,0,1,0,2,7.4,-9.0
hernaju01,Juancho Hernangómez,TORONTO RAPTORS,HOME,CHARLOTTE HORNETS,WIN,726,1,1,0,0,3,3,0,3,2,1,0,0,2,7.2,4.0
muscami01,Mike Muscala,OKLAHOMA CITY THUNDER,AWAY,PHILADELPHIA 76ERS,WIN,932,3,5,3,5,0,0,0,4,1,0,0,0,4,7.0,24.0
willike04,Kenrich Williams,OKLAHOMA CITY THUNDER,AWAY,PHILADELPHIA 76ERS,WIN,1019,3,5,2,3,0,0,0,4,1,0,1,1,1,6.9,-2.0
nunnke01,Kendrick Nunn,LOS ANGELES LAKERS,HOME,DALLAS MAVERICKS,LOSS,1152,4,11,3,8,1,2,0,1,1,0,0,0,0,6.5,11.0
meltode01,De'Anthony Melton,PHILADELPHIA 76ERS,HOME,OKLAHOMA CITY THUNDER,LOSS,1395,3,6,2,4,0,0,0,3,3,0,0,0,4,6.4,-15.0
smithde03,Dennis Smith Jr.,CHARLOTTE HORNETS,AWAY,TORONTO RAPTORS,LOSS,1193,2,5,0,1,1,1,0,3,7,0,0,1,3,5.9,2.0
joeis01,Isaiah Joe,OKLAHOMA CITY THUNDER,AWAY,PHILADELPHIA 76ERS,WIN,964,2,6,0,4,3,4,1,2,0,2,1,1,1,5.8,24.0
williro04,Robert Williams,BOSTON CELTICS,AWAY,BROOKLYN NETS,WIN,1768,4,7,0,0,0,0,0,5,1,0,1,1,2,5.8,9.0
bullore01,Reggie Bullock,DALLAS MAVERICKS,AWAY,LOS ANGELES LAKERS,WIN,2832,2,8,2,8,1,2,0,9,0,2,1,0,5,5.2,-2.0
chrisma02,Max Christie,LOS ANGELES LAKERS,HOME,DALLAS MAVERICKS,LOSS,1724,3,6,1,3,0,0,2,3,0,0,1,1,2,5.2,-9.0
bazleda01,Darius Bazley,OKLAHOMA CITY THUNDER,AWAY,PHILADELPHIA 76ERS,WIN,850,1,4,0,2,4,4,0,4,1,1,0,1,1,5.1,3.0
cainja01,Jamal Cain,MIAMI HEAT,HOME,MILWAUKEE BUCKS,WIN,1256,3,7,0,2,0,0,1,3,0,2,0,1,0,4.9,1.0
niangge01,Georges Niang,PHILADELPHIA 76ERS,HOME,OKLAHOMA CITY THUNDER,LOSS,982,3,7,2,6,2,2,1,2,0,0,0,2,2,4.8,0.0
