slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,plus_minus
duranke01,Kevin Durant,OKLAHOMA CITY THUNDER,HOME,NEW YORK KNICKS,WIN,2408,12,22,4,7,13,18,0,10,9,1,2,3,3,35.9,10.0
griffbl01,Blake Griffin,LOS ANGELES CLIPPERS,HOME,PHILADELPHIA 76ERS,WIN,1492,11,14,0,0,4,4,0,11,6,1,0,2,3,25.9,32.0
plumlma01,Mason Plumlee,BROOKLYN NETS,HOME,NEW ORLEANS PELICANS,WIN,1700,8,10,0,1,6,9,2,11,0,3,2,1,3,23.9,14.0
thomais02,Isaiah Thomas,SACRAMENTO KINGS,AWAY,WASHINGTON WIZARDS,LOSS,2592,11,24,0,1,8,8,2,1,8,3,0,4,2,23.1,-4.0
noahjo01,Joakim Noah,CHICAGO BULLS,AWAY,LOS ANGELES LAKERS,WIN,2482,6,10,0,0,8,8,4,9,3,2,3,3,5,22.1,6.0
davisan02,Anthony Davis,NEW ORLEANS PELICANS,AWAY,BROOKLYN NETS,LOSS,2301,11,19,0,0,2,5,4,5,2,3,1,1,3,21.1,-9.0
rondora01,Rajon Rondo,BOSTON CELTICS,HOME,DALLAS MAVERICKS,LOSS,2193,6,12,3,6,0,0,0,8,12,1,0,0,0,20.8,-2.0
irvinky01,Kyrie Irving,CLEVELAND CAVALIERS,HOME,MEMPHIS GRIZZLIES,WIN,2422,9,17,4,4,6,8,1,4,6,1,1,5,3,20.5,-4.0
hilarne01,Nenê,WASHINGTON WIZARDS,HOME,SACRAMENTO KINGS,WIN,2095,6,13,0,0,6,7,2,3,5,2,3,1,3,18.6,10.0
jordade01,DeAndre Jordan,LOS ANGELES CLIPPERS,HOME,PHILADELPHIA 76ERS,WIN,1773,4,5,0,0,2,4,4,16,1,1,4,0,2,18.6,42.0
vucevni01,Nikola Vučević,ORLANDO MAGIC,HOME,INDIANA PACERS,WIN,2233,6,16,0,0,7,8,8,5,1,2,1,1,2,18.5,-5.0
georgpa01,Paul George,INDIANA PACERS,AWAY,ORLANDO MAGIC,LOSS,2122,10,19,5,8,2,2,0,7,3,1,0,3,4,18.3,5.0
kamanch01,Chris Kaman,LOS ANGELES LAKERS,HOME,CHICAGO BULLS,LOSS,1660,13,23,0,1,1,4,0,10,3,0,2,3,1,18.0,12.0
wroteto01,Tony Wroten,PHILADELPHIA 76ERS,AWAY,LOS ANGELES CLIPPERS,LOSS,1388,7,11,0,2,7,9,0,3,2,3,0,3,0,17.6,-5.0
caldejo01,José Calderón,DALLAS MAVERICKS,AWAY,BOSTON CELTICS,WIN,1893,7,13,3,6,1,2,2,3,5,0,0,1,0,16.1,-1.0
