slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,plus_minus
irvinky01,Kyrie Irving,BROOKLYN NETS,AWAY,UTAH JAZZ,WIN,2340,18,29,8,15,4,6,3,8,6,4,0,1,3,44.6,23.0
leonaka01,Kawhi Leonard,LOS ANGELES CLIPPERS,AWAY,SAN ANTONIO SPURS,WIN,2303,13,18,4,5,6,6,2,2,7,2,0,2,0,35.5,14.0
gilgesh01,Shai Gilgeous-Alexander,OKLAHOMA CITY THUNDER,AWAY,SACRAMENTO KINGS,LOSS,2250,16,23,2,3,3,4,1,0,7,2,0,0,0,34.5,-10.0
murrade01,Dejounte Murray,ATLANTA HAWKS,HOME,NEW YORK KNICKS,WIN,2188,14,25,1,4,0,0,2,4,12,3,0,1,1,29.7,9.0
wagnefr01,Franz Wagner,ORLANDO MAGIC,HOME,NEW ORLEANS PELICANS,WIN,1942,10,16,5,7,5,5,1,5,9,0,0,2,2,28.5,21.0
murrake02,Keegan Murray,SACRAMENTO KINGS,HOME,OKLAHOMA CITY THUNDER,WIN,2240,10,12,5,7,4,4,3,11,1,0,0,2,1,28.3,10.0
doncilu01,Luka Dončić,DALLAS MAVERICKS,HOME,MIAMI HEAT,WIN,2270,12,24,5,8,5,8,1,11,7,1,0,3,0,27.7,29.0
murraja01,Jamal Murray,DENVER NUGGETS,HOME,INDIANA PACERS,WIN,1768,4,8,2,2,7,7,5,5,14,2,0,3,1,26.4,15.0
randlju01,Julius Randle,NEW YORK KNICKS,AWAY,ATLANTA HAWKS,LOSS,1998,11,22,3,10,7,9,1,8,6,0,0,3,1,24.1,-12.0
powelno01,Norman Powell,LOS ANGELES CLIPPERS,AWAY,SAN ANTONIO SPURS,WIN,1602,9,11,4,5,4,4,1,2,1,1,1,2,2,22.8,-2.0
schrode01,Dennis Schröder,LOS ANGELES LAKERS,HOME,MEMPHIS GRIZZLIES,WIN,2006,4,11,1,3,10,11,1,7,8,3,1,1,2,22.8,9.0
garlada01,Darius Garland,CLEVELAND CAVALIERS,HOME,GOLDEN STATE WARRIORS,LOSS,2407,10,25,3,11,8,8,0,2,9,2,0,4,0,22.4,0.0
jeromty01,Ty Jerome,GOLDEN STATE WARRIORS,AWAY,CLEVELAND CAVALIERS,WIN,2466,9,13,3,4,1,1,0,1,8,1,1,1,2,22.3,3.0
gordoaa01,Aaron Gordon,DENVER NUGGETS,HOME,INDIANA PACERS,WIN,1824,11,15,1,2,5,9,2,3,6,0,0,3,4,22.2,26.0
sabondo01,Domantas Sabonis,SACRAMENTO KINGS,HOME,OKLAHOMA CITY THUNDER,WIN,2267,5,9,0,1,8,8,4,10,14,0,0,6,3,22.1,4.0
westbru01,Russell Westbrook,LOS ANGELES LAKERS,HOME,MEMPHIS GRIZZLIES,WIN,1849,10,18,2,4,7,11,3,2,6,0,1,4,3,21.2,3.0
clarkbr01,Brandon Clarke,MEMPHIS GRIZZLIES,AWAY,LOS ANGELES LAKERS,LOSS,1328,7,7,0,0,6,10,5,5,0,1,2,1,4,21.1,3.0
adamsst01,Steven Adams,MEMPHIS GRIZZLIES,AWAY,LOS ANGELES LAKERS,LOSS,1547,6,7,0,0,4,9,8,9,2,0,1,1,2,20.1,-1.0
anthoco01,Cole Anthony,ORLANDO MAGIC,HOME,NEW ORLEANS PELICANS,WIN,1579,6,9,2,4,8,8,0,3,4,0,0,2,2,19.0,19.0
clarkjo01,Jordan Clarkson,UTAH JAZZ,HOME,BROOKLYN NETS,LOSS,2006,11,22,2,7,5,5,2,2,5,1,0,4,4,18.9,-20.0
claxtni01,Nic Claxton,BROOKLYN NETS,AWAY,UTAH JAZZ,WIN,2255,8,9,0,0,4,8,1,4,1,0,4,1,2,18.9,29.0
georgpa01,Paul George,LOS ANGELES CLIPPERS,AWAY,SAN ANTONIO SPURS,WIN,1899,7,13,2,3,0,0,0,3,12,1,0,0,3,18.8,17.0
jonesty01,Tyus Jones,MEMPHIS GRIZZLIES,AWAY,LOS ANGELES LAKERS,LOSS,1197,6,9,4,6,4,4,0,1,2,0,0,0,0,17.8,6.0
markkla01,Lauri Markkanen,UTAH JAZZ,HOME,BROOKLYN NETS,LOSS,2205,8,16,6,10,0,0,2,9,1,1,0,2,0,17.8,-21.0
jamesle01,LeBron James,LOS ANGELES LAKERS,HOME,MEMPHIS GRIZZLIES,WIN,2192,8,21,1,5,6,7,2,7,6,2,2,3,4,17.6,9.0
brunsja01,Jalen Brunson,NEW YORK KNICKS,AWAY,ATLANTA HAWKS,LOSS,2183,7,14,1,2,4,6,0,0,9,2,3,3,3,17.4,-19.0
youngtr01,Trae Young,ATLANTA HAWKS,HOME,NEW YORK KNICKS,WIN,1951,9,21,1,7,8,8,1,0,6,1,0,4,1,17.4,11.0
huntede01,De'Andre Hunter,ATLANTA HAWKS,HOME,NEW YORK KNICKS,WIN,1852,7,11,3,7,3,4,0,3,2,1,0,0,3,16.8,5.0
barrerj01,RJ Barrett,NEW YORK KNICKS,AWAY,ATLANTA HAWKS,LOSS,2316,9,16,3,5,2,2,1,2,2,1,0,2,1,16.7,-20.0
okongon01,Onyeka Okongwu,ATLANTA HAWKS,HOME,NEW YORK KNICKS,WIN,1619,6,7,0,0,2,3,4,3,1,0,3,0,3,16.4,-1.0
