slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,plus_minus
tatumja01,Jayson Tatum,BOSTON CELTICS,HOME,UTAH JAZZ,WIN,2147,12,17,5,8,10,11,1,10,3,3,0,0,4,38.7,7.0
brunsja01,Jalen Brunson,NEW YORK KNICKS,AWAY,CLEVELAND CAVALIERS,WIN,2256,18,32,7,12,5,8,2,2,9,0,0,2,1,37.5,3.0
bridgmi01,Mikal Bridges,BROOKLYN NETS,HOME,ATLANTA HAWKS,WIN,2140,16,24,5,8,5,5,3,1,3,1,0,3,1,33.7,30.0
barnesc01,Scottie Barnes,TORONTO RAPTORS,AWAY,PHILADELPHIA 76ERS,LOSS,2391,13,19,0,1,3,4,7,2,8,4,1,2,3,33.1,0.0
davisan02,Anthony Davis,LOS ANGELES LAKERS,AWAY,MINNESOTA TIMBERWOLVES,WIN,2211,15,26,0,2,8,10,8,9,0,1,2,3,3,31.5,0.0
mitchdo01,Donovan Mitchell,CLEVELAND CAVALIERS,HOME,NEW YORK KNICKS,LOSS,2391,16,23,6,9,4,5,0,4,5,0,1,4,5,31.3,-8.0
gilgesh01,Shai Gilgeous-Alexander,OKLAHOMA CITY THUNDER,AWAY,INDIANA PACERS,LOSS,2294,11,22,0,2,17,17,0,9,4,1,1,3,6,29.8,0.0
banchpa01,Paolo Banchero,ORLANDO MAGIC,AWAY,WASHINGTON WIZARDS,WIN,2025,8,17,1,3,13,14,2,10,6,0,3,2,3,28.4,0.0
curryst01,Stephen Curry,GOLDEN STATE WARRIORS,HOME,SAN ANTONIO SPURS,WIN,1963,11,21,7,11,4,4,1,1,5,0,0,1,1,25.8,-3.0
duranke01,Kevin Durant,PHOENIX SUNS,HOME,DENVER NUGGETS,WIN,1991,11,15,2,3,6,7,0,4,2,1,2,3,0,25.5,0.0
porteke02,Kevin Porter Jr.,HOUSTON ROCKETS,HOME,DETROIT PISTONS,WIN,2271,12,20,7,13,2,3,2,1,1,4,0,3,5,24.8,3.0
foxde01,De'Aaron Fox,SACRAMENTO KINGS,AWAY,PORTLAND TRAIL BLAZERS,WIN,1628,8,11,1,3,3,4,1,7,11,2,0,2,3,24.4,0.0
thompkl01,Klay Thompson,GOLDEN STATE WARRIORS,HOME,SAN ANTONIO SPURS,WIN,2057,11,18,7,14,2,2,0,2,2,1,0,1,1,24.4,10.0
conlemi01,Mike Conley,MINNESOTA TIMBERWOLVES,HOME,LOS ANGELES LAKERS,LOSS,1895,7,11,4,6,7,8,0,3,7,3,0,2,6,24.1,0.0
fultzma01,Markelle Fultz,ORLANDO MAGIC,AWAY,WASHINGTON WIZARDS,WIN,1988,11,15,2,2,1,2,1,5,4,0,2,2,2,22.1,0.0
anderky01,Kyle Anderson,MINNESOTA TIMBERWOLVES,HOME,LOS ANGELES LAKERS,LOSS,1889,8,11,1,2,0,0,2,2,6,2,3,1,0,21.8,0.0
hardeja01,James Harden,PHILADELPHIA 76ERS,HOME,TORONTO RAPTORS,WIN,2226,9,14,3,6,2,2,1,2,11,2,1,6,2,21.7,0.0
banede01,Desmond Bane,MEMPHIS GRIZZLIES,HOME,LOS ANGELES CLIPPERS,WIN,2304,9,18,2,5,2,2,0,3,9,3,0,1,2,21.4,0.0
finnedo01,Dorian Finney-Smith,BROOKLYN NETS,HOME,ATLANTA HAWKS,WIN,1474,7,10,4,6,1,1,2,6,2,1,1,0,0,21.1,32.0
kesslwa01,Walker Kessler,UTAH JAZZ,AWAY,BOSTON CELTICS,LOSS,2031,10,13,0,0,0,0,5,5,2,0,3,2,1,21.0,-3.0
gordoaa01,Aaron Gordon,DENVER NUGGETS,AWAY,PHOENIX SUNS,LOSS,2185,10,23,2,4,4,10,5,3,6,2,1,2,0,20.8,0.0
hortota01,Talen Horton-Tucker,UTAH JAZZ,AWAY,BOSTON CELTICS,LOSS,1864,9,21,0,3,10,10,1,7,7,0,0,4,0,20.6,-5.0
wrighde01,Delon Wright,WASHINGTON WIZARDS,HOME,ORLANDO MAGIC,LOSS,1925,8,15,2,6,3,3,3,6,4,1,0,0,2,20.6,0.0
kispeco01,Corey Kispert,WASHINGTON WIZARDS,HOME,ORLANDO MAGIC,LOSS,2512,9,14,9,14,0,0,0,3,0,0,0,0,3,20.5,0.0
greenja05,Jalen Green,HOUSTON ROCKETS,HOME,DETROIT PISTONS,WIN,2197,10,18,2,5,10,16,0,1,5,0,0,3,4,20.2,12.0
poolejo01,Jordan Poole,GOLDEN STATE WARRIORS,HOME,SAN ANTONIO SPURS,WIN,1643,8,17,6,13,5,6,1,1,6,1,1,3,4,20.2,15.0
murrade01,Dejounte Murray,ATLANTA HAWKS,AWAY,BROOKLYN NETS,LOSS,2187,9,15,1,3,2,3,2,3,5,2,0,1,2,19.7,-18.0
derozde01,DeMar DeRozan,CHICAGO BULLS,AWAY,CHARLOTTE HORNETS,WIN,1972,8,15,1,2,6,7,1,2,4,1,0,1,0,19.4,24.0
monkma01,Malik Monk,SACRAMENTO KINGS,AWAY,PORTLAND TRAIL BLAZERS,WIN,1487,8,12,4,7,0,0,0,2,5,1,1,0,3,19.4,0.0
sabondo01,Domantas Sabonis,SACRAMENTO KINGS,AWAY,PORTLAND TRAIL BLAZERS,WIN,1980,9,14,0,0,2,5,3,9,8,2,0,5,2,19.2,0.0
mccontj01,T.J. McConnell,INDIANA PACERS,HOME,OKLAHOMA CITY THUNDER,WIN,1759,10,15,1,3,0,0,1,8,8,1,0,4,3,19.0,0.0
brogdma01,Malcolm Brogdon,BOSTON CELTICS,HOME,UTAH JAZZ,WIN,1908,7,14,3,8,2,2,0,3,7,1,1,1,0,18.5,-7.0
murrake02,Keegan Murray,SACRAMENTO KINGS,AWAY,PORTLAND TRAIL BLAZERS,WIN,1633,8,14,4,7,0,0,1,2,3,1,3,0,4,18.3,0.0
robinmi01,Mitchell Robinson,NEW YORK KNICKS,AWAY,CLEVELAND CAVALIERS,WIN,1335,4,5,0,0,2,3,9,5,1,2,2,1,1,18.2,-1.0
eubandr01,Drew Eubanks,PORTLAND TRAIL BLAZERS,HOME,SACRAMENTO KINGS,LOSS,1683,7,10,0,0,4,7,5,5,1,2,1,2,3,17.8,0.0
mobleev01,Evan Mobley,CLEVELAND CAVALIERS,HOME,NEW YORK KNICKS,LOSS,2464,6,8,0,0,2,3,0,7,5,0,3,0,1,17.7,-6.0
vucevni01,Nikola Vučević,CHICAGO BULLS,AWAY,CHARLOTTE HORNETS,WIN,1806,9,14,0,3,3,4,2,6,0,0,0,0,0,17.6,25.0
embiijo01,Joel Embiid,PHILADELPHIA 76ERS,HOME,TORONTO RAPTORS,WIN,2014,7,13,0,2,11,12,1,11,1,0,1,5,3,17.5,0.0
bookede01,Devin Booker,PHOENIX SUNS,HOME,DENVER NUGGETS,WIN,2104,9,20,2,9,7,8,0,2,6,1,0,4,2,17.2,0.0
claxtni01,Nic Claxton,BROOKLYN NETS,HOME,ATLANTA HAWKS,WIN,1649,6,7,0,0,2,4,3,9,5,1,2,3,3,17.2,19.0
sharpsh01,Shaedon Sharpe,PORTLAND TRAIL BLAZERS,HOME,SACRAMENTO KINGS,LOSS,2213,10,20,4,10,3,4,0,3,5,1,2,6,1,17.0,0.0
townska01,Karl-Anthony Towns,MINNESOTA TIMBERWOLVES,HOME,LOS ANGELES LAKERS,LOSS,2143,8,18,2,7,5,5,4,4,3,0,0,1,5,16.7,0.0
