slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,plus_minus
randlju01,Julius Randle,NEW YORK KNICKS,HOME,MINNESOTA TIMBERWOLVES,LOSS,2213,19,29,8,14,11,13,0,4,1,0,0,4,4,39.8,-6.0
foxde01,De'Aaron Fox,SACRAMENTO KINGS,AWAY,UTAH JAZZ,LOSS,2137,14,21,6,9,3,4,0,4,7,1,0,1,4,32.0,-3.0
princta02,Taurean Prince,MINNESOTA TIMBERWOLVES,AWAY,NEW YORK KNICKS,WIN,1929,12,13,8,8,3,4,0,5,2,0,0,2,5,29.2,28.0
conlemi01,Mike Conley,MINNESOTA TIMBERWOLVES,AWAY,NEW YORK KNICKS,WIN,1935,6,11,3,5,9,9,1,3,11,2,1,2,1,28.3,11.0
embiijo01,Joel Embiid,PHILADELPHIA 76ERS,HOME,CHICAGO BULLS,LOSS,2642,11,22,0,2,15,17,3,13,1,1,3,5,6,27.6,8.0
vucevni01,Nikola Vučević,CHICAGO BULLS,AWAY,PHILADELPHIA 76ERS,WIN,2776,8,12,1,2,4,4,1,11,2,4,0,1,2,23.4,5.0
agbajoc01,Ochai Agbaji,UTAH JAZZ,HOME,SACRAMENTO KINGS,WIN,1992,8,14,6,10,5,5,1,4,3,0,1,1,3,22.9,18.0
aldamsa01,Santi Aldama,MEMPHIS GRIZZLIES,HOME,DALLAS MAVERICKS,WIN,1672,6,12,2,6,8,9,5,9,2,0,0,0,1,22.8,4.0
curryst01,Stephen Curry,GOLDEN STATE WARRIORS,AWAY,HOUSTON ROCKETS,WIN,2166,10,23,5,15,5,5,1,6,5,2,1,4,3,21.4,5.0
jacksja02,Jaren Jackson Jr.,MEMPHIS GRIZZLIES,HOME,DALLAS MAVERICKS,WIN,1390,10,16,1,2,7,10,3,1,1,0,1,0,5,21.4,-2.0
thompkl01,Klay Thompson,GOLDEN STATE WARRIORS,AWAY,HOUSTON ROCKETS,WIN,2230,11,21,5,13,2,2,0,7,1,1,1,2,0,21.2,13.0
lavinza01,Zach LaVine,CHICAGO BULLS,AWAY,PHILADELPHIA 76ERS,WIN,2845,8,20,2,9,8,10,1,1,7,3,1,3,1,20.6,5.0
brunsja01,Jalen Brunson,NEW YORK KNICKS,HOME,MINNESOTA TIMBERWOLVES,LOSS,2203,9,18,1,3,4,4,0,2,10,2,0,2,4,20.0,-8.0
dunnkr01,Kris Dunn,UTAH JAZZ,HOME,SACRAMENTO KINGS,WIN,1873,7,12,2,2,2,2,0,2,10,1,1,0,5,19.7,11.0
easonta01,Tari Eason,HOUSTON ROCKETS,HOME,GOLDEN STATE WARRIORS,LOSS,1859,9,16,1,5,2,4,4,8,1,4,0,2,2,19.7,-3.0
oubreke01,Kelly Oubre Jr.,CHARLOTTE HORNETS,HOME,INDIANA PACERS,WIN,1997,10,17,3,7,5,9,0,3,0,4,0,3,2,19.6,12.0
murrake02,Keegan Murray,SACRAMENTO KINGS,AWAY,UTAH JAZZ,LOSS,1892,8,16,6,14,0,0,2,4,1,1,1,0,0,19.0,5.0
richani01,Nick Richards,CHARLOTTE HORNETS,HOME,INDIANA PACERS,WIN,1584,5,8,0,0,4,4,6,11,1,0,2,0,3,18.8,18.0
roziete01,Terry Rozier,CHARLOTTE HORNETS,HOME,INDIANA PACERS,WIN,2193,7,19,2,6,7,7,0,1,9,2,0,2,1,18.7,16.0
olynyke01,Kelly Olynyk,UTAH JAZZ,HOME,SACRAMENTO KINGS,WIN,1831,6,12,4,7,3,3,0,10,8,1,0,3,3,18.4,2.0
haywago01,Gordon Hayward,CHARLOTTE HORNETS,HOME,INDIANA PACERS,WIN,2012,8,15,1,4,5,6,0,3,5,1,0,1,1,18.3,26.0
meltode01,De'Anthony Melton,PHILADELPHIA 76ERS,HOME,CHICAGO BULLS,LOSS,2364,7,15,5,12,0,0,2,4,1,4,1,0,3,18.1,-8.0
derozde01,DeMar DeRozan,CHICAGO BULLS,AWAY,PHILADELPHIA 76ERS,WIN,2782,10,22,0,3,5,6,0,8,2,3,1,2,2,17.9,4.0
goberru01,Rudy Gobert,MINNESOTA TIMBERWOLVES,AWAY,NEW YORK KNICKS,WIN,2239,7,9,0,0,2,5,2,5,3,1,1,0,1,17.6,12.0
turnemy01,Myles Turner,INDIANA PACERS,AWAY,CHARLOTTE HORNETS,LOSS,1687,5,9,0,2,10,11,1,6,5,0,0,3,2,17.5,-21.0
woodch01,Christian Wood,DALLAS MAVERICKS,AWAY,MEMPHIS GRIZZLIES,LOSS,1762,6,13,1,3,7,8,5,4,6,0,0,4,2,17.0,-4.0
jonesty01,Tyus Jones,MEMPHIS GRIZZLIES,HOME,DALLAS MAVERICKS,WIN,2125,7,10,2,4,0,0,0,2,6,1,0,1,0,16.6,7.0
maxeyty01,Tyrese Maxey,PHILADELPHIA 76ERS,HOME,CHICAGO BULLS,LOSS,2770,9,19,2,7,2,2,0,5,6,0,1,2,1,16.3,9.0
irvinky01,Kyrie Irving,DALLAS MAVERICKS,AWAY,MEMPHIS GRIZZLIES,LOSS,2002,10,24,2,9,6,6,0,4,0,1,2,2,2,16.0,-7.0
hardyja02,Jaden Hardy,DALLAS MAVERICKS,AWAY,MEMPHIS GRIZZLIES,LOSS,1125,7,13,4,8,2,2,0,3,4,1,0,1,4,15.8,1.0
smithja05,Jabari Smith Jr.,HOUSTON ROCKETS,HOME,GOLDEN STATE WARRIORS,LOSS,2336,7,15,1,4,2,4,4,7,2,1,1,0,2,15.7,2.0
kuminjo01,Jonathan Kuminga,GOLDEN STATE WARRIORS,AWAY,HOUSTON ROCKETS,WIN,1533,7,9,1,2,2,2,1,2,4,0,1,2,2,15.5,3.0
jacksis01,Isaiah Jackson,INDIANA PACERS,AWAY,CHARLOTTE HORNETS,LOSS,1193,5,7,0,0,2,4,7,3,0,1,3,1,3,15.0,15.0
azubuud01,Udoka Azubuike,UTAH JAZZ,HOME,SACRAMENTO KINGS,WIN,1078,6,6,0,0,1,2,2,6,1,1,1,1,2,14.6,1.0
sabondo01,Domantas Sabonis,SACRAMENTO KINGS,AWAY,UTAH JAZZ,LOSS,2284,4,11,0,0,3,4,2,10,9,1,0,1,3,14.0,-7.0
hartjo01,Josh Hart,NEW YORK KNICKS,HOME,MINNESOTA TIMBERWOLVES,LOSS,1884,5,7,0,0,0,0,3,2,4,2,1,1,2,13.5,-3.0
mathube01,Bennedict Mathurin,INDIANA PACERS,AWAY,CHARLOTTE HORNETS,LOSS,1815,7,10,1,1,3,4,1,2,2,1,0,3,2,13.3,-21.0
barneha02,Harrison Barnes,SACRAMENTO KINGS,AWAY,UTAH JAZZ,LOSS,1792,5,11,2,4,4,5,2,4,2,0,0,0,3,12.7,7.0
kesslwa01,Walker Kessler,UTAH JAZZ,HOME,SACRAMENTO KINGS,WIN,1802,4,6,0,0,2,4,2,6,2,0,5,1,3,12.5,7.0
greendr01,Draymond Green,GOLDEN STATE WARRIORS,AWAY,HOUSTON ROCKETS,WIN,2026,4,4,0,0,0,0,0,7,7,1,1,2,3,12.3,15.0
looneke01,Kevon Looney,GOLDEN STATE WARRIORS,AWAY,HOUSTON ROCKETS,WIN,1427,4,7,0,0,3,6,8,2,2,1,0,2,2,12.3,4.0
nowelja01,Jaylen Nowell,MINNESOTA TIMBERWOLVES,AWAY,NEW YORK KNICKS,WIN,1229,7,13,0,2,0,0,0,1,4,3,1,1,4,11.9,-14.0
porteke02,Kevin Porter Jr.,HOUSTON ROCKETS,HOME,GOLDEN STATE WARRIORS,LOSS,2296,4,15,3,10,6,6,1,4,5,3,0,5,1,11.1,-11.0
harrito02,Tobias Harris,PHILADELPHIA 76ERS,HOME,CHICAGO BULLS,LOSS,2798,6,11,2,4,0,0,3,6,1,1,1,3,3,10.8,2.0
martike04,KJ Martin,HOUSTON ROCKETS,HOME,GOLDEN STATE WARRIORS,LOSS,1952,5,12,0,4,3,3,1,2,1,2,0,0,0,10.6,-8.0
