slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,plus_minus
horfoal01,Al Horford,BOSTON CELTICS,AWAY,MIAMI HEAT,WIN,2360,5,8,1,3,5,7,0,7,5,1,2,1,0,18.6,13.0
adebaba01,Bam Adebayo,MIAMI HEAT,HOME,BOSTON CELTICS,LOSS,2300,8,15,0,0,2,2,6,4,1,0,1,1,3,15.3,-23.0
tatumja01,Jayson Tatum,BOSTON CELTICS,AWAY,MIAMI HEAT,WIN,2665,7,20,2,8,6,8,2,10,9,0,0,5,3,14.5,17.0
brownja02,Jaylen Brown,BOSTON CELTICS,AWAY,MIAMI HEAT,WIN,2390,10,19,5,9,0,1,0,4,1,1,1,4,3,13.7,20.0
whitede01,Derrick White,BOSTON CELTICS,AWAY,MIAMI HEAT,WIN,1749,6,8,0,2,2,3,0,1,5,2,1,3,4,12.3,8.0
williro04,Robert Williams,BOSTON CELTICS,AWAY,MIAMI HEAT,WIN,1607,2,2,0,0,2,2,3,7,0,1,3,0,1,12.3,9.0
tuckepj01,P.J. Tucker,MIAMI HEAT,HOME,BOSTON CELTICS,LOSS,1906,3,7,1,5,0,0,6,5,2,1,0,0,1,11.0,-5.0
butleji01,Jimmy Butler,MIAMI HEAT,HOME,BOSTON CELTICS,LOSS,2421,4,18,1,5,4,4,3,3,4,2,1,0,2,9.7,-15.0
vincega01,Gabe Vincent,MIAMI HEAT,HOME,BOSTON CELTICS,LOSS,1400,6,12,1,7,2,2,0,2,2,1,0,3,1,8.6,-6.0
robindu01,Duncan Robinson,MIAMI HEAT,HOME,BOSTON CELTICS,LOSS,1678,4,12,3,10,0,0,2,2,1,1,0,0,4,6.3,3.0
martica02,Caleb Martin,MIAMI HEAT,HOME,BOSTON CELTICS,LOSS,913,3,7,1,3,0,0,1,5,1,0,0,0,0,6.2,-2.0
smartma01,Marcus Smart,BOSTON CELTICS,AWAY,MIAMI HEAT,WIN,1422,1,5,1,3,2,2,1,4,4,0,0,1,4,4.0,13.0
yurtsom01,Omer Yurtseven,MIAMI HEAT,HOME,BOSTON CELTICS,LOSS,92,1,1,0,0,0,0,0,0,0,0,0,0,0,1.7,4.0
willigr01,Grant Williams,BOSTON CELTICS,AWAY,MIAMI HEAT,WIN,1382,2,5,1,4,0,0,0,6,0,0,0,1,4,1.5,9.0
fittsma01,Malik Fitts,BOSTON CELTICS,AWAY,MIAMI HEAT,WIN,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-4.0
highsha01,Haywood Highsmith,MIAMI HEAT,HOME,BOSTON CELTICS,LOSS,92,0,0,0,0,0,0,1,1,0,0,0,1,0,0.0,4.0
kornelu01,Luke Kornet,BOSTON CELTICS,AWAY,MIAMI HEAT,WIN,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-4.0
morgaju01,Juwan Morgan,BOSTON CELTICS,AWAY,MIAMI HEAT,WIN,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-4.0
nesmiaa01,Aaron Nesmith,BOSTON CELTICS,AWAY,MIAMI HEAT,WIN,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-4.0
strusma01,Max Strus,MIAMI HEAT,HOME,BOSTON CELTICS,LOSS,1202,0,9,0,7,4,4,0,2,3,0,0,0,3,-0.8,-16.0
pritcpa01,Payton Pritchard,BOSTON CELTICS,AWAY,MIAMI HEAT,WIN,365,0,2,0,2,0,0,0,1,0,0,0,0,0,-1.1,-4.0
stausni01,Nik Stauskas,BOSTON CELTICS,AWAY,MIAMI HEAT,WIN,92,0,2,0,2,0,0,0,0,0,0,0,0,0,-1.4,-4.0
oladivi01,Victor Oladipo,MIAMI HEAT,HOME,BOSTON CELTICS,LOSS,916,1,7,0,3,1,2,0,5,0,2,0,4,0,-2.4,-2.0
lowryky01,Kyle Lowry,MIAMI HEAT,HOME,BOSTON CELTICS,LOSS,1480,0,6,0,5,0,0,0,1,0,0,0,3,5,-8.9,-7.0
