slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,plus_minus
leonaka01,Kawhi Leonard,LOS ANGELES CLIPPERS,HOME,UTAH JAZZ,WIN,2272,14,24,1,6,5,5,2,10,5,2,1,2,0,31.4,15.0
mitchdo01,Donovan Mitchell,UTAH JAZZ,AWAY,LOS ANGELES CLIPPERS,LOSS,1940,11,24,5,9,3,5,0,5,4,2,0,2,3,19.9,-10.0
georgpa01,Paul George,LOS ANGELES CLIPPERS,HOME,UTAH JAZZ,WIN,2279,12,24,6,10,1,2,1,2,5,1,0,4,3,19.2,14.0
inglejo01,Joe Ingles,UTAH JAZZ,AWAY,LOS ANGELES CLIPPERS,LOSS,1696,6,11,5,8,2,2,0,4,2,1,0,0,0,17.3,-12.0
batumni01,Nicolas Batum,LOS ANGELES CLIPPERS,HOME,UTAH JAZZ,WIN,2108,6,9,4,6,1,2,1,6,2,1,0,1,1,16.2,24.0
jacksre01,Reggie Jackson,LOS ANGELES CLIPPERS,HOME,UTAH JAZZ,WIN,1741,6,8,5,6,0,0,0,1,3,1,0,0,3,16.0,14.0
goberru01,Rudy Gobert,UTAH JAZZ,AWAY,LOS ANGELES CLIPPERS,LOSS,1782,4,7,0,1,4,4,4,6,0,1,1,1,2,13.2,-16.0
onealro01,Royce O'Neale,UTAH JAZZ,AWAY,LOS ANGELES CLIPPERS,LOSS,2115,4,8,4,8,0,0,1,5,2,2,0,2,5,9.6,-16.0
clarkjo01,Jordan Clarkson,UTAH JAZZ,AWAY,LOS ANGELES CLIPPERS,LOSS,1877,5,16,4,9,0,0,2,1,3,1,0,1,3,7.4,-24.0
beverpa01,Patrick Beverley,LOS ANGELES CLIPPERS,HOME,UTAH JAZZ,WIN,964,2,3,0,0,3,3,0,2,1,0,0,0,3,5.8,9.0
morrima03,Marcus Morris,LOS ANGELES CLIPPERS,HOME,UTAH JAZZ,WIN,1300,3,5,0,2,0,0,1,1,1,1,0,0,2,5.6,4.0
mannte01,Terance Mann,LOS ANGELES CLIPPERS,HOME,UTAH JAZZ,WIN,1338,2,5,1,2,2,2,1,3,1,0,0,1,3,4.4,21.0
kennalu01,Luke Kennard,LOS ANGELES CLIPPERS,HOME,UTAH JAZZ,WIN,1036,2,4,2,4,0,0,0,2,1,0,0,0,3,4.1,12.0
forretr01,Trent Forrest,UTAH JAZZ,AWAY,LOS ANGELES CLIPPERS,LOSS,206,2,2,0,0,0,0,0,0,0,0,0,0,0,3.4,-4.0
ilyaser01,Ersan İlyasova,UTAH JAZZ,AWAY,LOS ANGELES CLIPPERS,LOSS,206,1,2,0,1,2,2,0,0,0,0,0,0,0,3.0,-4.0
zubaciv01,Ivica Zubac,LOS ANGELES CLIPPERS,HOME,UTAH JAZZ,WIN,782,1,4,0,0,1,2,3,3,0,0,1,1,0,2.9,8.0
ferreyo01,Yogi Ferrell,LOS ANGELES CLIPPERS,HOME,UTAH JAZZ,WIN,206,1,1,0,0,0,0,0,1,1,0,0,0,0,2.7,4.0
oturuda01,Daniel Oturu,LOS ANGELES CLIPPERS,HOME,UTAH JAZZ,WIN,168,1,1,0,0,0,0,1,0,0,0,0,0,0,2.4,1.0
bogdabo02,Bojan Bogdanović,UTAH JAZZ,AWAY,LOS ANGELES CLIPPERS,LOSS,2134,2,10,1,5,4,4,0,4,1,0,0,2,3,1.5,-17.0
favorde01,Derrick Favors,UTAH JAZZ,AWAY,LOS ANGELES CLIPPERS,LOSS,892,1,1,0,0,0,0,2,2,0,0,0,2,2,0.9,-6.0
morgaju01,Juwan Morgan,UTAH JAZZ,AWAY,LOS ANGELES CLIPPERS,LOSS,206,0,0,0,0,0,0,0,0,1,0,0,0,1,0.3,-4.0
coffeam01,Amir Coffey,LOS ANGELES CLIPPERS,HOME,UTAH JAZZ,WIN,206,0,1,0,0,0,0,0,0,1,0,0,0,0,0.0,4.0
thomama02,Matt Thomas,UTAH JAZZ,AWAY,LOS ANGELES CLIPPERS,LOSS,206,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.1,-4.0
onimi01,Miye Oni,UTAH JAZZ,AWAY,LOS ANGELES CLIPPERS,LOSS,499,0,2,0,2,0,0,0,0,0,0,0,0,0,-1.4,-6.0
niangge01,Georges Niang,UTAH JAZZ,AWAY,LOS ANGELES CLIPPERS,LOSS,641,0,1,0,1,0,0,0,1,2,0,0,3,2,-2.8,-7.0
