slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,plus_minus
valanjo01,Jonas Valančiūnas,NEW ORLEANS PELICANS,AWAY,LOS ANGELES CLIPPERS,WIN,1942,15,24,7,8,2,2,7,8,3,2,0,1,2,37.8,22.0
vucevni01,Nikola Vučević,CHICAGO BULLS,HOME,CHARLOTTE HORNETS,WIN,2124,12,19,6,6,0,0,1,13,5,0,2,2,3,27.8,31.0
jokicni01,Nikola Jokić,DENVER NUGGETS,AWAY,MIAMI HEAT,WIN,1955,9,14,1,2,5,6,3,12,7,1,0,1,2,27.2,17.0
mitchdo01,Donovan Mitchell,UTAH JAZZ,HOME,PORTLAND TRAIL BLAZERS,WIN,1946,12,20,3,8,3,3,0,2,5,4,0,1,2,27.1,11.0
roziete01,Terry Rozier,CHARLOTTE HORNETS,AWAY,CHICAGO BULLS,LOSS,2211,11,17,6,7,3,3,0,2,4,0,1,1,1,26.2,-22.0
allenja01,Jarrett Allen,CLEVELAND CAVALIERS,AWAY,DALLAS MAVERICKS,WIN,2049,12,17,0,0,4,6,3,11,3,0,1,2,1,25.9,30.0
goberru01,Rudy Gobert,UTAH JAZZ,HOME,PORTLAND TRAIL BLAZERS,WIN,1916,9,11,0,0,3,4,3,13,3,1,1,0,3,25.1,29.0
derozde01,DeMar DeRozan,CHICAGO BULLS,HOME,CHARLOTTE HORNETS,WIN,2043,12,20,0,2,4,5,0,5,6,1,0,0,3,23.9,6.0
woodch01,Christian Wood,HOUSTON ROCKETS,HOME,OKLAHOMA CITY THUNDER,WIN,1854,9,17,3,6,3,4,3,18,0,1,3,2,3,22.7,24.0
nurkiju01,Jusuf Nurkić,PORTLAND TRAIL BLAZERS,AWAY,UTAH JAZZ,LOSS,1613,9,13,1,1,5,7,5,5,1,0,0,0,3,22.2,-15.0
ingrabr01,Brandon Ingram,NEW ORLEANS PELICANS,AWAY,LOS ANGELES CLIPPERS,WIN,2054,12,18,1,2,2,4,1,6,4,0,0,1,2,21.9,27.0
curryse01,Seth Curry,PHILADELPHIA 76ERS,HOME,ORLANDO MAGIC,WIN,1974,10,13,3,5,1,1,0,2,1,2,0,0,1,21.8,3.0
russeda01,D'Angelo Russell,MINNESOTA TIMBERWOLVES,HOME,INDIANA PACERS,WIN,2321,7,17,3,9,4,4,2,6,11,1,0,1,4,21.2,10.0
lowryky01,Kyle Lowry,MIAMI HEAT,HOME,DENVER NUGGETS,LOSS,2161,5,9,2,5,5,6,1,1,14,0,0,1,3,20.9,-11.0
markkla01,Lauri Markkanen,CLEVELAND CAVALIERS,AWAY,DALLAS MAVERICKS,WIN,1998,9,15,5,9,1,1,1,7,2,1,0,0,4,20.7,23.0
sabondo01,Domantas Sabonis,INDIANA PACERS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,2161,5,12,0,4,6,7,4,21,10,0,1,4,5,20.0,17.0
brogdma01,Malcolm Brogdon,INDIANA PACERS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,2413,9,20,2,6,5,6,0,6,5,3,0,2,2,19.7,1.0
ballla01,LaMelo Ball,CHARLOTTE HORNETS,AWAY,CHICAGO BULLS,LOSS,1920,5,15,3,8,5,6,2,5,13,2,1,3,3,19.6,-9.0
murrade01,Dejounte Murray,SAN ANTONIO SPURS,HOME,WASHINGTON WIZARDS,WIN,2047,8,19,0,2,6,7,2,8,8,0,0,1,1,19.5,20.0
