slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,plus_minus
doncilu01,Luka Dončić,DALLAS MAVERICKS,AWAY,BROOKLYN NETS,WIN,2430,14,28,2,6,11,13,1,10,14,3,0,5,2,36.9,20.0
butleji01,Jimmy Butler,MIAMI HEAT,AWAY,GOLDEN STATE WARRIORS,LOSS,2224,8,13,4,7,7,7,1,5,8,6,0,2,2,32.1,-8.0
duranke01,Kevin Durant,BROOKLYN NETS,HOME,DALLAS MAVERICKS,LOSS,2474,12,21,2,5,11,11,1,2,5,2,1,3,2,30.8,-6.0
irvinky01,Kyrie Irving,BROOKLYN NETS,HOME,DALLAS MAVERICKS,LOSS,2524,14,31,5,14,6,6,2,5,4,3,4,3,3,30.2,-3.0
curryst01,Stephen Curry,GOLDEN STATE WARRIORS,HOME,MIAMI HEAT,WIN,2217,13,22,7,14,0,0,1,6,9,1,0,3,0,29.6,13.0
banede01,Desmond Bane,MEMPHIS GRIZZLIES,AWAY,SACRAMENTO KINGS,WIN,1999,11,18,6,8,3,4,1,5,4,0,0,1,2,25.6,13.0
adebaba01,Bam Adebayo,MIAMI HEAT,AWAY,GOLDEN STATE WARRIORS,LOSS,2264,10,13,0,0,6,8,4,4,1,4,3,5,2,25.1,-12.0
foxde01,De'Aaron Fox,SACRAMENTO KINGS,HOME,MEMPHIS GRIZZLIES,LOSS,2125,11,19,2,6,3,3,1,5,2,1,1,3,5,18.4,-2.0
dortlu01,Luguentz Dort,OKLAHOMA CITY THUNDER,HOME,LOS ANGELES CLIPPERS,WIN,2051,9,15,1,5,2,2,1,2,4,2,0,1,4,17.6,18.0
clarkbr01,Brandon Clarke,MEMPHIS GRIZZLIES,AWAY,SACRAMENTO KINGS,WIN,1353,6,8,0,1,4,5,0,3,3,2,1,1,0,17.1,11.0
wiggian01,Andrew Wiggins,GOLDEN STATE WARRIORS,HOME,MIAMI HEAT,WIN,2201,5,10,2,5,6,6,3,7,2,1,1,2,4,16.7,17.0
gilgesh01,Shai Gilgeous-Alexander,OKLAHOMA CITY THUNDER,HOME,LOS ANGELES CLIPPERS,WIN,2041,10,23,2,4,2,2,1,4,6,3,0,3,4,16.4,12.0
jacksre01,Reggie Jackson,LOS ANGELES CLIPPERS,AWAY,OKLAHOMA CITY THUNDER,LOSS,2234,8,13,2,4,0,0,0,2,4,1,0,0,1,16.1,-17.0
barneha02,Harrison Barnes,SACRAMENTO KINGS,HOME,MEMPHIS GRIZZLIES,LOSS,2248,6,12,1,4,7,8,0,3,3,1,0,2,0,15.6,-12.0
moranja01,Ja Morant,MEMPHIS GRIZZLIES,AWAY,SACRAMENTO KINGS,WIN,1890,8,18,1,3,5,5,1,4,6,0,0,3,1,15.3,2.0
monkma01,Malik Monk,SACRAMENTO KINGS,HOME,MEMPHIS GRIZZLIES,LOSS,1321,5,9,3,7,2,2,0,2,7,0,1,1,2,15.1,-11.0
walljo01,John Wall,LOS ANGELES CLIPPERS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1257,6,12,1,3,4,5,1,3,6,0,0,1,1,15.0,7.0
sabondo01,Domantas Sabonis,SACRAMENTO KINGS,HOME,MEMPHIS GRIZZLIES,LOSS,1852,4,6,0,1,3,4,3,8,9,1,0,4,4,14.2,7.0
zubaciv01,Ivica Zubac,LOS ANGELES CLIPPERS,AWAY,OKLAHOMA CITY THUNDER,LOSS,2061,4,9,0,0,4,6,5,13,2,0,1,1,2,14.2,-14.0
laravja01,Jake LaRavia,MEMPHIS GRIZZLIES,AWAY,SACRAMENTO KINGS,WIN,1790,5,6,3,4,0,0,2,7,1,1,0,0,5,14.0,24.0
lowryky01,Kyle Lowry,MIAMI HEAT,AWAY,GOLDEN STATE WARRIORS,LOSS,1988,4,10,2,8,2,2,1,4,8,3,0,2,4,13.5,-9.0
powelno01,Norman Powell,LOS ANGELES CLIPPERS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1883,9,15,2,7,1,2,1,2,2,0,1,3,2,13.3,-16.0
willike04,Kenrich Williams,OKLAHOMA CITY THUNDER,HOME,LOS ANGELES CLIPPERS,WIN,1557,5,8,2,4,0,0,1,0,3,2,0,0,1,12.8,-9.0
