slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,plus_minus
curryst01,Stephen Curry,GOLDEN STATE WARRIORS,AWAY,NEW ORLEANS PELICANS,WIN,1802,15,22,7,13,5,7,0,5,5,2,0,3,1,35.4,13.0
murrade01,Dejounte Murray,ATLANTA HAWKS,HOME,MINNESOTA TIMBERWOLVES,WIN,2362,17,24,3,5,4,4,0,7,5,2,0,3,1,35.2,25.0
jokicni01,Nikola Jokić,DENVER NUGGETS,HOME,UTAH JAZZ,WIN,2114,12,16,1,3,2,5,1,9,11,0,2,1,3,29.7,13.0
brownja02,Jaylen Brown,BOSTON CELTICS,AWAY,WASHINGTON WIZARDS,WIN,1892,13,24,8,13,2,4,0,6,2,3,1,0,3,29.3,32.0
doncilu01,Luka Dončić,DALLAS MAVERICKS,AWAY,MEMPHIS GRIZZLIES,WIN,2400,11,22,6,12,7,10,0,12,12,1,1,6,4,28.9,6.0
davisan02,Anthony Davis,LOS ANGELES LAKERS,HOME,ORLANDO MAGIC,WIN,2292,12,18,0,1,2,3,2,17,5,1,3,1,3,28.7,-2.0
herroty01,Tyler Herro,MIAMI HEAT,AWAY,MILWAUKEE BUCKS,LOSS,2548,12,21,2,5,9,10,1,7,3,1,0,3,1,27.2,-3.0
banede01,Desmond Bane,MEMPHIS GRIZZLIES,HOME,DALLAS MAVERICKS,LOSS,2249,12,17,3,7,3,4,2,4,3,3,0,2,3,27.0,0.0
russeda01,D'Angelo Russell,LOS ANGELES LAKERS,HOME,ORLANDO MAGIC,WIN,2182,10,14,3,6,5,5,0,2,8,1,1,3,4,25.5,7.0
tatumja01,Jayson Tatum,BOSTON CELTICS,AWAY,WASHINGTON WIZARDS,WIN,1656,14,21,4,9,1,1,0,6,3,0,0,2,2,25.0,27.0
jacksja02,Jaren Jackson Jr.,MEMPHIS GRIZZLIES,HOME,DALLAS MAVERICKS,LOSS,2035,10,20,3,6,7,9,2,7,4,0,2,1,3,24.7,-25.0
gilgesh01,Shai Gilgeous-Alexander,OKLAHOMA CITY THUNDER,HOME,DETROIT PISTONS,WIN,1972,11,23,1,3,9,9,1,8,4,3,0,5,2,23.4,17.0
antetgi01,Giannis Antetokounmpo,MILWAUKEE BUCKS,HOME,MIAMI HEAT,WIN,1911,12,21,1,3,8,11,1,6,2,0,1,2,3,23.3,18.0
thomaca02,Cam Thomas,BROOKLYN NETS,AWAY,CHARLOTTE HORNETS,WIN,2279,10,17,1,4,12,14,0,2,2,0,0,2,4,22.7,8.0
edwaran01,Anthony Edwards,MINNESOTA TIMBERWOLVES,AWAY,ATLANTA HAWKS,LOSS,2267,13,21,5,8,0,1,0,5,7,1,0,5,4,21.9,-9.0
vucevni01,Nikola Vučević,CHICAGO BULLS,AWAY,INDIANA PACERS,WIN,2057,10,19,0,1,4,6,5,12,3,1,0,1,3,21.9,0.0
markkla01,Lauri Markkanen,UTAH JAZZ,AWAY,DENVER NUGGETS,LOSS,2262,10,24,5,13,2,2,5,9,5,0,1,2,2,21.8,3.0
kesslwa01,Walker Kessler,UTAH JAZZ,AWAY,DENVER NUGGETS,LOSS,1749,10,11,0,0,2,3,3,10,0,0,1,2,4,20.1,-2.0
roziete01,Terry Rozier,CHARLOTTE HORNETS,HOME,BROOKLYN NETS,LOSS,2442,10,19,2,6,1,1,0,3,9,1,1,2,2,19.8,-13.0
bridgmi01,Mikal Bridges,BROOKLYN NETS,AWAY,CHARLOTTE HORNETS,WIN,2264,10,13,1,3,3,3,1,6,4,1,1,5,3,19.7,10.0
