slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,plus_minus
brunsja01,Jalen Brunson,NEW YORK KNICKS,AWAY,PHILADELPHIA 76ERS,WIN,2616,13,27,3,8,12,16,0,3,12,0,0,2,2,32.2,9.0
embiijo01,Joel Embiid,PHILADELPHIA 76ERS,HOME,NEW YORK KNICKS,LOSS,2418,12,25,2,5,13,13,5,8,2,1,1,5,6,27.9,-2.0
mccontj01,T.J. McConnell,INDIANA PACERS,HOME,MILWAUKEE BUCKS,WIN,1371,7,9,2,2,4,4,0,2,9,4,0,1,4,24.8,22.0
divindo01,Donte DiVincenzo,NEW YORK KNICKS,AWAY,PHILADELPHIA 76ERS,WIN,2880,8,18,5,9,2,2,2,2,7,2,3,1,1,23.2,3.0
lillada01,Damian Lillard,MILWAUKEE BUCKS,AWAY,INDIANA PACERS,LOSS,2080,7,16,4,12,10,10,0,2,4,0,0,3,1,19.6,-6.0
hartjo01,Josh Hart,NEW YORK KNICKS,AWAY,PHILADELPHIA 76ERS,WIN,2789,5,11,3,5,3,3,6,8,7,0,0,2,2,19.0,7.0
hieldbu01,Buddy Hield,PHILADELPHIA 76ERS,HOME,NEW YORK KNICKS,LOSS,1288,6,10,6,9,2,2,2,2,1,0,0,1,1,16.7,12.0
toppiob01,Obi Toppin,INDIANA PACERS,HOME,MILWAUKEE BUCKS,WIN,1467,8,15,3,10,2,2,2,6,2,0,1,2,1,16.6,9.0
batumni01,Nicolas Batum,PHILADELPHIA 76ERS,HOME,NEW YORK KNICKS,LOSS,1651,5,7,3,5,3,4,3,4,2,0,1,1,3,15.9,-6.0
siakapa01,Pascal Siakam,INDIANA PACERS,HOME,MILWAUKEE BUCKS,WIN,2112,9,15,1,3,0,0,1,6,4,1,0,1,4,15.8,19.0
nembhan01,Andrew Nembhard,INDIANA PACERS,HOME,MILWAUKEE BUCKS,WIN,2222,6,9,1,3,1,1,1,4,4,2,1,1,2,15.7,11.0
halibty01,Tyrese Haliburton,INDIANA PACERS,HOME,MILWAUKEE BUCKS,WIN,1898,7,16,2,10,1,1,1,5,10,0,0,2,1,15.4,12.0
portibo01,Bobby Portis,MILWAUKEE BUCKS,AWAY,INDIANA PACERS,LOSS,2156,8,17,1,1,3,7,6,9,2,0,0,2,2,15.2,-10.0
anunoog01,OG Anunoby,NEW YORK KNICKS,AWAY,PHILADELPHIA 76ERS,WIN,2715,8,17,2,5,1,3,1,8,0,2,2,1,3,13.8,8.0
lopezbr01,Brook Lopez,MILWAUKEE BUCKS,AWAY,INDIANA PACERS,LOSS,1844,7,12,0,2,6,9,3,2,1,0,0,2,3,13.4,-11.0
maxeyty01,Tyrese Maxey,PHILADELPHIA 76ERS,HOME,NEW YORK KNICKS,LOSS,2576,6,18,1,6,4,4,1,4,5,2,0,1,2,12.4,-4.0
oubreke01,Kelly Oubre Jr.,PHILADELPHIA 76ERS,HOME,NEW YORK KNICKS,LOSS,2558,7,14,3,7,0,0,3,2,1,1,1,2,5,11.1,8.0
harteis01,Isaiah Hartenstein,NEW YORK KNICKS,AWAY,PHILADELPHIA 76ERS,WIN,1792,7,13,0,0,0,0,5,4,2,0,2,3,5,10.2,-2.0
middlkh01,Khris Middleton,MILWAUKEE BUCKS,AWAY,INDIANA PACERS,LOSS,2275,6,15,1,4,1,1,4,4,3,2,0,3,5,9.0,-19.0
nesmiaa01,Aaron Nesmith,INDIANA PACERS,HOME,MILWAUKEE BUCKS,WIN,1771,5,10,3,7,2,2,0,3,1,0,0,1,5,8.6,15.0
robinmi01,Mitchell Robinson,NEW YORK KNICKS,AWAY,PHILADELPHIA 76ERS,WIN,1066,1,3,0,0,0,0,6,3,0,2,1,0,2,7.3,7.0
payneca01,Cameron Payne,PHILADELPHIA 76ERS,HOME,NEW YORK KNICKS,LOSS,929,2,8,2,6,0,0,0,2,3,1,0,0,2,4.1,-3.0
jacksis01,Isaiah Jackson,INDIANA PACERS,HOME,MILWAUKEE BUCKS,WIN,625,1,1,0,0,2,3,0,4,0,0,0,0,3,3.3,2.0
beverpa01,Patrick Beverley,MILWAUKEE BUCKS,AWAY,INDIANA PACERS,LOSS,2385,3,11,0,3,0,0,0,2,5,0,0,0,1,3.2,-11.0
sheppbe01,Ben Sheppard,INDIANA PACERS,HOME,MILWAUKEE BUCKS,WIN,1140,1,3,1,2,0,0,0,4,1,0,0,0,1,2.8,8.0
reedpa01,Paul Reed,PHILADELPHIA 76ERS,HOME,NEW YORK KNICKS,LOSS,450,0,1,0,0,0,0,2,2,0,1,1,0,1,2.6,-1.0
harrito02,Tobias Harris,PHILADELPHIA 76ERS,HOME,NEW YORK KNICKS,LOSS,1760,0,2,0,0,0,0,0,4,3,0,0,0,0,1.9,-10.0
turnemy01,Myles Turner,INDIANA PACERS,HOME,MILWAUKEE BUCKS,WIN,1406,1,6,0,3,3,4,2,3,1,0,1,1,4,1.9,12.0
connapa01,Pat Connaughton,MILWAUKEE BUCKS,AWAY,INDIANA PACERS,LOSS,985,1,4,1,2,0,0,1,4,1,0,0,1,1,1.8,-13.0
jacksan01,Andre Jackson Jr.,MILWAUKEE BUCKS,AWAY,INDIANA PACERS,LOSS,313,1,1,0,0,0,0,0,1,0,0,0,0,2,1.2,-3.0
beaucma01,MarJon Beauchamp,MILWAUKEE BUCKS,AWAY,INDIANA PACERS,LOSS,152,0,1,0,1,0,0,0,0,2,0,0,0,0,0.7,-2.0
walkeja02,Jarace Walker,INDIANA PACERS,HOME,MILWAUKEE BUCKS,WIN,150,0,0,0,0,0,0,0,0,1,0,0,0,0,0.7,2.0
antetth01,Thanasis Antetokounmpo,MILWAUKEE BUCKS,AWAY,INDIANA PACERS,LOSS,152,0,0,0,0,0,0,0,0,0,1,0,0,1,0.6,-2.0
gallida01,Danilo Gallinari,MILWAUKEE BUCKS,AWAY,INDIANA PACERS,LOSS,225,0,0,0,0,1,2,0,0,0,0,0,0,0,0.6,-10.0
livinch01,Chris Livingston,MILWAUKEE BUCKS,AWAY,INDIANA PACERS,LOSS,150,1,1,0,0,0,3,0,0,0,0,0,0,0,0.5,-2.0
brownke03,Kendall Brown,INDIANA PACERS,HOME,MILWAUKEE BUCKS,WIN,126,1,1,0,0,0,0,0,0,0,0,0,1,1,0.3,-1.0
beaslma01,Malik Beasley,MILWAUKEE BUCKS,AWAY,INDIANA PACERS,LOSS,1361,1,5,0,2,0,0,1,1,1,1,0,1,1,0.2,-19.0
lowryky01,Kyle Lowry,PHILADELPHIA 76ERS,HOME,NEW YORK KNICKS,LOSS,767,0,2,0,2,0,0,0,2,3,0,1,1,2,0.2,-9.0
mcderdo01,Doug McDermott,INDIANA PACERS,HOME,MILWAUKEE BUCKS,WIN,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-1.0
mcbrimi01,Miles McBride,NEW YORK KNICKS,AWAY,PHILADELPHIA 76ERS,WIN,541,1,4,1,4,0,0,0,0,0,0,0,0,2,-0.2,-17.0
greenaj01,A.J. Green,MILWAUKEE BUCKS,AWAY,INDIANA PACERS,LOSS,322,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4,-2.0
