slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,plus_minus
bookede01,Devin Booker,PHOENIX SUNS,HOME,MINNESOTA TIMBERWOLVES,LOSS,2695,13,21,3,5,20,21,0,5,6,2,1,2,5,43.5,1.0
brunsja01,Jalen Brunson,NEW YORK KNICKS,AWAY,PHILADELPHIA 76ERS,WIN,2612,18,34,2,8,9,11,0,4,10,0,1,1,2,36.7,10.0
edwaran01,Anthony Edwards,MINNESOTA TIMBERWOLVES,AWAY,PHOENIX SUNS,WIN,2457,13,23,7,13,7,10,4,5,6,1,2,2,2,36.0,7.0
duranke01,Kevin Durant,PHOENIX SUNS,HOME,MINNESOTA TIMBERWOLVES,LOSS,2779,12,17,2,3,7,9,1,8,5,0,4,1,2,32.7,-7.0
hardeja01,James Harden,LOS ANGELES CLIPPERS,AWAY,DALLAS MAVERICKS,WIN,2401,12,17,4,5,5,5,1,5,7,1,1,2,4,31.1,3.0
georgpa01,Paul George,LOS ANGELES CLIPPERS,AWAY,DALLAS MAVERICKS,WIN,2570,11,19,7,10,4,7,0,6,8,4,1,4,3,29.8,3.0
irvinky01,Kyrie Irving,DALLAS MAVERICKS,HOME,LOS ANGELES CLIPPERS,LOSS,2673,14,25,6,12,6,6,2,5,5,0,0,7,4,25.9,-5.0
turnemy01,Myles Turner,INDIANA PACERS,HOME,MILWAUKEE BUCKS,WIN,2256,10,17,7,9,2,6,1,8,4,0,3,0,5,25.5,17.0
townska01,Karl-Anthony Towns,MINNESOTA TIMBERWOLVES,AWAY,PHOENIX SUNS,WIN,2329,11,17,4,6,2,3,2,8,3,0,0,0,5,24.0,4.0
doncilu01,Luka Dončić,DALLAS MAVERICKS,HOME,LOS ANGELES CLIPPERS,LOSS,2682,10,24,1,9,8,10,4,6,10,0,1,3,5,22.7,10.0
embiijo01,Joel Embiid,PHILADELPHIA 76ERS,HOME,NEW YORK KNICKS,LOSS,2638,7,19,1,6,12,14,0,10,6,3,2,4,3,22.1,1.0
lopezbr01,Brook Lopez,MILWAUKEE BUCKS,AWAY,INDIANA PACERS,LOSS,2331,12,18,3,5,0,4,3,6,1,0,1,3,0,19.9,-7.0
halibty01,Tyrese Haliburton,INDIANA PACERS,HOME,MILWAUKEE BUCKS,WIN,1922,8,16,5,12,3,3,0,4,4,1,0,3,0,18.0,13.0
nembhan01,Andrew Nembhard,INDIANA PACERS,HOME,MILWAUKEE BUCKS,WIN,2269,6,9,3,4,0,0,0,3,9,0,0,0,2,17.5,17.0
beaslma01,Malik Beasley,MILWAUKEE BUCKS,AWAY,INDIANA PACERS,LOSS,2067,8,12,4,7,0,0,0,3,2,0,0,0,1,16.7,-19.0
