slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,plus_minus
doncilu01,Luka Dončić,DALLAS MAVERICKS,HOME,PHILADELPHIA 76ERS,WIN,2387,13,22,7,13,9,11,1,3,12,1,0,5,2,36.2,20.0
irvinky01,Kyrie Irving,DALLAS MAVERICKS,HOME,PHILADELPHIA 76ERS,WIN,2538,15,22,6,8,4,6,0,4,6,3,0,2,3,35.0,15.0
poeltja01,Jakob Poeltl,TORONTO RAPTORS,AWAY,WASHINGTON WIZARDS,LOSS,1891,8,9,0,0,7,7,4,9,4,3,2,1,3,30.4,9.0
poolejo01,Jordan Poole,GOLDEN STATE WARRIORS,HOME,LOS ANGELES CLIPPERS,WIN,1890,9,20,5,12,11,12,2,2,3,2,0,3,1,25.9,19.0
hardeja01,James Harden,PHILADELPHIA 76ERS,AWAY,DALLAS MAVERICKS,LOSS,2292,8,12,5,7,6,6,0,4,13,0,0,6,1,25.7,-21.0
embiijo01,Joel Embiid,PHILADELPHIA 76ERS,AWAY,DALLAS MAVERICKS,LOSS,2144,13,21,0,1,9,13,4,4,1,2,0,3,5,25.6,-16.0
hieldbu01,Buddy Hield,INDIANA PACERS,AWAY,SAN ANTONIO SPURS,LOSS,2043,12,17,2,3,1,1,0,4,4,3,0,2,3,23.7,-1.0
maxeyty01,Tyrese Maxey,PHILADELPHIA 76ERS,AWAY,DALLAS MAVERICKS,LOSS,2070,12,21,3,5,2,2,0,2,2,1,0,0,2,21.3,3.0
porzikr01,Kristaps Porziņģis,WASHINGTON WIZARDS,HOME,TORONTO RAPTORS,WIN,2151,8,12,2,4,7,7,1,4,2,1,2,4,4,19.9,7.0
kuzmaky01,Kyle Kuzma,WASHINGTON WIZARDS,HOME,TORONTO RAPTORS,WIN,2094,10,24,4,9,6,8,1,4,5,1,0,3,0,19.8,9.0
anunoog01,OG Anunoby,TORONTO RAPTORS,AWAY,WASHINGTON WIZARDS,LOSS,2280,9,16,4,9,4,4,1,2,2,2,1,3,3,19.6,7.0
meltode01,De'Anthony Melton,PHILADELPHIA 76ERS,AWAY,DALLAS MAVERICKS,LOSS,1834,3,7,2,6,4,4,1,6,6,5,0,0,2,19.2,2.0
