slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,plus_minus
davisan02,Anthony Davis,LOS ANGELES LAKERS,HOME,GOLDEN STATE WARRIORS,WIN,1981,7,10,0,0,11,12,0,13,3,3,4,3,2,28.4,28.0
jamesle01,LeBron James,LOS ANGELES LAKERS,HOME,GOLDEN STATE WARRIORS,WIN,1943,6,11,2,4,7,8,1,7,8,0,1,0,0,24.4,26.0
butleji01,Jimmy Butler,MIAMI HEAT,HOME,NEW YORK KNICKS,WIN,2136,9,21,0,2,10,11,2,2,3,0,2,2,1,19.6,9.0
wiggian01,Andrew Wiggins,GOLDEN STATE WARRIORS,AWAY,LOS ANGELES LAKERS,LOSS,1670,6,11,2,4,2,2,3,6,4,0,1,0,2,17.3,-16.0
brunsja01,Jalen Brunson,NEW YORK KNICKS,AWAY,MIAMI HEAT,LOSS,2253,7,20,0,5,6,6,1,5,8,0,0,0,3,15.4,-6.0
russeda01,D'Angelo Russell,LOS ANGELES LAKERS,HOME,GOLDEN STATE WARRIORS,WIN,1767,8,13,5,8,0,0,0,3,5,1,0,5,3,14.3,14.0
strusma01,Max Strus,MIAMI HEAT,HOME,NEW YORK KNICKS,WIN,1776,7,14,3,10,2,2,0,3,0,1,1,0,2,13.8,10.0
lowryky01,Kyle Lowry,MIAMI HEAT,HOME,NEW YORK KNICKS,WIN,1488,4,9,2,4,4,4,0,3,4,0,1,0,0,13.7,8.0
curryst01,Stephen Curry,GOLDEN STATE WARRIORS,AWAY,LOS ANGELES LAKERS,LOSS,1923,9,21,4,10,1,3,2,2,3,1,1,3,2,13.1,-26.0
adebaba01,Bam Adebayo,MIAMI HEAT,HOME,NEW YORK KNICKS,WIN,2157,7,14,0,0,3,4,4,8,0,0,1,1,4,12.9,11.0
hartjo01,Josh Hart,NEW YORK KNICKS,AWAY,MIAMI HEAT,LOSS,2297,5,12,2,6,3,5,1,11,2,1,0,2,2,11.4,-6.0
walkelo01,Lonnie Walker IV,LOS ANGELES LAKERS,HOME,GOLDEN STATE WARRIORS,WIN,1464,4,6,2,4,2,2,0,4,0,2,1,1,3,11.1,10.0
