slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,plus_minus
townska01,Karl-Anthony Towns,MINNESOTA TIMBERWOLVES,HOME,GOLDEN STATE WARRIORS,WIN,1926,14,22,3,6,8,11,0,9,1,0,0,2,2,28.6,10.0
tatumja01,Jayson Tatum,BOSTON CELTICS,HOME,ATLANTA HAWKS,WIN,2341,12,25,3,10,6,7,1,7,7,0,0,2,2,24.8,4.0
zubaciv01,Ivica Zubac,LOS ANGELES CLIPPERS,AWAY,HOUSTON ROCKETS,WIN,1475,8,12,0,0,6,7,7,5,2,1,1,2,3,22.7,13.0
curryst01,Stephen Curry,GOLDEN STATE WARRIORS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1993,10,24,5,16,9,9,1,4,4,0,0,4,1,21.5,-10.0
grantje01,Jerami Grant,DETROIT PISTONS,AWAY,WASHINGTON WIZARDS,LOSS,2141,9,17,3,5,5,5,0,3,4,1,1,1,2,21.3,6.0
trentga02,Gary Trent Jr.,TORONTO RAPTORS,HOME,BROOKLYN NETS,WIN,2343,6,17,3,9,9,9,1,1,7,1,0,0,1,21.0,20.0
brunsja01,Jalen Brunson,DALLAS MAVERICKS,AWAY,LOS ANGELES LAKERS,WIN,2029,9,15,4,6,0,0,0,2,4,4,0,1,2,20.7,7.0
youngtr01,Trae Young,ATLANTA HAWKS,AWAY,BOSTON CELTICS,LOSS,2236,12,25,2,7,5,6,0,2,6,0,0,2,1,20.3,-17.0
jamesle01,LeBron James,LOS ANGELES LAKERS,HOME,DALLAS MAVERICKS,LOSS,2292,10,18,3,7,3,5,0,12,5,1,0,4,2,19.9,7.0
bogdabo01,Bogdan Bogdanović,ATLANTA HAWKS,AWAY,BOSTON CELTICS,LOSS,2219,10,16,3,9,2,2,0,4,3,1,0,2,1,19.7,6.0
anthoca01,Carmelo Anthony,LOS ANGELES LAKERS,HOME,DALLAS MAVERICKS,LOSS,1852,6,11,3,6,5,5,0,3,1,3,1,0,4,18.4,-8.0
beaslma01,Malik Beasley,MINNESOTA TIMBERWOLVES,HOME,GOLDEN STATE WARRIORS,WIN,1652,7,11,6,9,0,0,0,4,2,1,0,0,2,17.9,8.0
barnesc01,Scottie Barnes,TORONTO RAPTORS,HOME,BROOKLYN NETS,WIN,2467,8,13,0,1,2,2,3,7,4,1,1,3,1,17.4,0.0
russeda01,D'Angelo Russell,MINNESOTA TIMBERWOLVES,HOME,GOLDEN STATE WARRIORS,WIN,1764,8,17,2,7,4,4,1,2,7,2,0,4,1,17.1,0.0
