slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,plus_minus
walkeke02,Kemba Walker,CHARLOTTE HORNETS,HOME,ORLANDO MAGIC,LOSS,2409,16,25,4,9,7,7,0,2,5,0,2,2,1,35.0,0.0
simonan01,Anfernee Simons,PORTLAND TRAIL BLAZERS,HOME,SACRAMENTO KINGS,WIN,2880,13,21,7,11,4,6,3,3,9,1,0,2,2,34.2,5.0
aldrila01,LaMarcus Aldridge,SAN ANTONIO SPURS,HOME,DALLAS MAVERICKS,WIN,2156,15,21,0,1,4,5,5,11,1,1,1,2,1,31.7,19.0
rosste01,Terrence Ross,ORLANDO MAGIC,AWAY,CHARLOTTE HORNETS,WIN,1791,12,19,6,10,5,5,2,4,2,1,0,1,1,30.1,15.0
leaftj01,T.J. Leaf,INDIANA PACERS,AWAY,ATLANTA HAWKS,WIN,2052,12,19,0,2,4,5,5,5,2,2,2,0,2,28.1,-1.0
allengr01,Grayson Allen,UTAH JAZZ,AWAY,LOS ANGELES CLIPPERS,LOSS,2443,11,30,5,13,13,14,2,5,4,1,1,3,1,27.0,-3.0
labissk01,Skal Labissière,PORTLAND TRAIL BLAZERS,HOME,SACRAMENTO KINGS,WIN,2435,12,17,2,2,3,4,4,11,1,2,1,2,5,27.0,-9.0
carteje01,Jevon Carter,MEMPHIS GRIZZLIES,HOME,GOLDEN STATE WARRIORS,WIN,1568,10,18,8,12,4,4,1,3,2,1,0,1,1,26.0,18.0
schrode01,Dennis Schröder,OKLAHOMA CITY THUNDER,AWAY,MILWAUKEE BUCKS,WIN,2391,10,21,8,15,4,4,0,5,3,4,0,2,5,24.9,14.0
collijo01,John Collins,ATLANTA HAWKS,HOME,INDIANA PACERS,LOSS,2149,8,15,1,2,3,4,9,16,6,0,1,3,2,24.5,9.0
fraziti01,Tim Frazier,MILWAUKEE BUCKS,HOME,OKLAHOMA CITY THUNDER,LOSS,2880,10,23,4,6,5,7,1,5,13,0,1,3,2,24.3,-11.0
harremo01,Montrezl Harrell,LOS ANGELES CLIPPERS,HOME,UTAH JAZZ,WIN,1249,10,13,0,0,4,6,3,4,5,0,1,2,1,23.2,11.0
westbru01,Russell Westbrook,OKLAHOMA CITY THUNDER,AWAY,MILWAUKEE BUCKS,WIN,2188,7,10,1,3,0,2,0,11,17,1,1,4,3,21.7,6.0
duranke01,Kevin Durant,GOLDEN STATE WARRIORS,AWAY,MEMPHIS GRIZZLIES,LOSS,1108,7,10,0,2,7,7,0,0,6,1,0,0,1,21.6,-9.0
zubaciv01,Ivica Zubac,LOS ANGELES CLIPPERS,HOME,UTAH JAZZ,WIN,1787,10,13,0,0,2,2,4,7,2,0,3,3,2,21.5,0.0
gordoaa01,Aaron Gordon,ORLANDO MAGIC,AWAY,CHARLOTTE HORNETS,WIN,1976,11,18,1,3,4,4,2,5,3,0,0,2,1,21.4,1.0
russeda01,D'Angelo Russell,BROOKLYN NETS,HOME,MIAMI HEAT,WIN,1206,7,13,7,11,0,0,2,5,5,1,0,1,0,21.1,27.0
