slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,plus_minus
duranke01,Kevin Durant,OKLAHOMA CITY THUNDER,HOME,SACRAMENTO KINGS,WIN,1926,10,15,3,5,7,9,1,5,9,4,2,3,1,33.2,23.0
thomais02,Isaiah Thomas,SACRAMENTO KINGS,AWAY,OKLAHOMA CITY THUNDER,LOSS,2346,11,18,4,8,12,13,0,1,6,0,0,1,2,32.1,-6.0
fryech01,Channing Frye,PHOENIX SUNS,HOME,DENVER NUGGETS,WIN,1676,12,16,5,7,1,2,1,4,1,1,3,1,4,26.3,-2.0
youngni01,Nick Young,LOS ANGELES LAKERS,AWAY,TORONTO RAPTORS,WIN,1831,7,13,5,7,10,11,0,2,1,0,0,0,2,22.8,7.0
millspa02,Patty Mills,SAN ANTONIO SPURS,HOME,MILWAUKEE BUCKS,WIN,1603,8,12,4,6,0,0,0,2,7,3,0,1,2,21.5,21.0
lowryky01,Kyle Lowry,TORONTO RAPTORS,HOME,LOS ANGELES LAKERS,LOSS,2101,8,13,3,7,2,2,0,2,9,0,1,3,2,18.9,-15.0
kellyry01,Ryan Kelly,LOS ANGELES LAKERS,AWAY,TORONTO RAPTORS,WIN,2222,5,7,1,2,6,6,0,5,2,2,0,1,0,18.0,18.0
lawsoty01,Ty Lawson,DENVER NUGGETS,AWAY,PHOENIX SUNS,LOSS,2433,6,14,0,3,5,6,1,3,14,1,0,3,4,17.0,-14.0
greenje02,Jeff Green,BOSTON CELTICS,AWAY,ORLANDO MAGIC,LOSS,2084,4,11,1,2,13,15,0,2,3,0,1,0,4,16.9,3.0
afflaar01,Arron Afflalo,ORLANDO MAGIC,HOME,BOSTON CELTICS,WIN,2610,7,16,2,3,4,5,2,11,6,0,0,3,2,16.3,-2.0
ibakase01,Serge Ibaka,OKLAHOMA CITY THUNDER,HOME,SACRAMENTO KINGS,WIN,1718,9,13,0,0,2,3,3,3,0,0,2,2,2,15.7,13.0
humphkr01,Kris Humphries,BOSTON CELTICS,AWAY,ORLANDO MAGIC,LOSS,1715,8,15,0,0,2,2,5,7,0,0,2,1,3,15.5,11.0
derozde01,DeMar DeRozan,TORONTO RAPTORS,HOME,LOS ANGELES LAKERS,LOSS,2492,10,24,0,3,3,4,0,6,7,1,0,1,4,14.9,-13.0
pattepa01,Patrick Patterson,TORONTO RAPTORS,HOME,LOS ANGELES LAKERS,LOSS,1752,7,12,2,4,1,2,3,4,1,1,1,1,3,14.5,4.0
randoan01,Anthony Randolph,DENVER NUGGETS,AWAY,PHOENIX SUNS,LOSS,1340,6,9,2,4,5,6,0,3,0,1,0,1,3,14.4,-4.0
vasqugr01,Greivis Vásquez,TORONTO RAPTORS,HOME,LOS ANGELES LAKERS,LOSS,1259,5,11,1,5,0,0,2,3,8,1,0,0,0,14.2,15.0
gasolpa01,Pau Gasol,LOS ANGELES LAKERS,AWAY,TORONTO RAPTORS,WIN,2174,8,20,0,0,6,6,1,8,0,0,1,1,0,14.0,26.0
duncati01,Tim Duncan,SAN ANTONIO SPURS,HOME,MILWAUKEE BUCKS,WIN,1665,4,7,0,0,3,7,1,12,2,0,3,0,1,13.5,14.0
davisgl01,Glen Davis,ORLANDO MAGIC,HOME,BOSTON CELTICS,WIN,2150,8,16,0,0,1,1,3,4,0,1,0,0,0,13.3,9.0
