slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,plus_minus
ellismo01,Monta Ellis,DALLAS MAVERICKS,HOME,HOUSTON ROCKETS,WIN,2417,13,18,2,4,9,12,0,2,9,2,0,3,4,32.7,2.0
nowitdi01,Dirk Nowitzki,DALLAS MAVERICKS,HOME,HOUSTON ROCKETS,WIN,2018,13,20,2,5,7,7,1,6,4,1,1,1,3,31.0,6.0
georgpa01,Paul George,INDIANA PACERS,AWAY,NEW YORK KNICKS,WIN,2930,12,26,2,7,9,12,0,5,4,5,2,1,3,28.9,6.0
howardw01,Dwight Howard,HOUSTON ROCKETS,AWAY,DALLAS MAVERICKS,LOSS,2175,12,16,0,0,9,13,3,8,1,0,0,1,3,28.0,1.0
parsoch01,Chandler Parsons,HOUSTON ROCKETS,AWAY,DALLAS MAVERICKS,LOSS,2271,7,10,4,5,3,4,1,4,11,4,0,2,3,26.8,5.0
davisan02,Anthony Davis,NEW ORLEANS PELICANS,HOME,UTAH JAZZ,WIN,2236,9,12,0,0,4,6,1,8,4,0,8,1,4,25.3,0.0
hawessp01,Spencer Hawes,PHILADELPHIA 76ERS,HOME,TORONTO RAPTORS,LOSS,2221,10,13,3,4,5,6,2,8,3,0,1,2,5,25.1,-9.0
walkeke02,Kemba Walker,CHARLOTTE BOBCATS,HOME,BROOKLYN NETS,WIN,2110,12,20,4,7,3,4,2,3,2,1,1,2,1,24.4,10.0
dragigo01,Goran Dragić,PHOENIX SUNS,HOME,SACRAMENTO KINGS,LOSS,2132,10,20,3,6,8,9,1,1,5,1,0,1,4,23.5,-2.0
irvinky01,Kyrie Irving,CLEVELAND CAVALIERS,HOME,WASHINGTON WIZARDS,LOSS,1778,9,14,3,4,7,7,0,0,6,1,0,3,3,22.8,-20.0
hilarne01,Nenê,WASHINGTON WIZARDS,AWAY,CLEVELAND CAVALIERS,WIN,2265,10,16,0,0,4,4,1,7,6,1,1,1,5,22.5,15.0
derozde01,DeMar DeRozan,TORONTO RAPTORS,AWAY,PHILADELPHIA 76ERS,WIN,2297,10,19,3,5,10,12,0,3,0,0,1,1,3,22.3,4.0
martike02,Kevin Martin,MINNESOTA TIMBERWOLVES,HOME,LOS ANGELES CLIPPERS,LOSS,2048,11,21,3,4,3,3,2,8,4,1,0,2,3,22.1,-4.0
paulch01,Chris Paul,LOS ANGELES CLIPPERS,AWAY,MINNESOTA TIMBERWOLVES,WIN,2116,8,16,2,5,2,3,1,5,11,4,0,3,1,22.1,3.0
blatcan01,Andray Blatche,BROOKLYN NETS,AWAY,CHARLOTTE BOBCATS,LOSS,1732,11,14,0,1,3,4,4,3,1,1,0,2,2,21.8,-7.0
afflaar01,Arron Afflalo,ORLANDO MAGIC,HOME,MIAMI HEAT,LOSS,2095,9,16,7,9,5,5,0,2,2,0,1,3,2,21.3,-28.0
anthoca01,Carmelo Anthony,NEW YORK KNICKS,HOME,INDIANA PACERS,LOSS,2509,10,28,0,3,10,10,9,9,3,0,2,4,4,21.3,-4.0
jamesle01,LeBron James,MIAMI HEAT,AWAY,ORLANDO MAGIC,WIN,1745,5,11,0,2,11,11,1,5,7,1,1,4,0,20.1,23.0
thomais02,Isaiah Thomas,SACRAMENTO KINGS,AWAY,PHOENIX SUNS,WIN,1648,8,13,1,2,6,7,2,1,4,2,0,2,5,19.2,-2.0
hardeja01,James Harden,HOUSTON ROCKETS,AWAY,DALLAS MAVERICKS,LOSS,2554,6,14,2,8,9,11,0,1,8,0,0,1,4,18.1,3.0
leonaka01,Kawhi Leonard,SAN ANTONIO SPURS,HOME,BOSTON CELTICS,WIN,1905,7,14,1,5,1,2,2,6,2,5,1,0,2,18.1,4.0
rosste01,Terrence Ross,TORONTO RAPTORS,AWAY,PHILADELPHIA 76ERS,WIN,1929,7,11,3,4,0,0,3,4,2,1,1,0,1,18.1,11.0
gasolma01,Marc Gasol,MEMPHIS GRIZZLIES,AWAY,GOLDEN STATE WARRIORS,WIN,2316,6,14,0,0,6,6,4,7,4,1,4,3,3,17.9,3.0
anderry01,Ryan Anderson,NEW ORLEANS PELICANS,HOME,UTAH JAZZ,WIN,1983,6,9,4,6,3,3,2,3,0,0,1,1,1,16.7,18.0
bealbr01,Bradley Beal,WASHINGTON WIZARDS,AWAY,CLEVELAND CAVALIERS,WIN,2446,9,20,6,7,2,2,3,4,7,0,0,6,3,16.6,-2.0
parketo01,Tony Parker,SAN ANTONIO SPURS,HOME,BOSTON CELTICS,WIN,1684,6,11,0,0,7,8,0,4,4,0,0,1,0,16.3,8.0
pekovni01,Nikola Peković,MINNESOTA TIMBERWOLVES,HOME,LOS ANGELES CLIPPERS,LOSS,1918,9,13,0,0,2,2,1,6,0,0,1,1,2,15.9,-2.0
boshch01,Chris Bosh,MIAMI HEAT,AWAY,ORLANDO MAGIC,WIN,1439,7,10,1,2,3,4,2,3,0,2,1,2,2,15.6,27.0
hillge01,George Hill,INDIANA PACERS,AWAY,NEW YORK KNICKS,WIN,2605,7,18,4,10,5,8,2,6,3,0,1,2,1,15.6,8.0
carrode01,DeMarre Carroll,ATLANTA HAWKS,HOME,DETROIT PISTONS,WIN,2156,3,6,1,3,4,6,0,12,3,2,2,0,2,15.5,17.0
griffbl01,Blake Griffin,LOS ANGELES CLIPPERS,AWAY,MINNESOTA TIMBERWOLVES,WIN,2299,10,19,0,0,0,0,1,9,2,2,2,2,4,15.3,2.0
walljo01,John Wall,WASHINGTON WIZARDS,AWAY,CLEVELAND CAVALIERS,WIN,2448,6,16,0,1,3,3,0,4,10,4,0,3,1,15.0,13.0
aldrila01,LaMarcus Aldridge,PORTLAND TRAIL BLAZERS,AWAY,MILWAUKEE BUCKS,WIN,2111,10,22,0,1,1,2,3,4,3,2,1,2,1,14.9,6.0
conlemi01,Mike Conley,MEMPHIS GRIZZLIES,AWAY,GOLDEN STATE WARRIORS,WIN,2329,8,19,1,4,2,2,3,3,4,1,0,0,2,14.9,8.0
kanteen01,Enes Freedom,UTAH JAZZ,AWAY,NEW ORLEANS PELICANS,LOSS,1907,8,13,0,0,3,6,1,8,1,0,1,0,4,14.8,4.0
