slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,plus_minus
mozgoti01,Timofey Mozgov,DENVER NUGGETS,AWAY,GOLDEN STATE WARRIORS,WIN,2565,10,15,0,2,3,4,9,20,3,1,3,2,3,30.4,-2.0
curryst01,Stephen Curry,GOLDEN STATE WARRIORS,HOME,DENVER NUGGETS,LOSS,2012,8,19,2,7,6,6,0,7,6,4,0,2,1,21.8,-3.0
duncati01,Tim Duncan,SAN ANTONIO SPURS,AWAY,DALLAS MAVERICKS,WIN,2357,7,12,0,0,6,9,4,11,2,1,1,3,3,18.2,-4.0
millspa02,Patty Mills,SAN ANTONIO SPURS,AWAY,DALLAS MAVERICKS,WIN,2139,9,25,6,11,2,2,0,2,6,2,0,0,2,18.1,26.0
leonaka01,Kawhi Leonard,SAN ANTONIO SPURS,AWAY,DALLAS MAVERICKS,WIN,2217,5,14,2,6,4,5,6,10,5,2,0,2,2,17.7,10.0
nowitdi01,Dirk Nowitzki,DALLAS MAVERICKS,HOME,SAN ANTONIO SPURS,LOSS,2051,8,14,0,0,3,5,0,6,1,1,0,0,1,14.7,-10.0
ellismo01,Monta Ellis,DALLAS MAVERICKS,HOME,SAN ANTONIO SPURS,LOSS,2268,10,22,0,1,4,4,0,4,4,1,0,2,3,14.4,-8.0
foyera01,Randy Foye,DENVER NUGGETS,AWAY,GOLDEN STATE WARRIORS,WIN,2336,7,23,4,13,2,2,3,4,7,1,1,2,2,13.8,-4.0
greenda02,Danny Green,SAN ANTONIO SPURS,AWAY,DALLAS MAVERICKS,WIN,1343,5,9,5,9,0,0,0,5,1,1,0,0,1,13.5,13.0
farieke01,Kenneth Faried,DENVER NUGGETS,AWAY,GOLDEN STATE WARRIORS,WIN,1974,8,18,0,0,2,7,8,9,1,1,0,6,0,10.6,-3.0
barneha02,Harrison Barnes,GOLDEN STATE WARRIORS,HOME,DENVER NUGGETS,LOSS,1772,4,7,1,2,0,0,0,5,2,1,1,0,1,9.9,-7.0
thompkl01,Klay Thompson,GOLDEN STATE WARRIORS,HOME,DENVER NUGGETS,LOSS,1814,8,19,3,6,2,2,1,1,1,0,0,2,2,9.8,-6.0
mariosh01,Shawn Marion,DALLAS MAVERICKS,HOME,SAN ANTONIO SPURS,LOSS,1767,5,7,2,3,0,0,0,3,1,0,2,2,2,9.3,-17.0
caldejo01,José Calderón,DALLAS MAVERICKS,HOME,SAN ANTONIO SPURS,LOSS,1674,5,11,2,3,2,2,0,3,1,0,0,2,0,7.9,-22.0
ginobma01,Manu Ginóbili,SAN ANTONIO SPURS,AWAY,DALLAS MAVERICKS,WIN,1717,4,8,2,4,0,0,0,2,7,2,0,5,2,7.7,-6.0
splitti01,Tiago Splitter,SAN ANTONIO SPURS,AWAY,DALLAS MAVERICKS,WIN,1686,6,10,0,0,0,0,2,1,1,0,0,1,3,7.6,39.0
harride01,Devin Harris,DALLAS MAVERICKS,HOME,SAN ANTONIO SPURS,LOSS,1630,1,8,1,5,5,6,0,2,4,3,1,2,0,7.5,22.0
iguodan01,Andre Iguodala,GOLDEN STATE WARRIORS,HOME,DENVER NUGGETS,LOSS,1614,2,6,0,3,2,2,1,3,3,2,0,0,2,7.5,0.0
onealje01,Jermaine O'Neal,GOLDEN STATE WARRIORS,HOME,DENVER NUGGETS,LOSS,1292,5,8,0,0,2,2,0,5,1,0,1,3,2,7.5,2.0
crawfjo02,Jordan Crawford,GOLDEN STATE WARRIORS,HOME,DENVER NUGGETS,LOSS,940,5,10,0,3,0,0,1,1,1,1,0,0,1,7.3,6.0
veselja01,Jan Veselý,DENVER NUGGETS,AWAY,GOLDEN STATE WARRIORS,WIN,784,2,2,0,0,2,2,2,1,0,1,1,0,6,6.4,12.0
wrighbr03,Brandan Wright,DALLAS MAVERICKS,HOME,SAN ANTONIO SPURS,LOSS,1029,4,6,0,0,0,0,2,1,0,0,0,1,1,5.7,1.0
bogutan01,Andrew Bogut,GOLDEN STATE WARRIORS,HOME,DENVER NUGGETS,LOSS,1601,2,4,0,0,0,0,3,5,1,0,2,1,3,5.5,4.0
cartevi01,Vince Carter,DALLAS MAVERICKS,HOME,SAN ANTONIO SPURS,LOSS,1627,2,5,0,0,2,2,0,4,2,0,1,0,3,5.4,2.0
dalemsa01,Samuel Dalembert,DALLAS MAVERICKS,HOME,SAN ANTONIO SPURS,LOSS,1198,1,5,0,0,0,0,4,7,1,0,1,0,2,4.4,-23.0
brookaa01,Aaron Brooks,DENVER NUGGETS,AWAY,GOLDEN STATE WARRIORS,WIN,2368,3,14,0,3,2,2,1,1,7,1,0,2,0,4.3,-5.0
fournev01,Evan Fournier,DENVER NUGGETS,AWAY,GOLDEN STATE WARRIORS,WIN,1699,3,11,2,6,1,2,1,1,4,2,0,3,2,4.1,9.0
blairde01,DeJuan Blair,DALLAS MAVERICKS,HOME,SAN ANTONIO SPURS,LOSS,506,2,3,0,0,1,2,2,2,1,0,0,1,4,3.4,8.0
speigma01,Marreese Speights,GOLDEN STATE WARRIORS,HOME,DENVER NUGGETS,LOSS,937,4,9,0,0,1,3,0,2,0,0,0,0,2,3.3,1.0
millequ01,Quincy Miller,DENVER NUGGETS,AWAY,GOLDEN STATE WARRIORS,WIN,1460,2,6,2,6,0,0,0,2,1,1,0,1,3,2.7,-10.0
josepco01,Cory Joseph,SAN ANTONIO SPURS,AWAY,DALLAS MAVERICKS,WIN,496,0,0,0,0,3,4,0,1,0,0,0,0,2,2.1,-15.0
arthuda01,Darrell Arthur,DENVER NUGGETS,AWAY,GOLDEN STATE WARRIORS,WIN,1214,4,15,2,4,0,0,1,0,0,1,0,0,2,2.0,8.0
belinma01,Marco Belinelli,SAN ANTONIO SPURS,AWAY,DALLAS MAVERICKS,WIN,1209,2,7,1,4,2,2,1,0,0,0,0,0,4,2.0,-3.0
larkish01,Shane Larkin,DALLAS MAVERICKS,HOME,SAN ANTONIO SPURS,LOSS,32,1,1,0,0,0,0,0,0,0,0,0,0,1,1.3,0.0
crowdja01,Jae Crowder,DALLAS MAVERICKS,HOME,SAN ANTONIO SPURS,LOSS,554,0,1,0,0,0,0,0,2,1,0,0,0,0,0.6,2.0
greendr01,Draymond Green,GOLDEN STATE WARRIORS,HOME,DENVER NUGGETS,LOSS,1452,2,5,0,1,0,0,0,2,2,1,0,3,3,0.1,-4.0
pendeje02,Jeff Ayres,SAN ANTONIO SPURS,AWAY,DALLAS MAVERICKS,WIN,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
dayeau01,Austin Daye,SAN ANTONIO SPURS,AWAY,DALLAS MAVERICKS,WIN,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
ellinwa01,Wayne Ellington,DALLAS MAVERICKS,HOME,SAN ANTONIO SPURS,LOSS,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
jamesbe01,Bernard James,DALLAS MAVERICKS,HOME,SAN ANTONIO SPURS,LOSS,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
blakest01,Steve Blake,GOLDEN STATE WARRIORS,HOME,DENVER NUGGETS,LOSS,966,0,1,0,1,0,0,0,1,2,0,0,2,0,-1.0,2.0
diawbo01,Boris Diaw,SAN ANTONIO SPURS,AWAY,DALLAS MAVERICKS,WIN,1172,0,3,0,0,0,0,2,1,0,1,0,1,3,-1.6,-15.0
