slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,plus_minus
westbru01,Russell Westbrook,WASHINGTON WIZARDS,AWAY,DALLAS MAVERICKS,LOSS,2412,17,30,3,6,5,7,2,8,9,2,0,2,4,35.5,-3.0
doncilu01,Luka Dončić,DALLAS MAVERICKS,HOME,WASHINGTON WIZARDS,WIN,2353,12,23,1,6,6,11,2,10,20,0,0,1,4,33.5,6.0
willizi01,Zion Williamson,NEW ORLEANS PELICANS,AWAY,MINNESOTA TIMBERWOLVES,WIN,2514,14,17,0,0,9,15,3,6,8,1,1,7,1,32.1,14.0
sabondo01,Domantas Sabonis,INDIANA PACERS,AWAY,OKLAHOMA CITY THUNDER,WIN,1770,10,13,2,3,4,6,0,19,14,1,0,5,2,30.8,49.0
jokicni01,Nikola Jokić,DENVER NUGGETS,AWAY,LOS ANGELES CLIPPERS,WIN,2002,9,17,2,6,10,10,2,12,7,0,1,0,4,30.7,-3.0
youngtr01,Trae Young,ATLANTA HAWKS,HOME,CHICAGO BULLS,WIN,2148,9,14,4,8,11,12,0,3,7,2,0,4,2,29.4,15.0
balllo01,Lonzo Ball,NEW ORLEANS PELICANS,AWAY,MINNESOTA TIMBERWOLVES,WIN,2399,10,21,8,17,5,6,0,11,8,3,0,5,1,28.4,3.0
mcderdo01,Doug McDermott,INDIANA PACERS,AWAY,OKLAHOMA CITY THUNDER,WIN,1619,11,14,6,8,3,4,0,1,1,1,0,0,2,26.4,42.0
bridgmi02,Miles Bridges,CHARLOTTE HORNETS,HOME,DETROIT PISTONS,WIN,2141,11,16,1,5,4,4,2,5,4,1,1,1,1,26.2,5.0
vanvlfr01,Fred VanVleet,TORONTO RAPTORS,AWAY,UTAH JAZZ,LOSS,2388,11,25,4,11,4,4,2,4,7,2,0,0,1,26.0,0.0
bogdabo02,Bojan Bogdanović,UTAH JAZZ,HOME,TORONTO RAPTORS,WIN,2317,12,22,6,11,4,4,1,3,4,0,0,3,1,24.4,0.0
youngth01,Thaddeus Young,CHICAGO BULLS,AWAY,ATLANTA HAWKS,LOSS,1978,10,12,0,0,0,0,3,4,9,2,0,2,4,23.6,-15.0
leverca01,Caris LeVert,INDIANA PACERS,AWAY,OKLAHOMA CITY THUNDER,WIN,1620,9,15,4,6,3,3,0,1,6,1,2,1,3,22.8,47.0
roziete01,Terry Rozier,CHARLOTTE HORNETS,HOME,DETROIT PISTONS,WIN,2262,10,23,8,15,1,2,3,4,4,0,1,1,1,21.9,29.0
anthoco01,Cole Anthony,ORLANDO MAGIC,HOME,MEMPHIS GRIZZLIES,WIN,2132,6,15,4,6,10,11,1,7,6,3,0,5,2,21.7,2.0
townska01,Karl-Anthony Towns,MINNESOTA TIMBERWOLVES,HOME,NEW ORLEANS PELICANS,LOSS,2203,8,19,4,9,8,8,1,13,3,3,0,4,6,21.2,-6.0
bacondw01,Dwayne Bacon,ORLANDO MAGIC,HOME,MEMPHIS GRIZZLIES,WIN,2151,9,15,0,4,5,5,0,2,2,3,0,0,0,21.1,-5.0
sextoco01,Collin Sexton,CLEVELAND CAVALIERS,HOME,MIAMI HEAT,LOSS,2330,8,20,4,6,5,8,3,1,8,2,1,2,3,20.5,-21.0
portemi01,Michael Porter Jr.,DENVER NUGGETS,AWAY,LOS ANGELES CLIPPERS,WIN,2211,10,16,4,7,1,1,0,7,5,0,0,2,4,19.8,-7.0
