slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,plus_minus
jokicni01,Nikola Jokić,DENVER NUGGETS,HOME,PHOENIX SUNS,WIN,1843,11,11,3,3,10,11,0,11,11,4,1,0,3,45.8,29.0
vucevni01,Nikola Vučević,ORLANDO MAGIC,AWAY,PHILADELPHIA 76ERS,LOSS,2255,10,15,4,4,3,3,4,9,12,2,0,2,2,33.6,12.0
griffbl01,Blake Griffin,DETROIT PISTONS,AWAY,CHICAGO BULLS,WIN,2074,12,23,5,7,4,6,4,8,5,0,1,0,1,29.9,17.0
lillada01,Damian Lillard,PORTLAND TRAIL BLAZERS,HOME,SAN ANTONIO SPURS,WIN,1816,9,15,3,6,8,8,0,2,9,0,0,0,0,29.0,18.0
hardeja01,James Harden,HOUSTON ROCKETS,AWAY,LOS ANGELES LAKERS,WIN,2270,10,19,5,10,11,15,1,6,5,2,1,6,2,27.0,-3.0
jordade01,DeAndre Jordan,DALLAS MAVERICKS,HOME,MINNESOTA TIMBERWOLVES,WIN,1905,8,10,0,0,6,7,4,6,1,2,5,1,2,26.8,2.0
paulch01,Chris Paul,HOUSTON ROCKETS,AWAY,LOS ANGELES LAKERS,WIN,1780,9,17,3,6,7,9,2,5,10,1,0,3,2,26.0,13.0
townska01,Karl-Anthony Towns,MINNESOTA TIMBERWOLVES,AWAY,DALLAS MAVERICKS,LOSS,2016,9,16,4,6,9,10,1,4,2,1,1,0,5,26.0,-5.0
redicjj01,JJ Redick,PHILADELPHIA 76ERS,HOME,ORLANDO MAGIC,WIN,1937,10,20,8,13,3,3,0,4,4,1,0,0,1,25.6,16.0
bealbr01,Bradley Beal,WASHINGTON WIZARDS,HOME,TORONTO RAPTORS,LOSS,2114,12,21,6,11,2,4,0,3,6,1,1,1,5,25.1,3.0
embiijo01,Joel Embiid,PHILADELPHIA 76ERS,HOME,ORLANDO MAGIC,WIN,2021,13,26,3,5,3,4,4,6,3,0,0,0,2,24.5,-8.0
walkeke02,Kemba Walker,CHARLOTTE HORNETS,AWAY,MIAMI HEAT,WIN,2402,14,31,7,15,4,7,0,5,7,0,0,2,4,24.5,1.0
lowryky01,Kyle Lowry,TORONTO RAPTORS,AWAY,WASHINGTON WIZARDS,WIN,2086,10,21,4,9,4,4,1,2,12,1,1,4,1,24.3,1.0
derozde01,DeMar DeRozan,SAN ANTONIO SPURS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,2062,11,22,0,1,6,6,1,2,9,2,0,2,3,23.4,-12.0
lavinza01,Zach LaVine,CHICAGO BULLS,HOME,DETROIT PISTONS,LOSS,2217,12,21,2,6,7,9,0,3,3,0,0,2,3,22.1,-14.0
fournev01,Evan Fournier,ORLANDO MAGIC,AWAY,PHILADELPHIA 76ERS,LOSS,2020,12,23,6,10,1,1,0,4,3,1,0,1,3,21.8,19.0
rosede01,Derrick Rose,MINNESOTA TIMBERWOLVES,AWAY,DALLAS MAVERICKS,LOSS,1943,11,21,2,5,4,6,2,3,5,2,1,3,3,21.2,-10.0
walljo01,John Wall,WASHINGTON WIZARDS,HOME,TORONTO RAPTORS,LOSS,2063,7,16,0,4,11,13,2,2,6,4,1,4,4,21.1,2.0
holidju01,Justin Holiday,CHICAGO BULLS,HOME,DETROIT PISTONS,LOSS,2253,6,8,2,3,5,5,0,6,2,2,0,0,1,20.6,10.0
murraja01,Jamal Murray,DENVER NUGGETS,HOME,PHOENIX SUNS,WIN,2229,9,18,3,7,5,5,0,3,5,2,1,3,2,20.3,37.0
oladivi01,Victor Oladipo,INDIANA PACERS,HOME,BROOKLYN NETS,WIN,1974,10,20,3,6,2,6,1,6,3,4,0,3,1,18.6,27.0
tatumja01,Jayson Tatum,BOSTON CELTICS,AWAY,NEW YORK KNICKS,WIN,2111,8,15,2,3,6,6,1,13,0,2,0,4,2,18.5,19.0
gordoaa01,Aaron Gordon,ORLANDO MAGIC,AWAY,PHILADELPHIA 76ERS,LOSS,1927,7,12,0,1,6,9,4,8,3,1,3,4,3,18.4,12.0
jamesle01,LeBron James,LOS ANGELES LAKERS,HOME,HOUSTON ROCKETS,LOSS,2332,9,22,1,7,5,7,0,5,5,2,1,1,0,18.1,-13.0
rondora01,Rajon Rondo,LOS ANGELES LAKERS,HOME,HOUSTON ROCKETS,LOSS,1782,6,8,1,2,0,0,1,6,10,2,0,2,3,18.1,8.0
teaguje01,Jeff Teague,MINNESOTA TIMBERWOLVES,AWAY,DALLAS MAVERICKS,LOSS,2047,6,14,2,3,8,8,0,2,9,1,0,4,2,17.7,-7.0
mcgruro01,Rodney McGruder,MIAMI HEAT,HOME,CHARLOTTE HORNETS,LOSS,2491,7,11,4,6,1,2,2,8,2,2,1,3,3,17.4,-1.0
doncilu01,Luka Dončić,DALLAS MAVERICKS,HOME,MINNESOTA TIMBERWOLVES,WIN,2174,8,16,4,9,6,9,1,5,3,2,1,6,3,16.6,6.0
leverca01,Caris LeVert,BROOKLYN NETS,AWAY,INDIANA PACERS,LOSS,1657,8,9,2,3,1,2,0,4,3,2,1,4,3,16.3,-20.0
mccolcj01,CJ McCollum,PORTLAND TRAIL BLAZERS,HOME,SAN ANTONIO SPURS,WIN,1816,9,15,4,7,2,3,0,2,2,0,0,2,1,16.3,18.0
bareajo01,J.J. Barea,DALLAS MAVERICKS,HOME,MINNESOTA TIMBERWOLVES,WIN,1297,4,10,2,6,2,2,1,0,11,2,0,0,2,16.2,4.0
poweldw01,Dwight Powell,DALLAS MAVERICKS,HOME,MINNESOTA TIMBERWOLVES,WIN,1011,6,7,1,2,6,8,2,4,2,0,1,3,3,16.2,-2.0
dragigo01,Goran Dragić,MIAMI HEAT,HOME,CHARLOTTE HORNETS,LOSS,2323,7,17,2,6,4,5,1,3,7,0,0,1,1,15.6,9.0
turnemy01,Myles Turner,INDIANA PACERS,HOME,BROOKLYN NETS,WIN,1593,4,7,1,1,5,6,1,7,2,1,1,0,2,15.4,11.0
harriga01,Gary Harris,DENVER NUGGETS,HOME,PHOENIX SUNS,WIN,2109,7,15,1,4,3,4,0,5,4,2,1,1,2,15.1,37.0
harrijo01,Joe Harris,BROOKLYN NETS,AWAY,INDIANA PACERS,LOSS,1891,6,11,5,6,2,3,1,1,3,0,1,1,3,14.9,-11.0
bookede01,Devin Booker,PHOENIX SUNS,AWAY,DENVER NUGGETS,LOSS,2187,5,15,1,6,14,17,0,2,7,1,0,6,3,14.6,-24.0
jacksre01,Reggie Jackson,DETROIT PISTONS,AWAY,CHICAGO BULLS,WIN,1684,4,9,4,7,6,6,1,0,6,0,0,2,4,14.6,4.0
mcgeeja01,JaVale McGee,LOS ANGELES LAKERS,HOME,HOUSTON ROCKETS,LOSS,1191,7,11,0,0,2,3,2,4,2,0,5,2,4,14.6,7.0
aldrila01,LaMarcus Aldridge,SAN ANTONIO SPURS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,2204,6,13,0,1,0,1,5,3,5,1,1,0,0,14.5,-18.0
kanteen01,Enes Freedom,NEW YORK KNICKS,HOME,BOSTON CELTICS,LOSS,1868,8,15,1,2,0,0,5,10,2,2,0,3,6,14.2,-6.0
smithde03,Dennis Smith Jr.,DALLAS MAVERICKS,HOME,MINNESOTA TIMBERWOLVES,WIN,1583,7,14,1,6,4,5,0,3,6,0,0,1,4,14.1,0.0
oquinky01,Kyle O'Quinn,INDIANA PACERS,HOME,BROOKLYN NETS,WIN,1116,7,12,0,0,2,2,5,3,1,1,2,3,3,13.7,15.0
valanjo01,Jonas Valančiūnas,TORONTO RAPTORS,AWAY,WASHINGTON WIZARDS,WIN,1130,5,8,0,0,6,7,2,5,1,0,1,1,4,13.7,5.0
wadedw01,Dwyane Wade,MIAMI HEAT,HOME,CHARLOTTE HORNETS,LOSS,1481,9,15,2,6,1,2,1,2,3,0,2,3,5,13.5,4.0
balllo01,Lonzo Ball,LOS ANGELES LAKERS,HOME,HOUSTON ROCKETS,LOSS,1576,5,10,4,8,0,0,1,5,4,0,0,0,2,13.2,-11.0
bartowi01,Will Barton,DENVER NUGGETS,HOME,PHOENIX SUNS,WIN,1153,6,9,2,4,0,0,0,5,4,1,0,1,3,13.2,22.0
millspa01,Paul Millsap,DENVER NUGGETS,HOME,PHOENIX SUNS,WIN,1927,5,10,0,1,4,4,4,6,2,1,2,3,3,13.2,38.0
evansty01,Tyreke Evans,INDIANA PACERS,HOME,BROOKLYN NETS,WIN,1311,6,12,1,2,2,4,1,2,2,3,1,0,4,13.0,14.0
payneca01,Cameron Payne,CHICAGO BULLS,HOME,DETROIT PISTONS,LOSS,1701,6,12,0,3,5,5,1,2,4,0,0,1,3,12.9,2.0
greenge01,Gerald Green,HOUSTON ROCKETS,AWAY,LOS ANGELES LAKERS,WIN,1071,5,6,3,4,0,0,1,1,0,1,0,0,0,12.8,11.0
forbebr01,Bryn Forbes,SAN ANTONIO SPURS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1631,6,13,5,8,0,0,0,2,3,0,0,0,1,12.6,-16.0
ibakase01,Serge Ibaka,TORONTO RAPTORS,AWAY,WASHINGTON WIZARDS,WIN,1649,4,10,0,1,8,10,3,6,0,1,1,2,2,12.6,1.0
capelca01,Clint Capela,HOUSTON ROCKETS,AWAY,LOS ANGELES LAKERS,WIN,2019,9,16,0,0,1,3,2,10,0,0,1,2,3,12.5,4.0
canaais01,Isaiah Canaan,PHOENIX SUNS,AWAY,DENVER NUGGETS,LOSS,1795,5,8,3,5,2,3,2,2,2,1,0,2,3,12.2,-10.0
saricda01,Dario Šarić,PHILADELPHIA 76ERS,HOME,ORLANDO MAGIC,WIN,2254,4,12,3,7,2,2,3,6,5,1,1,2,3,12.1,-11.0
bridgmi01,Mikal Bridges,PHOENIX SUNS,AWAY,DENVER NUGGETS,LOSS,888,4,6,2,4,0,1,1,3,2,2,0,0,0,12.0,21.0
collida01,Darren Collison,INDIANA PACERS,HOME,BROOKLYN NETS,WIN,1373,5,8,2,4,1,2,1,1,3,1,0,0,3,11.9,12.0
hardati02,Tim Hardaway Jr.,NEW YORK KNICKS,HOME,BOSTON CELTICS,LOSS,2244,8,21,5,11,3,3,0,3,3,1,0,3,4,11.9,-2.0
wiggian01,Andrew Wiggins,MINNESOTA TIMBERWOLVES,AWAY,DALLAS MAVERICKS,LOSS,1637,5,9,2,4,7,9,0,3,2,1,0,3,6,11.8,8.0
josepco01,Cory Joseph,INDIANA PACERS,HOME,BROOKLYN NETS,WIN,1510,5,7,2,2,0,0,0,3,6,0,0,2,2,11.4,14.0
morrima02,Markieff Morris,WASHINGTON WIZARDS,HOME,TORONTO RAPTORS,LOSS,1865,3,6,1,2,3,3,0,7,3,2,2,2,3,11.4,5.0
mcderdo01,Doug McDermott,INDIANA PACERS,HOME,BROOKLYN NETS,WIN,1553,4,5,4,5,0,0,0,3,1,0,0,0,1,11.3,19.0
warretj01,T.J. Warren,PHOENIX SUNS,AWAY,DENVER NUGGETS,LOSS,1331,7,12,2,5,0,0,2,1,1,0,1,1,3,11.3,-16.0
whiteha01,Hassan Whiteside,MIAMI HEAT,HOME,CHARLOTTE HORNETS,LOSS,1490,3,6,0,0,5,8,3,12,0,0,2,1,4,11.3,14.0
zelleco01,Cody Zeller,CHARLOTTE HORNETS,AWAY,MIAMI HEAT,WIN,1472,5,7,0,0,1,1,4,4,2,1,0,2,3,11.3,11.0
burketr01,Trey Burke,NEW YORK KNICKS,HOME,BOSTON CELTICS,LOSS,1827,5,12,0,4,1,3,0,3,9,2,0,1,2,11.2,3.0
bogdabo02,Bojan Bogdanović,INDIANA PACERS,HOME,BROOKLYN NETS,WIN,1647,5,8,3,3,2,2,0,2,0,0,0,1,0,11.0,6.0
lambje01,Jeremy Lamb,CHARLOTTE HORNETS,AWAY,MIAMI HEAT,WIN,1686,4,12,2,6,2,2,1,4,4,3,2,1,6,10.9,10.0
monkma01,Malik Monk,CHARLOTTE HORNETS,AWAY,MIAMI HEAT,WIN,1512,5,11,3,8,2,2,0,1,1,1,0,0,1,10.9,-1.0
smithis01,Ish Smith,DETROIT PISTONS,AWAY,CHICAGO BULLS,WIN,1670,6,11,3,5,0,0,0,3,5,0,0,2,3,10.9,13.0
adebaba01,Bam Adebayo,MIAMI HEAT,HOME,CHARLOTTE HORNETS,LOSS,928,3,6,0,0,6,6,2,4,0,0,2,1,3,10.8,-6.0
johnsam01,Amir Johnson,PHILADELPHIA 76ERS,HOME,ORLANDO MAGIC,WIN,863,4,4,0,0,0,0,2,4,3,1,1,2,1,10.8,9.0
vanvlfr01,Fred VanVleet,TORONTO RAPTORS,AWAY,WASHINGTON WIZARDS,WIN,1604,4,9,1,2,4,5,0,4,5,0,0,1,2,10.8,-6.0
willima02,Marvin Williams,CHARLOTTE HORNETS,AWAY,MIAMI HEAT,WIN,1809,5,10,2,5,1,2,1,5,1,0,3,1,2,10.8,9.0
morrima03,Marcus Morris,BOSTON CELTICS,AWAY,NEW YORK KNICKS,WIN,1539,4,12,2,5,6,6,0,6,2,0,0,1,2,10.6,-17.0
augusdj01,D.J. Augustin,ORLANDO MAGIC,AWAY,PHILADELPHIA 76ERS,LOSS,2072,2,7,0,2,5,5,1,2,9,0,0,2,0,10.5,23.0
dienggo01,Gorgui Dieng,MINNESOTA TIMBERWOLVES,AWAY,DALLAS MAVERICKS,LOSS,864,3,4,0,0,4,4,1,5,1,1,0,1,2,10.5,1.0
rosste01,Terrence Ross,ORLANDO MAGIC,AWAY,PHILADELPHIA 76ERS,LOSS,1738,5,14,3,5,2,2,1,3,2,1,0,0,2,10.4,-11.0
gasolpa01,Pau Gasol,SAN ANTONIO SPURS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1028,4,5,1,1,1,2,1,3,2,0,0,0,1,10.3,-6.0
gibsota01,Taj Gibson,MINNESOTA TIMBERWOLVES,AWAY,DALLAS MAVERICKS,LOSS,1871,4,6,0,0,1,1,1,5,1,2,1,1,2,10.2,-1.0
bertada01,Dāvis Bertāns,SAN ANTONIO SPURS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1182,4,8,3,6,0,0,3,1,2,0,1,1,1,10.1,-4.0
covinro01,Robert Covington,PHILADELPHIA 76ERS,HOME,ORLANDO MAGIC,WIN,2338,4,7,3,5,1,1,0,4,1,2,1,2,3,10.1,-1.0
baynear01,Aron Baynes,BOSTON CELTICS,AWAY,NEW YORK KNICKS,WIN,699,3,5,1,2,3,3,3,2,0,0,0,0,1,10.0,15.0
blakean01,Antonio Blakeney,CHICAGO BULLS,HOME,DETROIT PISTONS,LOSS,1290,5,6,0,0,0,0,0,4,0,1,0,0,0,10.0,0.0
nurkiju01,Jusuf Nurkić,PORTLAND TRAIL BLAZERS,HOME,SAN ANTONIO SPURS,WIN,1387,6,12,0,2,0,0,3,5,2,1,1,2,2,9.9,2.0
vonleno01,Noah Vonleh,NEW YORK KNICKS,HOME,BOSTON CELTICS,LOSS,1302,2,3,0,0,3,6,3,10,3,0,0,1,2,9.9,7.0
aminual01,Al-Farouq Aminu,PORTLAND TRAIL BLAZERS,HOME,SAN ANTONIO SPURS,WIN,1760,3,5,2,3,2,2,0,6,1,0,1,0,3,9.7,18.0
youngth01,Thaddeus Young,INDIANA PACERS,HOME,BROOKLYN NETS,WIN,1531,5,9,0,0,0,0,1,1,2,2,0,0,1,9.7,8.0
dotsoda01,Damyean Dotson,NEW YORK KNICKS,HOME,BOSTON CELTICS,LOSS,1341,4,8,2,5,0,0,0,2,2,2,0,0,2,9.2,7.0
stephla01,Lance Stephenson,LOS ANGELES LAKERS,HOME,HOUSTON ROCKETS,LOSS,1378,4,7,0,1,1,2,2,4,1,1,0,0,1,9.2,-9.0
irvinky01,Kyrie Irving,BOSTON CELTICS,AWAY,NEW YORK KNICKS,WIN,1926,5,16,0,3,6,7,0,1,5,2,0,2,3,9.0,-13.0
siakapa01,Pascal Siakam,TORONTO RAPTORS,AWAY,WASHINGTON WIZARDS,WIN,1586,4,8,1,1,1,3,4,6,2,1,1,2,6,8.5,9.0
bullore01,Reggie Bullock,DETROIT PISTONS,AWAY,CHICAGO BULLS,WIN,1794,5,13,1,4,5,5,0,1,1,1,1,2,3,8.4,2.0
hernawi01,Willy Hernangómez,CHARLOTTE HORNETS,AWAY,MIAMI HEAT,WIN,740,3,6,0,1,2,2,4,4,1,0,0,1,1,8.3,-9.0
riverau01,Austin Rivers,WASHINGTON WIZARDS,HOME,TORONTO RAPTORS,LOSS,1629,5,10,2,5,0,0,1,1,2,0,1,1,2,8.3,-14.0
colliza01,Zach Collins,PORTLAND TRAIL BLAZERS,HOME,SAN ANTONIO SPURS,WIN,923,4,5,2,3,1,2,1,4,0,1,0,2,4,8.0,11.0
dinwisp01,Spencer Dinwiddie,BROOKLYN NETS,AWAY,INDIANA PACERS,LOSS,1586,4,11,2,5,3,4,0,1,4,1,0,1,4,8.0,-24.0
kurucro01,Rodions Kurucs,BROOKLYN NETS,AWAY,INDIANA PACERS,LOSS,896,5,9,2,5,0,0,2,4,0,0,0,2,1,7.9,-2.0
porteot01,Otto Porter Jr.,WASHINGTON WIZARDS,HOME,TORONTO RAPTORS,LOSS,1493,4,9,2,7,1,1,0,1,0,1,1,0,1,7.9,13.0
farieke01,Kenneth Faried,BROOKLYN NETS,AWAY,INDIANA PACERS,LOSS,408,4,4,0,0,0,0,1,1,0,1,0,1,0,7.8,-2.0
parkeja01,Jabari Parker,CHICAGO BULLS,HOME,DETROIT PISTONS,LOSS,1422,5,13,2,3,1,2,2,4,1,0,0,0,3,7.6,-7.0
russeda01,D'Angelo Russell,BROOKLYN NETS,AWAY,INDIANA PACERS,LOSS,1841,5,16,2,5,0,0,1,5,7,0,1,3,0,7.6,-18.0
horfoal01,Al Horford,BOSTON CELTICS,AWAY,NEW YORK KNICKS,WIN,1435,3,7,2,3,0,2,2,8,3,1,1,2,4,7.5,1.0
ingrabr01,Brandon Ingram,LOS ANGELES LAKERS,HOME,HOUSTON ROCKETS,LOSS,1731,5,8,0,1,2,2,2,2,0,1,1,3,4,7.5,-1.0
trieral01,Allonzo Trier,NEW YORK KNICKS,HOME,BOSTON CELTICS,LOSS,1515,4,9,2,3,5,7,1,0,1,0,0,3,1,7.5,4.0
smartma01,Marcus Smart,BOSTON CELTICS,AWAY,NEW YORK KNICKS,WIN,1681,2,5,0,2,4,6,2,2,5,2,0,3,4,7.4,7.0
anunoog01,OG Anunoby,TORONTO RAPTORS,AWAY,WASHINGTON WIZARDS,WIN,1740,5,10,2,4,0,0,1,3,1,1,0,1,5,7.3,-1.0
turneev01,Evan Turner,PORTLAND TRAIL BLAZERS,HOME,SAN ANTONIO SPURS,WIN,1472,4,8,0,0,0,0,0,4,5,1,0,2,1,7.3,9.0
finnedo01,Dorian Finney-Smith,DALLAS MAVERICKS,HOME,MINNESOTA TIMBERWOLVES,WIN,1800,3,7,2,5,0,0,4,3,3,1,0,2,5,7.1,10.0
matthwe02,Wesley Matthews,DALLAS MAVERICKS,HOME,MINNESOTA TIMBERWOLVES,WIN,2126,7,19,4,11,1,3,2,2,2,0,0,2,5,7.1,4.0
mccontj01,T.J. McConnell,PHILADELPHIA 76ERS,HOME,ORLANDO MAGIC,WIN,1522,4,7,0,0,0,0,0,4,4,1,0,2,2,6.9,8.0
fultzma01,Markelle Fultz,PHILADELPHIA 76ERS,HOME,ORLANDO MAGIC,WIN,1358,4,11,0,0,0,0,2,2,7,1,0,1,5,6.8,-7.0
kuzmaky01,Kyle Kuzma,LOS ANGELES LAKERS,HOME,HOUSTON ROCKETS,LOSS,1501,5,13,1,5,0,0,1,1,3,0,2,0,4,6.8,-14.0
isaacjo01,Jonathan Isaac,ORLANDO MAGIC,AWAY,PHILADELPHIA 76ERS,LOSS,1651,3,8,2,3,0,2,1,5,0,2,1,1,0,6.7,9.0
davised01,Ed Davis,BROOKLYN NETS,AWAY,INDIANA PACERS,LOSS,1166,1,4,0,0,2,2,3,5,1,1,2,1,2,6.5,-1.0
kiddgmi01,Michael Kidd-Gilchrist,CHARLOTTE HORNETS,AWAY,MIAMI HEAT,WIN,1729,3,5,0,0,1,3,1,2,2,0,7,3,5,6.5,-12.0
jonesde02,Derrick Jones Jr.,MIAMI HEAT,HOME,CHARLOTTE HORNETS,LOSS,1802,5,13,1,5,1,2,0,3,2,1,2,2,2,6.4,-1.0
olynyke01,Kelly Olynyk,MIAMI HEAT,HOME,CHARLOTTE HORNETS,LOSS,930,3,6,1,3,1,2,1,2,2,0,1,1,2,6.2,-14.0
laymaja01,Jake Layman,PORTLAND TRAIL BLAZERS,HOME,SAN ANTONIO SPURS,WIN,950,2,4,0,0,1,2,2,4,0,0,1,0,0,5.9,-3.0
curryse01,Seth Curry,PORTLAND TRAIL BLAZERS,HOME,SAN ANTONIO SPURS,WIN,882,3,6,2,4,1,1,0,0,1,0,0,1,0,5.7,0.0
drumman01,Andre Drummond,DETROIT PISTONS,AWAY,CHICAGO BULLS,WIN,1413,5,13,0,2,0,0,4,9,0,0,1,1,6,5.7,0.0
gallola01,Langston Galloway,DETROIT PISTONS,AWAY,CHICAGO BULLS,WIN,1569,2,7,2,7,0,0,1,0,3,1,0,0,0,5.7,-3.0
milescj01,C.J. Miles,TORONTO RAPTORS,AWAY,WASHINGTON WIZARDS,WIN,796,3,7,0,1,4,5,2,4,0,0,0,2,2,5.7,-6.0
tuckepj01,P.J. Tucker,HOUSTON ROCKETS,AWAY,LOS ANGELES LAKERS,WIN,2139,2,6,2,6,0,0,2,7,3,0,0,1,4,5.6,-6.0
arcidry01,Ryan Arcidiacono,CHICAGO BULLS,HOME,DETROIT PISTONS,LOSS,1179,1,3,1,2,0,0,0,1,7,0,0,1,0,5.5,-4.0
hartjo01,Josh Hart,LOS ANGELES LAKERS,HOME,HOUSTON ROCKETS,LOSS,1821,5,13,1,5,0,2,0,5,2,2,1,2,3,5.5,-15.0
roziete01,Terry Rozier,BOSTON CELTICS,AWAY,NEW YORK KNICKS,WIN,1374,4,8,2,4,0,0,0,1,2,0,0,1,3,5.5,0.0
bambamo01,Mo Bamba,ORLANDO MAGIC,AWAY,PHILADELPHIA 76ERS,LOSS,850,2,4,1,2,0,0,1,0,2,0,3,1,2,5.4,-25.0
ennisja01,James Ennis III,HOUSTON ROCKETS,AWAY,LOS ANGELES LAKERS,WIN,1329,2,7,2,5,0,0,3,2,2,2,0,1,4,5.4,-10.0
harklma01,Maurice Harkless,PORTLAND TRAIL BLAZERS,HOME,SAN ANTONIO SPURS,WIN,1221,2,5,1,3,0,0,1,7,1,1,0,1,1,5.4,7.0
pachuza01,Zaza Pachulia,DETROIT PISTONS,AWAY,CHICAGO BULLS,WIN,1388,1,7,0,0,3,6,5,3,1,2,0,0,3,5.2,2.0
batumni01,Nicolas Batum,CHARLOTTE HORNETS,AWAY,MIAMI HEAT,WIN,2504,2,10,2,7,2,2,1,3,4,1,0,1,3,5.0,0.0
leoname01,Meyers Leonard,PORTLAND TRAIL BLAZERS,HOME,SAN ANTONIO SPURS,WIN,570,2,2,0,0,1,1,1,1,0,0,0,0,1,5.0,0.0
cartewe01,Wendell Carter Jr.,CHICAGO BULLS,HOME,DETROIT PISTONS,LOSS,1060,4,6,0,0,0,0,0,2,1,0,2,2,3,4.9,-3.0
millspa02,Patty Mills,SAN ANTONIO SPURS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1329,4,11,1,5,0,0,0,3,1,1,1,1,1,4.8,-13.0
johnsst04,Stanley Johnson,DETROIT PISTONS,AWAY,CHICAGO BULLS,WIN,1780,4,13,2,7,0,0,3,4,0,0,1,1,2,4.7,-21.0
jonesty01,Tyus Jones,MINNESOTA TIMBERWOLVES,AWAY,DALLAS MAVERICKS,LOSS,833,2,4,1,1,0,0,0,0,1,1,0,0,0,4.7,3.0
simmobe01,Ben Simmons,PHILADELPHIA 76ERS,HOME,ORLANDO MAGIC,WIN,461,2,3,0,0,0,0,0,0,4,0,0,0,2,4.7,-12.0
gayru01,Rudy Gay,SAN ANTONIO SPURS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1597,5,13,2,4,0,0,1,6,1,0,0,2,5,4.1,-18.0
brunsja01,Jalen Brunson,DALLAS MAVERICKS,HOME,MINNESOTA TIMBERWOLVES,WIN,1203,3,7,1,4,0,0,0,0,1,1,0,1,0,4.0,2.0
portibo01,Bobby Portis,CHICAGO BULLS,HOME,DETROIT PISTONS,LOSS,1761,2,12,0,4,2,4,2,12,5,1,0,2,3,3.9,9.0
