slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,plus_minus
butleji01,Jimmy Butler,CHICAGO BULLS,HOME,CHARLOTTE HORNETS,WIN,2299,15,24,1,4,21,22,3,9,6,3,1,2,0,51.5,15.0
walkeke02,Kemba Walker,CHARLOTTE HORNETS,AWAY,CHICAGO BULLS,LOSS,2283,13,20,6,8,2,2,0,9,4,1,1,1,2,30.6,-10.0
haywago01,Gordon Hayward,UTAH JAZZ,AWAY,BROOKLYN NETS,WIN,2073,9,18,3,4,9,9,0,4,3,2,1,2,1,24.6,11.0
adamsst01,Steven Adams,OKLAHOMA CITY THUNDER,AWAY,MILWAUKEE BUCKS,LOSS,2049,9,11,0,0,2,2,3,5,2,1,3,0,3,22.8,5.0
antetgi01,Giannis Antetokounmpo,MILWAUKEE BUCKS,HOME,OKLAHOMA CITY THUNDER,WIN,2473,10,19,1,3,5,10,2,8,5,1,1,1,0,22.7,8.0
gordoer01,Eric Gordon,HOUSTON ROCKETS,HOME,WASHINGTON WIZARDS,WIN,2186,11,18,6,12,3,4,0,2,3,0,1,3,4,21.2,11.0
jokicni01,Nikola Jokić,DENVER NUGGETS,AWAY,GOLDEN STATE WARRIORS,LOSS,1488,8,17,1,2,4,4,8,5,5,1,0,2,2,21.1,-5.0
jamesle01,LeBron James,CLEVELAND CAVALIERS,HOME,NEW ORLEANS PELICANS,WIN,2335,9,21,0,4,8,10,2,5,6,2,1,4,1,19.5,-4.0
bealbr01,Bradley Beal,WASHINGTON WIZARDS,AWAY,HOUSTON ROCKETS,LOSS,2126,9,18,5,10,4,4,0,3,2,2,0,3,0,19.3,-3.0
warretj01,T.J. Warren,PHOENIX SUNS,AWAY,LOS ANGELES CLIPPERS,LOSS,2469,12,20,0,1,0,0,5,3,2,1,1,2,3,19.1,6.0
meeksjo01,Jodie Meeks,ORLANDO MAGIC,AWAY,NEW YORK KNICKS,WIN,1901,7,9,6,7,3,3,0,2,2,0,1,3,1,18.8,16.0
paytoel01,Elfrid Payton,ORLANDO MAGIC,AWAY,NEW YORK KNICKS,WIN,1845,6,12,1,1,0,0,1,2,14,1,1,0,4,18.2,14.0
thompkl01,Klay Thompson,GOLDEN STATE WARRIORS,HOME,DENVER NUGGETS,WIN,2220,9,19,4,7,3,3,0,5,1,0,1,0,1,17.8,7.0
greendr01,Draymond Green,GOLDEN STATE WARRIORS,HOME,DENVER NUGGETS,WIN,2165,5,8,1,2,4,6,3,7,13,0,0,5,3,17.7,11.0
vucevni01,Nikola Vučević,ORLANDO MAGIC,AWAY,NEW YORK KNICKS,WIN,1873,7,11,0,0,0,1,5,8,5,2,0,2,1,17.7,9.0
goberru01,Rudy Gobert,UTAH JAZZ,AWAY,BROOKLYN NETS,WIN,2258,5,10,0,0,5,9,7,9,2,1,3,2,4,16.9,17.0
gordoaa01,Aaron Gordon,ORLANDO MAGIC,AWAY,NEW YORK KNICKS,WIN,1910,8,19,3,10,3,5,3,3,6,1,0,2,1,16.9,8.0
westbru01,Russell Westbrook,OKLAHOMA CITY THUNDER,AWAY,MILWAUKEE BUCKS,LOSS,2155,9,28,2,10,10,11,0,7,6,3,0,5,3,16.7,3.0
gallida01,Danilo Gallinari,DENVER NUGGETS,AWAY,GOLDEN STATE WARRIORS,LOSS,1924,7,15,2,7,3,4,1,7,4,2,0,1,3,16.3,-9.0
booketr01,Trevor Booker,BROOKLYN NETS,HOME,UTAH JAZZ,LOSS,2048,6,14,1,4,4,4,4,11,2,0,1,1,3,15.6,-12.0
nurkiju01,Jusuf Nurkić,DENVER NUGGETS,AWAY,GOLDEN STATE WARRIORS,LOSS,1267,6,8,0,0,3,4,0,6,4,1,1,1,3,15.5,-4.0
anthoca01,Carmelo Anthony,NEW YORK KNICKS,HOME,ORLANDO MAGIC,LOSS,2082,6,17,0,4,7,8,1,6,3,3,1,1,3,15.2,-14.0
hardeja01,James Harden,HOUSTON ROCKETS,HOME,WASHINGTON WIZARDS,WIN,2524,6,24,2,11,9,10,1,9,10,3,0,6,1,15.2,14.0
batumni01,Nicolas Batum,CHARLOTTE HORNETS,AWAY,CHICAGO BULLS,LOSS,2186,7,16,1,3,4,4,2,4,5,1,0,2,2,14.9,-9.0
walljo01,John Wall,WASHINGTON WIZARDS,AWAY,HOUSTON ROCKETS,LOSS,2220,8,18,0,2,2,3,1,4,12,2,0,5,2,14.7,-13.0
