slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,plus_minus
butleji01,Jimmy Butler,MIAMI HEAT,HOME,DALLAS MAVERICKS,WIN,2220,12,16,1,3,10,11,0,3,12,1,0,0,2,37.7,6.0
doncilu01,Luka Dončić,DALLAS MAVERICKS,AWAY,MIAMI HEAT,LOSS,2671,17,25,2,6,6,7,0,10,8,2,0,3,4,36.9,-6.0
leonaka01,Kawhi Leonard,LOS ANGELES CLIPPERS,AWAY,NEW ORLEANS PELICANS,LOSS,2484,15,28,4,8,6,6,1,7,4,0,1,2,1,30.3,3.0
ingrabr01,Brandon Ingram,NEW ORLEANS PELICANS,HOME,LOS ANGELES CLIPPERS,WIN,2324,13,23,0,0,10,11,0,4,8,0,0,1,1,30.1,1.0
hardati02,Tim Hardaway Jr.,DALLAS MAVERICKS,AWAY,MIAMI HEAT,LOSS,2431,11,15,6,10,3,4,0,6,7,0,0,1,2,29.4,10.0
westbru01,Russell Westbrook,LOS ANGELES CLIPPERS,AWAY,NEW ORLEANS PELICANS,LOSS,2379,9,18,3,6,3,5,0,3,10,1,1,1,5,20.8,-7.0
irvinky01,Kyrie Irving,DALLAS MAVERICKS,AWAY,MIAMI HEAT,LOSS,2550,10,17,1,4,2,2,0,3,8,0,0,1,3,19.4,4.0
murphtr02,Trey Murphy III,NEW ORLEANS PELICANS,HOME,LOS ANGELES CLIPPERS,WIN,2327,4,8,2,5,9,11,1,3,1,2,2,1,2,18.1,10.0
zelleco01,Cody Zeller,MIAMI HEAT,HOME,DALLAS MAVERICKS,WIN,1717,9,13,0,1,2,3,3,5,0,1,0,0,2,17.9,-1.0
valanjo01,Jonas Valančiūnas,NEW ORLEANS PELICANS,HOME,LOS ANGELES CLIPPERS,WIN,1685,10,18,1,1,2,2,7,5,0,0,1,3,3,17.3,-1.0
loveke01,Kevin Love,MIAMI HEAT,HOME,DALLAS MAVERICKS,WIN,1163,5,9,2,5,6,6,1,4,1,1,0,2,2,14.5,8.0
zubaciv01,Ivica Zubac,LOS ANGELES CLIPPERS,AWAY,NEW ORLEANS PELICANS,LOSS,1775,5,6,0,0,5,6,1,5,0,0,1,0,4,13.7,5.0
mccolcj01,CJ McCollum,NEW ORLEANS PELICANS,HOME,LOS ANGELES CLIPPERS,WIN,2288,8,18,1,5,2,2,0,1,3,3,0,1,1,13.6,4.0
joneshe01,Herbert Jones,NEW ORLEANS PELICANS,HOME,LOS ANGELES CLIPPERS,WIN,1791,2,3,1,1,7,7,0,4,2,0,1,0,5,12.0,-1.0
strusma01,Max Strus,MIAMI HEAT,HOME,DALLAS MAVERICKS,WIN,1809,6,11,6,9,0,0,1,3,1,0,0,2,3,11.8,-7.0
herroty01,Tyler Herro,MIAMI HEAT,HOME,DALLAS MAVERICKS,WIN,2181,5,16,2,8,3,3,1,5,3,1,0,2,1,8.7,-1.0
lowryky01,Kyle Lowry,MIAMI HEAT,HOME,DALLAS MAVERICKS,WIN,1616,1,8,0,5,4,5,2,2,7,1,0,0,0,8.3,14.0
klebima01,Maxi Kleber,DALLAS MAVERICKS,AWAY,MIAMI HEAT,LOSS,1620,3,4,2,3,0,0,0,5,3,1,0,3,3,6.8,2.0
woodch01,Christian Wood,DALLAS MAVERICKS,AWAY,MIAMI HEAT,LOSS,751,3,5,2,3,0,0,0,1,2,0,1,1,1,6.7,-16.0
vincega01,Gabe Vincent,MIAMI HEAT,HOME,DALLAS MAVERICKS,WIN,1563,3,8,2,5,1,1,2,2,2,0,0,1,1,6.6,6.0
mannte01,Terance Mann,LOS ANGELES CLIPPERS,AWAY,NEW ORLEANS PELICANS,LOSS,1470,2,6,2,3,0,0,3,1,3,1,1,1,4,6.2,-13.0
martica02,Caleb Martin,MIAMI HEAT,HOME,DALLAS MAVERICKS,WIN,1996,4,4,0,0,0,0,0,1,1,1,0,1,4,6.2,1.0
nancela02,Larry Nance Jr.,NEW ORLEANS PELICANS,HOME,LOS ANGELES CLIPPERS,WIN,1195,1,6,0,0,0,0,4,2,4,1,1,0,0,6.1,9.0
plumlma01,Mason Plumlee,LOS ANGELES CLIPPERS,AWAY,NEW ORLEANS PELICANS,LOSS,1092,3,5,0,0,0,0,3,2,1,1,0,1,4,5.5,-13.0
daniedy01,Dyson Daniels,NEW ORLEANS PELICANS,HOME,LOS ANGELES CLIPPERS,WIN,843,2,4,1,2,0,0,2,0,0,0,0,0,0,4.4,2.0
powelno01,Norman Powell,LOS ANGELES CLIPPERS,AWAY,NEW ORLEANS PELICANS,LOSS,1919,4,9,0,4,4,4,1,4,2,1,0,6,4,4.0,6.0
batumni01,Nicolas Batum,LOS ANGELES CLIPPERS,AWAY,NEW ORLEANS PELICANS,LOSS,1415,1,2,0,1,0,0,1,2,3,0,0,0,2,3.6,2.0
marshna01,Naji Marshall,NEW ORLEANS PELICANS,HOME,LOS ANGELES CLIPPERS,WIN,802,1,2,0,0,1,2,0,3,2,0,0,0,1,3.5,8.0
holidju01,Justin Holiday,DALLAS MAVERICKS,AWAY,MIAMI HEAT,LOSS,253,0,1,0,1,3,3,0,0,0,0,0,0,0,2.3,0.0
poweldw01,Dwight Powell,DALLAS MAVERICKS,AWAY,MIAMI HEAT,LOSS,1033,1,1,0,0,0,0,1,2,1,0,1,1,4,1.8,-2.0
bullore01,Reggie Bullock,DALLAS MAVERICKS,AWAY,MIAMI HEAT,LOSS,1397,1,5,0,4,0,0,0,2,3,0,0,0,1,1.2,-11.0
hylanbo01,Bones Hyland,LOS ANGELES CLIPPERS,AWAY,NEW ORLEANS PELICANS,LOSS,911,2,7,1,4,0,0,0,1,1,1,0,1,2,1.1,-10.0
covinro01,Robert Covington,LOS ANGELES CLIPPERS,AWAY,NEW ORLEANS PELICANS,LOSS,953,1,4,1,3,1,2,1,1,1,0,0,1,3,0.7,-13.0
richajo01,Josh Richardson,NEW ORLEANS PELICANS,HOME,LOS ANGELES CLIPPERS,WIN,1144,1,4,1,3,0,0,0,4,1,0,0,1,2,0.7,8.0
