slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,plus_minus
thompkl01,Klay Thompson,GOLDEN STATE WARRIORS,AWAY,LOS ANGELES LAKERS,WIN,1611,17,20,10,11,0,0,0,3,2,0,1,2,2,37.0,29.0
embiijo01,Joel Embiid,PHILADELPHIA 76ERS,HOME,HOUSTON ROCKETS,WIN,1592,9,16,0,1,14,17,3,11,2,2,3,2,3,30.9,21.0
irvinky01,Kyrie Irving,BOSTON CELTICS,HOME,MIAMI HEAT,WIN,2054,11,19,2,5,2,3,0,3,10,8,1,3,2,29.5,25.0
russeda01,D'Angelo Russell,BROOKLYN NETS,HOME,SACRAMENTO KINGS,WIN,1919,12,25,7,14,0,0,1,3,8,1,1,0,0,27.2,28.0
vucevni01,Nikola Vučević,ORLANDO MAGIC,AWAY,ATLANTA HAWKS,WIN,2072,12,23,1,3,4,4,3,11,2,0,2,0,1,25.5,8.0
georgpa01,Paul George,OKLAHOMA CITY THUNDER,AWAY,NEW YORK KNICKS,WIN,1840,9,18,4,9,9,9,0,4,4,1,0,0,4,25.4,19.0
antetgi01,Giannis Antetokounmpo,MILWAUKEE BUCKS,HOME,DALLAS MAVERICKS,WIN,2146,10,20,1,2,10,12,3,12,5,0,0,5,4,22.8,10.0
hardeja01,James Harden,HOUSTON ROCKETS,AWAY,PHILADELPHIA 76ERS,LOSS,1849,12,26,6,13,7,8,2,4,3,1,2,6,4,22.7,-23.0
mitchdo01,Donovan Mitchell,UTAH JAZZ,HOME,PORTLAND TRAIL BLAZERS,LOSS,2018,12,28,2,8,10,12,2,5,5,1,0,4,4,22.2,-7.0
conlemi01,Mike Conley,MEMPHIS GRIZZLIES,HOME,NEW ORLEANS PELICANS,LOSS,2248,7,15,3,9,3,4,2,2,8,4,0,1,1,22.1,-3.0
griffbl01,Blake Griffin,DETROIT PISTONS,AWAY,WASHINGTON WIZARDS,LOSS,2159,9,16,4,7,7,11,0,9,4,0,0,3,2,21.5,-5.0
lillada01,Damian Lillard,PORTLAND TRAIL BLAZERS,AWAY,UTAH JAZZ,WIN,2186,10,20,1,5,5,6,1,7,8,0,0,2,2,21.2,9.0
okafoja01,Jahlil Okafor,NEW ORLEANS PELICANS,AWAY,MEMPHIS GRIZZLIES,WIN,2124,9,11,0,0,2,3,3,7,0,1,2,0,3,20.9,4.0
fournev01,Evan Fournier,ORLANDO MAGIC,AWAY,ATLANTA HAWKS,WIN,2197,9,18,3,6,8,9,0,3,7,0,0,3,5,20.4,4.0
dedmode01,Dewayne Dedmon,ATLANTA HAWKS,HOME,ORLANDO MAGIC,LOSS,1594,8,14,5,7,3,3,3,6,1,0,0,1,3,19.8,-11.0
arizatr01,Trevor Ariza,WASHINGTON WIZARDS,HOME,DETROIT PISTONS,WIN,2015,7,13,2,5,4,4,0,12,4,0,0,0,2,19.3,14.0
horfoal01,Al Horford,BOSTON CELTICS,HOME,MIAMI HEAT,WIN,1945,8,11,0,1,0,0,6,6,4,1,3,4,2,18.6,30.0
nurkiju01,Jusuf Nurkić,PORTLAND TRAIL BLAZERS,AWAY,UTAH JAZZ,WIN,1915,8,17,0,0,6,8,2,6,7,1,6,5,6,18.4,-2.0
holidjr01,Jrue Holiday,NEW ORLEANS PELICANS,AWAY,MEMPHIS GRIZZLIES,WIN,2337,9,16,1,4,2,6,2,9,6,2,0,4,0,18.1,5.0
duranke01,Kevin Durant,GOLDEN STATE WARRIORS,AWAY,LOS ANGELES LAKERS,WIN,1814,8,13,1,2,3,4,0,6,4,0,3,2,1,18.0,25.0
trieral01,Allonzo Trier,NEW YORK KNICKS,HOME,OKLAHOMA CITY THUNDER,LOSS,1787,3,8,0,1,10,10,4,2,8,2,0,4,2,17.8,-7.0
bogdabo01,Bogdan Bogdanović,SACRAMENTO KINGS,AWAY,BROOKLYN NETS,LOSS,1935,9,19,3,6,1,2,2,4,11,2,0,5,4,17.6,-5.0
