slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,plus_minus
youngtr01,Trae Young,ATLANTA HAWKS,HOME,HOUSTON ROCKETS,LOSS,2315,11,30,4,11,16,18,4,9,10,0,1,3,1,34.4,4.0
capelca01,Clint Capela,HOUSTON ROCKETS,AWAY,ATLANTA HAWKS,WIN,2178,9,14,0,0,4,4,11,11,0,2,2,1,1,28.8,-10.0
jokicni01,Nikola Jokić,DENVER NUGGETS,AWAY,DALLAS MAVERICKS,WIN,1875,12,20,4,6,5,8,2,4,7,1,1,3,1,28.4,-3.0
sabondo01,Domantas Sabonis,INDIANA PACERS,HOME,MIAMI HEAT,LOSS,2241,10,13,0,0,7,8,1,13,6,0,0,3,1,26.9,-12.0
ingrabr01,Brandon Ingram,NEW ORLEANS PELICANS,HOME,CHICAGO BULLS,WIN,2285,7,19,4,11,11,12,1,7,11,0,2,3,1,26.6,22.0
hardeja01,James Harden,HOUSTON ROCKETS,AWAY,ATLANTA HAWKS,WIN,2384,9,34,4,20,19,23,2,8,10,2,3,8,2,25.3,-3.0
vucevni01,Nikola Vučević,ORLANDO MAGIC,HOME,WASHINGTON WIZARDS,WIN,1668,12,20,2,6,3,4,2,7,2,2,1,1,2,25.2,32.0
derozde01,DeMar DeRozan,SAN ANTONIO SPURS,AWAY,BOSTON CELTICS,WIN,2039,10,17,0,1,11,11,0,6,4,1,0,4,0,24.7,18.0
lavinza01,Zach LaVine,CHICAGO BULLS,AWAY,NEW ORLEANS PELICANS,LOSS,2206,13,24,3,7,3,4,1,4,6,2,0,3,1,24.7,-4.0
bridgmi02,Miles Bridges,CHARLOTTE HORNETS,HOME,TORONTO RAPTORS,LOSS,2113,10,15,6,9,0,0,2,7,1,1,1,1,2,23.6,-7.0
daviste02,Terence Davis,TORONTO RAPTORS,AWAY,CHARLOTTE HORNETS,WIN,2243,8,16,4,8,3,3,1,10,5,1,0,0,2,22.4,20.0
goberru01,Rudy Gobert,UTAH JAZZ,HOME,NEW YORK KNICKS,WIN,1560,5,5,0,0,6,10,3,13,4,1,1,1,2,21.6,33.0
antetgi01,Giannis Antetokounmpo,MILWAUKEE BUCKS,AWAY,GOLDEN STATE WARRIORS,WIN,1925,10,21,1,7,9,13,0,13,4,1,0,3,3,21.2,5.0
redicjj01,JJ Redick,NEW ORLEANS PELICANS,HOME,CHICAGO BULLS,WIN,2070,7,14,6,12,4,4,0,4,4,1,0,1,0,21.0,21.0
adebaba01,Bam Adebayo,MIAMI HEAT,AWAY,INDIANA PACERS,WIN,1727,8,11,0,0,2,3,0,9,4,0,1,0,1,18.9,31.0
dunnkr01,Kris Dunn,CHICAGO BULLS,AWAY,NEW ORLEANS PELICANS,LOSS,1832,6,11,3,6,0,0,0,4,7,5,0,2,1,18.4,-15.0
butleji01,Jimmy Butler,MIAMI HEAT,AWAY,INDIANA PACERS,WIN,1689,5,6,0,0,4,4,1,5,7,2,0,2,2,18.1,24.0
middlkh01,Khris Middleton,MILWAUKEE BUCKS,AWAY,GOLDEN STATE WARRIORS,WIN,1980,6,16,3,8,6,6,1,6,6,1,0,1,3,17.7,6.0
grantje01,Jerami Grant,DENVER NUGGETS,AWAY,DALLAS MAVERICKS,WIN,2019,3,7,1,2,8,8,4,2,2,1,3,0,4,17.6,-5.0
doncilu01,Luka Dončić,DALLAS MAVERICKS,HOME,DENVER NUGGETS,LOSS,2238,11,24,1,7,4,6,2,7,10,0,0,6,2,17.5,7.0
burksal01,Alec Burks,GOLDEN STATE WARRIORS,HOME,MILWAUKEE BUCKS,LOSS,1584,5,13,3,5,6,6,2,3,7,0,1,1,5,16.8,-8.0
poweldw01,Dwight Powell,DALLAS MAVERICKS,HOME,DENVER NUGGETS,LOSS,1624,6,7,0,0,4,6,2,6,3,1,2,2,4,16.8,6.0
