slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,plus_minus
millspa01,Paul Millsap,ATLANTA HAWKS,HOME,BOSTON CELTICS,WIN,2323,13,22,5,7,0,0,2,14,3,2,5,3,2,30.2,20.0
jamesle01,LeBron James,CLEVELAND CAVALIERS,AWAY,CHICAGO BULLS,LOSS,2313,13,17,4,5,3,4,3,4,3,0,1,4,1,27.6,7.0
townska01,Karl-Anthony Towns,MINNESOTA TIMBERWOLVES,AWAY,PORTLAND TRAIL BLAZERS,WIN,2278,13,20,0,0,1,2,5,5,2,0,2,1,2,23.8,-4.0
collida01,Darren Collison,SACRAMENTO KINGS,HOME,OKLAHOMA CITY THUNDER,WIN,2207,10,16,4,6,3,3,0,5,8,1,0,4,2,23.1,-7.0
lillada01,Damian Lillard,PORTLAND TRAIL BLAZERS,HOME,MINNESOTA TIMBERWOLVES,LOSS,2275,11,22,4,10,5,5,0,3,7,1,0,3,3,22.6,7.0
gayru01,Rudy Gay,SACRAMENTO KINGS,HOME,OKLAHOMA CITY THUNDER,WIN,2267,9,19,1,6,5,7,4,4,3,4,2,1,4,22.4,4.0
greendr01,Draymond Green,GOLDEN STATE WARRIORS,AWAY,MEMPHIS GRIZZLIES,WIN,2112,10,14,2,5,1,2,2,9,4,1,3,4,2,22.0,11.0
barnema02,Matt Barnes,MEMPHIS GRIZZLIES,HOME,GOLDEN STATE WARRIORS,LOSS,2392,8,17,3,8,5,5,3,12,4,0,0,1,3,21.6,-3.0
teaguje01,Jeff Teague,ATLANTA HAWKS,HOME,BOSTON CELTICS,WIN,1687,9,15,3,5,3,3,0,5,7,1,0,2,3,21.3,11.0
douglto01,Toney Douglas,NEW ORLEANS PELICANS,HOME,PHOENIX SUNS,LOSS,1832,8,14,3,6,4,4,0,2,5,1,0,1,2,19.7,-23.0
plumlma01,Mason Plumlee,PORTLAND TRAIL BLAZERS,HOME,MINNESOTA TIMBERWOLVES,LOSS,1894,6,9,0,0,3,4,2,13,2,1,2,0,1,19.4,11.0
smithjr01,J.R. Smith,CLEVELAND CAVALIERS,AWAY,CHICAGO BULLS,LOSS,2216,8,16,7,14,1,3,1,5,4,1,0,1,2,19.4,8.0
johnsam01,Amir Johnson,BOSTON CELTICS,AWAY,ATLANTA HAWKS,LOSS,1571,6,8,0,0,2,2,3,5,2,1,4,0,5,17.6,-1.0
duranke01,Kevin Durant,OKLAHOMA CITY THUNDER,AWAY,SACRAMENTO KINGS,LOSS,2393,11,29,4,12,5,6,2,4,8,0,0,5,1,17.5,4.0
goodwar01,Archie Goodwin,PHOENIX SUNS,AWAY,NEW ORLEANS PELICANS,WIN,1506,7,11,3,5,7,9,0,3,3,0,1,3,5,17.0,18.0
butleji01,Jimmy Butler,CHICAGO BULLS,HOME,CLEVELAND CAVALIERS,WIN,2313,7,17,2,3,5,5,1,1,6,3,0,2,3,16.9,-7.0
teletmi01,Mirza Teletović,PHOENIX SUNS,AWAY,NEW ORLEANS PELICANS,WIN,1745,8,14,4,8,2,3,1,4,4,0,1,3,2,16.6,10.0
thompkl01,Klay Thompson,GOLDEN STATE WARRIORS,AWAY,MEMPHIS GRIZZLIES,WIN,2127,7,16,2,10,4,4,1,4,3,1,1,1,0,16.3,17.0
bazemke01,Kent Bazemore,ATLANTA HAWKS,HOME,BOSTON CELTICS,WIN,1694,8,13,2,6,3,3,0,5,3,3,2,5,5,16.1,7.0
westbru01,Russell Westbrook,OKLAHOMA CITY THUNDER,AWAY,SACRAMENTO KINGS,LOSS,2022,7,15,1,5,9,10,1,4,10,1,0,8,5,15.8,3.0
bjeline01,Nemanja Bjelica,MINNESOTA TIMBERWOLVES,AWAY,PORTLAND TRAIL BLAZERS,WIN,1804,4,6,2,3,1,2,3,7,5,1,1,1,2,15.6,16.0
mccolcj01,CJ McCollum,PORTLAND TRAIL BLAZERS,HOME,MINNESOTA TIMBERWOLVES,LOSS,2094,6,13,1,2,8,9,1,1,7,0,0,3,4,15.2,8.0
smartma01,Marcus Smart,BOSTON CELTICS,AWAY,ATLANTA HAWKS,LOSS,1993,7,12,4,6,1,2,2,3,3,1,0,2,3,15.2,-7.0
curryse01,Seth Curry,SACRAMENTO KINGS,HOME,OKLAHOMA CITY THUNDER,WIN,1988,7,13,6,10,0,0,1,1,3,0,0,1,2,15.0,12.0
feliccr01,Cristiano Felício,CHICAGO BULLS,HOME,CLEVELAND CAVALIERS,WIN,1408,7,7,0,0,2,2,2,3,1,0,2,2,4,14.7,12.0
chandty01,Tyson Chandler,PHOENIX SUNS,AWAY,NEW ORLEANS PELICANS,WIN,1247,4,6,0,0,5,6,3,2,1,0,3,1,0,14.5,17.0
cartevi01,Vince Carter,MEMPHIS GRIZZLIES,HOME,GOLDEN STATE WARRIORS,LOSS,1840,6,12,1,2,2,2,3,4,4,0,0,0,2,14.3,-15.0
crowdja01,Jae Crowder,BOSTON CELTICS,AWAY,ATLANTA HAWKS,LOSS,2059,5,11,1,5,5,7,2,5,2,2,0,1,2,14.0,-14.0
bookede01,Devin Booker,PHOENIX SUNS,AWAY,NEW ORLEANS PELICANS,WIN,1616,7,11,1,3,1,1,1,3,5,0,1,2,4,13.3,17.0
schrode01,Dennis Schröder,ATLANTA HAWKS,HOME,BOSTON CELTICS,WIN,1195,6,12,3,4,0,0,0,1,7,1,0,2,0,13.2,0.0
loveke01,Kevin Love,CLEVELAND CAVALIERS,AWAY,CHICAGO BULLS,LOSS,2140,6,17,4,9,4,5,3,10,3,0,0,3,3,13.1,11.0
ibakase01,Serge Ibaka,OKLAHOMA CITY THUNDER,AWAY,SACRAMENTO KINGS,LOSS,1733,5,9,2,5,2,2,2,6,0,2,0,1,3,12.7,1.0
ennisja01,James Ennis III,NEW ORLEANS PELICANS,HOME,PHOENIX SUNS,LOSS,2030,8,16,2,6,0,0,4,2,0,3,0,3,3,12.2,-3.0
curryst01,Stephen Curry,GOLDEN STATE WARRIORS,AWAY,MEMPHIS GRIZZLIES,WIN,2039,7,22,3,14,0,0,0,9,8,1,0,2,1,11.3,10.0
babbilu01,Luke Babbitt,NEW ORLEANS PELICANS,HOME,PHOENIX SUNS,LOSS,2054,7,16,0,1,3,3,1,8,2,0,0,0,5,11.1,-7.0
horfoal01,Al Horford,ATLANTA HAWKS,HOME,BOSTON CELTICS,WIN,1954,5,13,2,5,0,0,1,7,6,1,1,1,4,11.0,9.0
tuckepj01,P.J. Tucker,PHOENIX SUNS,AWAY,NEW ORLEANS PELICANS,WIN,1680,1,5,1,3,4,4,0,8,4,3,0,1,1,10.7,21.0
bradlav01,Avery Bradley,BOSTON CELTICS,AWAY,ATLANTA HAWKS,LOSS,2093,6,17,2,7,1,2,1,3,2,3,1,0,4,10.2,-6.0
fraziti01,Tim Frazier,NEW ORLEANS PELICANS,HOME,PHOENIX SUNS,LOSS,1880,5,14,1,3,0,2,3,5,7,1,0,1,2,10.1,-5.0
munfoxa02,Xavier Munford,MEMPHIS GRIZZLIES,HOME,GOLDEN STATE WARRIORS,LOSS,1772,3,10,1,3,1,2,1,6,4,3,1,0,2,10.0,2.0
hamiljo02,Jordan Hamilton,NEW ORLEANS PELICANS,HOME,PHOENIX SUNS,LOSS,1590,4,12,1,4,4,4,1,4,1,2,1,0,4,9.9,-7.0
wiggian01,Andrew Wiggins,MINNESOTA TIMBERWOLVES,AWAY,PORTLAND TRAIL BLAZERS,WIN,1937,9,22,0,3,5,6,1,1,1,0,0,1,4,9.9,-8.0
brookaa01,Aaron Brooks,CHICAGO BULLS,HOME,CLEVELAND CAVALIERS,WIN,955,4,6,1,2,0,0,1,0,3,1,0,0,1,9.8,23.0
gasolpa01,Pau Gasol,CHICAGO BULLS,HOME,CLEVELAND CAVALIERS,WIN,1478,4,7,0,0,3,5,3,9,1,1,1,3,4,9.5,-9.0
ezelife01,Festus Ezeli,GOLDEN STATE WARRIORS,AWAY,MEMPHIS GRIZZLIES,WIN,1103,3,4,0,0,3,3,0,4,1,0,0,0,0,9.3,16.0
caulewi01,Willie Cauley-Stein,SACRAMENTO KINGS,HOME,OKLAHOMA CITY THUNDER,WIN,1270,2,2,0,0,0,2,3,1,2,3,0,0,1,9.0,-15.0
lenal01,Alex Len,PHOENIX SUNS,AWAY,NEW ORLEANS PELICANS,WIN,1495,5,11,0,0,0,0,3,8,2,1,0,1,3,9.0,11.0
mirotni01,Nikola Mirotić,CHICAGO BULLS,HOME,CLEVELAND CAVALIERS,WIN,1038,5,11,3,7,0,0,1,5,0,1,1,1,3,9.0,-10.0
holidju01,Justin Holiday,CHICAGO BULLS,HOME,CLEVELAND CAVALIERS,WIN,1345,1,6,0,3,5,5,0,2,4,2,1,0,1,8.9,12.0
