slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,plus_minus
murrade01,Dejounte Murray,ATLANTA HAWKS,HOME,HOUSTON ROCKETS,WIN,2392,9,19,4,9,12,15,0,6,7,2,1,1,0,31.5,8.0
doncilu01,Luka Dončić,DALLAS MAVERICKS,HOME,OKLAHOMA CITY THUNDER,WIN,1878,9,14,4,8,10,13,0,8,9,0,0,3,3,29.1,18.0
brunsja01,Jalen Brunson,NEW YORK KNICKS,HOME,INDIANA PACERS,LOSS,2248,14,25,1,5,10,10,0,3,4,1,0,2,2,29.0,-7.0
barnesc01,Scottie Barnes,TORONTO RAPTORS,HOME,CLEVELAND CAVALIERS,LOSS,2110,9,15,1,3,5,6,2,8,10,1,1,1,3,27.0,1.0
vucevni01,Nikola Vučević,CHICAGO BULLS,AWAY,ORLANDO MAGIC,LOSS,2597,12,25,1,7,1,2,9,8,4,3,1,0,3,26.9,1.0
wagnefr01,Franz Wagner,ORLANDO MAGIC,HOME,CHICAGO BULLS,WIN,2611,12,22,5,12,7,10,1,2,5,0,0,1,3,26.8,3.0
georgpa01,Paul George,LOS ANGELES CLIPPERS,HOME,DETROIT PISTONS,WIN,2171,14,24,4,13,1,1,0,5,3,3,0,1,3,26.2,2.0
bookede01,Devin Booker,PHOENIX SUNS,AWAY,GOLDEN STATE WARRIORS,LOSS,2288,11,21,2,8,8,9,1,3,6,1,1,2,3,25.6,-3.0
bridgmi02,Miles Bridges,CHARLOTTE HORNETS,HOME,MEMPHIS GRIZZLIES,WIN,2328,11,13,2,2,1,2,1,5,5,2,1,3,0,25.3,7.0
jonesty01,Tyus Jones,WASHINGTON WIZARDS,HOME,PHILADELPHIA 76ERS,LOSS,1858,9,14,6,9,1,1,0,3,9,1,0,1,2,25.2,-5.0
halibty01,Tyrese Haliburton,INDIANA PACERS,AWAY,NEW YORK KNICKS,WIN,1817,7,14,4,9,4,5,0,3,12,0,1,1,0,23.6,11.0
curryst01,Stephen Curry,GOLDEN STATE WARRIORS,HOME,PHOENIX SUNS,WIN,2032,10,22,9,16,1,2,1,8,6,1,0,3,0,23.5,10.0
murphtr02,Trey Murphy III,NEW ORLEANS PELICANS,AWAY,PORTLAND TRAIL BLAZERS,WIN,1773,7,10,5,8,5,6,1,4,0,1,2,0,1,23.3,4.0
irvinky01,Kyrie Irving,DALLAS MAVERICKS,HOME,OKLAHOMA CITY THUNDER,WIN,1989,11,19,2,7,1,2,1,5,8,1,0,1,2,22.7,32.0
turnemy01,Myles Turner,INDIANA PACERS,AWAY,NEW YORK KNICKS,WIN,1843,9,9,2,2,3,4,0,8,4,1,0,2,4,22.5,5.0
hieldbu01,Buddy Hield,PHILADELPHIA 76ERS,AWAY,WASHINGTON WIZARDS,WIN,2181,9,16,4,9,1,2,1,4,6,4,0,2,3,21.9,-2.0
beysa01,Saddiq Bey,ATLANTA HAWKS,HOME,HOUSTON ROCKETS,WIN,2357,8,15,4,9,4,4,2,4,3,1,1,1,1,21.7,12.0
johnsja05,Jalen Johnson,ATLANTA HAWKS,HOME,HOUSTON ROCKETS,WIN,2393,8,11,1,2,4,4,2,4,3,2,2,2,3,21.4,10.0
greenja05,Jalen Green,HOUSTON ROCKETS,AWAY,ATLANTA HAWKS,LOSS,2234,10,22,2,9,4,7,2,12,10,1,0,5,1,21.0,-7.0
gilgesh01,Shai Gilgeous-Alexander,OKLAHOMA CITY THUNDER,AWAY,DALLAS MAVERICKS,LOSS,1733,9,16,0,0,7,8,2,4,5,0,1,3,1,20.4,-31.0
aytonde01,Deandre Ayton,PORTLAND TRAIL BLAZERS,HOME,NEW ORLEANS PELICANS,LOSS,2234,9,18,0,0,0,0,6,11,3,2,3,3,0,19.7,-7.0
cunnica01,Cade Cunningham,DETROIT PISTONS,AWAY,LOS ANGELES CLIPPERS,LOSS,2084,9,18,1,3,3,3,0,6,10,0,1,2,2,19.7,2.0
maxeyty01,Tyrese Maxey,PHILADELPHIA 76ERS,AWAY,WASHINGTON WIZARDS,WIN,2150,11,25,3,7,3,4,0,9,7,0,0,2,1,19.7,-10.0
allenja01,Jarrett Allen,CLEVELAND CAVALIERS,AWAY,TORONTO RAPTORS,WIN,1811,9,12,0,1,0,2,6,9,2,0,1,1,2,19.6,4.0
claxtni01,Nic Claxton,BROOKLYN NETS,HOME,SAN ANTONIO SPURS,WIN,1622,10,15,0,1,0,0,3,8,0,1,2,0,3,19.2,12.0
